NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FMNL3	formin like 3 [Source:HGNC Symbol;Acc:HGNC:23698]	110	0.2082265019416809	0.005895833	No	
row_1	SLC35E1	solute carrier family 35 member E1 [Source:HGNC Symbol;Acc:HGNC:20803]	187	0.19247327744960785	0.012878638	No	
row_2	PACS1	phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]	217	0.1879868358373642	0.022398885	No	
row_3	RELL1	RELT like 1 [Source:HGNC Symbol;Acc:HGNC:27379]	242	0.1856289952993393	0.032076515	No	
row_4	PPM1M	protein phosphatase, Mg2+/Mn2+ dependent 1M [Source:HGNC Symbol;Acc:HGNC:26506]	353	0.17653702199459076	0.036075637	No	
row_5	NBL1	NBL1, DAN family BMP antagonist [Source:HGNC Symbol;Acc:HGNC:7650]	356	0.17605005204677582	0.04649337	No	
row_6	MAP3K3	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	473	0.1669236719608307	0.049558893	No	
row_7	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8997]	556	0.1611652970314026	0.05430961	No	
row_8	DDB1	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	792	0.14760135114192963	0.049114153	No	
row_9	UBN1	ubinuclein 1 [Source:HGNC Symbol;Acc:HGNC:12506]	819	0.1464826762676239	0.056329355	No	
row_10	USF2	upstream transcription factor 2, c-fos interacting [Source:HGNC Symbol;Acc:HGNC:12594]	1039	0.13686953485012054	0.05144679	No	
row_11	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	1412	0.12229496240615845	0.036557566	No	
row_12	ADIPOR2	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]	1469	0.12052613496780396	0.040428143	No	
row_13	SMAD1	SMAD family member 1 [Source:HGNC Symbol;Acc:HGNC:6767]	2053	0.1032058522105217	0.011799361	No	
row_14	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	2160	0.09992241114377975	0.011451667	No	
row_15	BCL2	BCL2 apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:990]	2227	0.09791699796915054	0.013372002	No	
row_16	HSPB2	heat shock protein family B (small) member 2 [Source:HGNC Symbol;Acc:HGNC:5247]	2254	0.09705635905265808	0.017628886	No	
row_17	MELTF	melanotransferrin [Source:HGNC Symbol;Acc:HGNC:7037]	2712	0.08598201721906662	-0.0045084083	No	
row_18	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	2778	0.084229975938797	-0.003347582	No	
row_19	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	2948	0.0803375095129013	-0.008628687	No	
row_20	PTPRU	protein tyrosine phosphatase receptor type U [Source:HGNC Symbol;Acc:HGNC:9683]	2982	0.07963429391384125	-0.0058324784	No	
row_21	RBM22	RNA binding motif protein 22 [Source:HGNC Symbol;Acc:HGNC:25503]	3086	0.07737281918525696	-0.0073507302	No	
row_22	TINF2	TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]	3227	0.07426639646291733	-0.011263867	No	
row_23	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	3450	0.06889165192842484	-0.020394221	No	
row_24	KLHL21	kelch like family member 21 [Source:HGNC Symbol;Acc:HGNC:29041]	3470	0.0684511736035347	-0.017431537	No	
row_25	KPNA1	karyopherin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6394]	3482	0.06815611571073532	-0.014008899	No	
row_26	MSH3	mutS homolog 3 [Source:HGNC Symbol;Acc:HGNC:7326]	3504	0.06752242147922516	-0.011221206	No	
row_27	MXI1	MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:HGNC:7534]	3765	0.061459120362997055	-0.023065075	No	
row_28	EVL	Enah/Vasp-like [Source:HGNC Symbol;Acc:HGNC:20234]	4033	0.055973805487155914	-0.03565517	No	
row_29	CDV3	CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]	4058	0.05532422289252281	-0.033776682	No	
row_30	RB1	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	4166	0.05327363684773445	-0.036976147	No	
row_31	PBX3	PBX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:8634]	4263	0.0513165146112442	-0.039636042	No	
