NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBXL13	F-box and leucine rich repeat protein 13 [Source:HGNC Symbol;Acc:HGNC:21658]	145	0.19968737661838531	0.016200976	No	
row_1	JOSD1	Josephin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28953]	584	0.15961934626102448	0.010026666	No	
row_2	UBL4A	ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505]	787	0.14800338447093964	0.016421705	No	
row_3	LST1	leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]	788	0.14780813455581665	0.03478631	No	
row_4	TAX1BP3	Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684]	1375	0.1233128160238266	0.015313494	No	
row_5	CKMT2	creatine kinase, mitochondrial 2 [Source:HGNC Symbol;Acc:HGNC:1996]	1719	0.11280810832977295	0.008963725	No	
row_6	SNTB1	syntrophin beta 1 [Source:HGNC Symbol;Acc:HGNC:11168]	1958	0.10551406443119049	0.007942112	No	
row_7	MS4A1	membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]	2473	0.09172258526086807	-0.011180643	No	
row_8	ATP8B3	ATPase phospholipid transporting 8B3 [Source:HGNC Symbol;Acc:HGNC:13535]	2516	0.0907919630408287	-0.0023938485	No	
row_9	RGS3	regulator of G protein signaling 3 [Source:HGNC Symbol;Acc:HGNC:9999]	2570	0.08959539979696274	0.0055911476	No	
row_10	NEGR1	neuronal growth regulator 1 [Source:HGNC Symbol;Acc:HGNC:17302]	2693	0.08666487038135529	0.009115136	No	
row_11	LAMC3	laminin subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:6494]	2879	0.08171781152486801	0.008283823	No	
row_12	DNAJB5	DnaJ heat shock protein family (Hsp40) member B5 [Source:HGNC Symbol;Acc:HGNC:14887]	3078	0.07752126455307007	0.0061592245	No	
row_13	SLC25A30	solute carrier family 25 member 30 [Source:HGNC Symbol;Acc:HGNC:27371]	3425	0.0697375014424324	-0.0057200324	No	
row_14	VPS28	VPS28 subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18178]	3464	0.06853650510311127	5.3910626E-4	No	
row_15	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25 [Source:HGNC Symbol;Acc:HGNC:14161]	3667	0.06373974680900574	-0.0035352956	No	
row_16	UBFD1	ubiquitin family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30565]	3906	0.058488622307777405	-0.010399643	No	
row_17	CNTN4	contactin 4 [Source:HGNC Symbol;Acc:HGNC:2174]	4139	0.05380452424287796	-0.01748972	No	
row_18	GTF2H5	general transcription factor IIH subunit 5 [Source:HGNC Symbol;Acc:HGNC:21157]	4181	0.053070563822984695	-0.013330292	No	
row_19	TMEM230	transmembrane protein 230 [Source:HGNC Symbol;Acc:HGNC:15876]	4750	0.04204421117901802	-0.04183167	No	
row_20	C8orf33	chromosome 8 open reading frame 33 [Source:HGNC Symbol;Acc:HGNC:26104]	4950	0.03827724978327751	-0.048891563	No	
row_21	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	5259	0.03275495022535324	-0.063109495	No	
row_22	FBXO4	F-box protein 4 [Source:HGNC Symbol;Acc:HGNC:13583]	5327	0.03148148953914642	-0.06317619	No	
row_23	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	5782	0.02341385930776596	-0.08722353	No	
row_24	OSBPL10	oxysterol binding protein like 10 [Source:HGNC Symbol;Acc:HGNC:16395]	5839	0.02233020029962063	-0.087774105	No	
row_25	ZNRD2	zinc ribbon domain containing 2 [Source:HGNC Symbol;Acc:HGNC:11328]	6022	0.018970932811498642	-0.096223354	No	
row_26	BMP3	bone morphogenetic protein 3 [Source:HGNC Symbol;Acc:HGNC:1070]	6023	0.01896163448691368	-0.09386744	No	
row_27	ISOC2	isochorismatase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26278]	6456	0.011573663912713528	-0.11807962	No	
row_28	HAUS7	HAUS augmin like complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:32979]	6825	0.004583144094794989	-0.13936032	No	
row_29	SNX8	sorting nexin 8 [Source:HGNC Symbol;Acc:HGNC:14972]	7278	-0.002710760571062565	-0.16586119	No	
row_30	PHYKPL	5-phosphohydroxy-L-lysine phospho-lyase [Source:HGNC Symbol;Acc:HGNC:28249]	7330	-0.0035733894910663366	-0.16844535	No	
row_31	UROS	uroporphyrinogen III synthase [Source:HGNC Symbol;Acc:HGNC:12592]	7502	-0.006774854846298695	-0.17775679	No	
row_32	PPCS	phosphopantothenoylcysteine synthetase [Source:HGNC Symbol;Acc:HGNC:25686]	7534	-0.00737379165366292	-0.17868125	No	
row_33	PAGR1	PAXIP1 associated glutamate rich protein 1 [Source:HGNC Symbol;Acc:HGNC:28707]	7982	-0.014419098384678364	-0.20343053	No	
row_34	ZNF576	zinc finger protein 576 [Source:HGNC Symbol;Acc:HGNC:28357]	8253	-0.018545573577284813	-0.21715766	No	
row_35	FAM117A	family with sequence similarity 117 member A [Source:HGNC Symbol;Acc:HGNC:24179]	8634	-0.024495437741279602	-0.23667684	No	
row_36	RSAD1	radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25634]	8795	-0.027323123067617416	-0.2427821	No	
row_37	RIPOR3	RIPOR family member 3 [Source:HGNC Symbol;Acc:HGNC:16168]	8846	-0.028081806376576424	-0.24226181	No	
row_38	NOP16	NOP16 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:26934]	9155	-0.03339773789048195	-0.25639987	No	
row_39	CARTPT	CART prepropeptide [Source:HGNC Symbol;Acc:HGNC:24323]	9204	-0.03416264429688454	-0.25500533	No	
row_40	DEDD	death effector domain containing [Source:HGNC Symbol;Acc:HGNC:2755]	9925	-0.04564299061894417	-0.2920846	No	
row_41	MRPL17	mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]	10019	-0.047284085303545	-0.29173166	No	
row_42	AHSA1	activator of HSP90 ATPase activity 1 [Source:HGNC Symbol;Acc:HGNC:1189]	10265	-0.051199354231357574	-0.2999173	No	
row_43	DPY30	dpy-30 histone methyltransferase complex regulatory subunit [Source:HGNC Symbol;Acc:HGNC:24590]	10301	-0.05191010981798172	-0.2955458	No	
row_44	KLF8	KLF transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]	10316	-0.052280493080616	-0.2898814	No	
row_45	PNO1	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]	10396	-0.05371721088886261	-0.28789788	No	
row_46	UQCC4	ubiquinol-cytochrome c reductase complex assembly factor 4 [Source:HGNC Symbol;Acc:HGNC:27558]	10456	-0.05469421669840813	-0.2846055	No	
row_47	VPS72	vacuolar protein sorting 72 homolog [Source:HGNC Symbol;Acc:HGNC:11644]	10496	-0.05541552975773811	-0.28003597	No	
row_48	PTS	6-pyruvoyltetrahydropterin synthase [Source:HGNC Symbol;Acc:HGNC:9689]	10602	-0.05741095170378685	-0.27913728	No	
row_49	MON1A	MON1 homolog A, secretory trafficking associated [Source:HGNC Symbol;Acc:HGNC:28207]	10748	-0.059944722801446915	-0.2802988	No	
row_50	PFDN2	prefoldin subunit 2 [Source:HGNC Symbol;Acc:HGNC:8867]	10847	-0.06148327514529228	-0.27847853	No	
row_51	NUDCD2	NudC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30535]	10857	-0.061752304434776306	-0.2713404	No	
row_52	BHLHE40	basic helix-loop-helix family member e40 [Source:HGNC Symbol;Acc:HGNC:1046]	11006	-0.06397724151611328	-0.27217904	No	
row_53	PRSS1	serine protease 1 [Source:HGNC Symbol;Acc:HGNC:9475]	11173	-0.06622416526079178	-0.27380723	No	
row_54	ITPK1	inositol-tetrakisphosphate 1-kinase [Source:HGNC Symbol;Acc:HGNC:6177]	12139	-0.0822095200419426	-0.32089025	Yes	
row_55	CACNB3	calcium voltage-gated channel auxiliary subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:1403]	12237	-0.0841151624917984	-0.31619868	Yes	
row_56	CHCHD1	coiled-coil-helix-coiled-coil-helix domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23518]	12267	-0.08462943881750107	-0.30740565	Yes	
row_57	TMEM11	transmembrane protein 11 [Source:HGNC Symbol;Acc:HGNC:16823]	12669	-0.09091354161500931	-0.31991953	Yes	
row_58	MRPL30	mitochondrial ribosomal protein L30 [Source:HGNC Symbol;Acc:HGNC:14036]	12682	-0.09110739827156067	-0.30931228	Yes	
row_59	MIRLET7BHG	MIRLET7B host gene [Source:HGNC Symbol;Acc:HGNC:37189]	12699	-0.09139780700206757	-0.29890645	Yes	
row_60	MAP2K3	mitogen-activated protein kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6843]	12801	-0.09324382245540619	-0.29331818	Yes	
row_61	EIF4A3	eukaryotic translation initiation factor 4A3 [Source:HGNC Symbol;Acc:HGNC:18683]	12877	-0.09462607651948929	-0.28601438	Yes	
row_62	TP53I11	tumor protein p53 inducible protein 11 [Source:HGNC Symbol;Acc:HGNC:16842]	13088	-0.09844466298818588	-0.28625184	Yes	
row_63	TUFM	Tu translation elongation factor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:12420]	13440	-0.10497695952653885	-0.2940496	Yes	
row_64	NTPCR	nucleoside-triphosphatase, cancer-related [Source:HGNC Symbol;Acc:HGNC:28204]	13464	-0.10534665733575821	-0.2823263	Yes	
row_65	NPM3	nucleophosmin/nucleoplasmin 3 [Source:HGNC Symbol;Acc:HGNC:7931]	13480	-0.10567710548639297	-0.27008694	Yes	
row_66	ZBED2	zinc finger BED-type containing 2 [Source:HGNC Symbol;Acc:HGNC:20710]	13537	-0.10684491693973541	-0.2601369	Yes	
row_67	BOLA1	bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]	13809	-0.11277748644351959	-0.26221544	Yes	
row_68	SRXN1	sulfiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:16132]	13823	-0.11323720216751099	-0.24891803	Yes	
row_69	IDH1	isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]	13832	-0.1133483275771141	-0.23530993	Yes	
row_70	ANKRD16	ankyrin repeat domain 16 [Source:HGNC Symbol;Acc:HGNC:23471]	13873	-0.11406642943620682	-0.22351262	Yes	
row_71	ATP5MF	ATP synthase membrane subunit f [Source:HGNC Symbol;Acc:HGNC:848]	13918	-0.1151292696595192	-0.21182075	Yes	
row_72	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:HGNC:21218]	14301	-0.12426705658435822	-0.21906243	Yes	
row_73	CAMK2N2	calcium/calmodulin dependent protein kinase II inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:24197]	14382	-0.1259949505329132	-0.20815806	Yes	
row_74	TALDO1	transaldolase 1 [Source:HGNC Symbol;Acc:HGNC:11559]	14412	-0.12658236920833588	-0.19415256	Yes	
row_75	TAF11	TATA-box binding protein associated factor 11 [Source:HGNC Symbol;Acc:HGNC:11544]	14414	-0.12660318613052368	-0.17848197	Yes	
row_76	UCHL3	ubiquitin C-terminal hydrolase L3 [Source:HGNC Symbol;Acc:HGNC:12515]	14542	-0.1294889748096466	-0.16993412	Yes	
row_77	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	14600	-0.1307874470949173	-0.15706867	Yes	
row_78	VIPR2	vasoactive intestinal peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:12695]	14686	-0.13301151990890503	-0.1455894	Yes	
row_79	MRPS35	mitochondrial ribosomal protein S35 [Source:HGNC Symbol;Acc:HGNC:16635]	15099	-0.1443280577659607	-0.15211983	Yes	
row_80	METTL1	methyltransferase 1, tRNA methylguanosine [Source:HGNC Symbol;Acc:HGNC:7030]	15116	-0.14480426907539368	-0.13507846	Yes	
row_81	C6orf226	chromosome 6 open reading frame 226 [Source:HGNC Symbol;Acc:HGNC:34431]	15132	-0.14512763917446136	-0.11793752	Yes	
row_82	DXO	decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]	15303	-0.15078885853290558	-0.10929639	Yes	
row_83	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:6882]	15335	-0.15160100162029266	-0.09230117	Yes	
row_84	NDRG1	N-myc downstream regulated 1 [Source:HGNC Symbol;Acc:HGNC:7679]	15534	-0.1576298028230667	-0.08447258	Yes	
row_85	ACYP1	acylphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:179]	15730	-0.16497191786766052	-0.07555364	Yes	
row_86	GEMIN6	gem nuclear organelle associated protein 6 [Source:HGNC Symbol;Acc:HGNC:20044]	15780	-0.16713179647922516	-0.05769754	Yes	
row_87	FOXD2	forkhead box D2 [Source:HGNC Symbol;Acc:HGNC:3803]	15954	-0.17389416694641113	-0.046363782	Yes	
row_88	FKBP1B	FKBP prolyl isomerase 1B [Source:HGNC Symbol;Acc:HGNC:3712]	16376	-0.1969248503446579	-0.04689364	Yes	
row_89	MTX2	metaxin 2 [Source:HGNC Symbol;Acc:HGNC:7506]	16447	-0.20126299560070038	-0.026043748	Yes	
row_90	MDH2	malate dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:6971]	16611	-0.21888332068920135	-0.008526504	Yes	
row_91	FN3KRP	fructosamine 3 kinase related protein [Source:HGNC Symbol;Acc:HGNC:25700]	16647	-0.22202695906162262	0.016981373	Yes	
