NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	18	0.2669501304626465	0.01629749	Yes	
row_1	ENPEP	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	114	0.20740750432014465	0.024126615	Yes	
row_2	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	138	0.20151913166046143	0.035867993	Yes	
row_3	UNC5B	unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568]	147	0.19921527802944183	0.048354335	Yes	
row_4	PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	151	0.19809424877166748	0.06106602	Yes	
row_5	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	273	0.1830323338508606	0.06575784	Yes	
row_6	FRZB	frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]	305	0.18011601269245148	0.07562918	Yes	
row_7	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:16924]	311	0.1796129047870636	0.08701891	Yes	
row_8	LXN	latexin [Source:HGNC Symbol;Acc:HGNC:13347]	338	0.17791351675987244	0.097045206	Yes	
row_9	BICC1	BicC family RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19351]	378	0.17385125160217285	0.106031604	Yes	
row_10	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	400	0.172139510512352	0.11598047	Yes	
row_11	RNF130	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]	405	0.1717333346605301	0.12691711	Yes	
row_12	PDIA5	protein disulfide isomerase family A member 5 [Source:HGNC Symbol;Acc:HGNC:24811]	445	0.16931559145450592	0.13560835	Yes	
row_13	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	452	0.16886557638645172	0.14623906	Yes	
row_14	FLVCR2	FLVCR choline and putative heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]	500	0.16511930525302887	0.15417996	Yes	
row_15	NRK	Nik related kinase [Source:HGNC Symbol;Acc:HGNC:25391]	567	0.16064223647117615	0.16069601	Yes	
row_16	GSN	gelsolin [Source:HGNC Symbol;Acc:HGNC:4620]	685	0.15260560810565948	0.1636465	Yes	
row_17	HTRA1	HtrA serine peptidase 1 [Source:HGNC Symbol;Acc:HGNC:9476]	760	0.14937829971313477	0.1689523	Yes	
row_18	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	764	0.149292454123497	0.1784883	Yes	
row_19	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	802	0.14707863330841064	0.18585183	Yes	
row_20	ANKRD1	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	900	0.14289386570453644	0.18936351	Yes	
row_21	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	1013	0.13798213005065918	0.19166069	Yes	
row_22	FGF5	fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]	1161	0.13123784959316254	0.19143094	Yes	
row_23	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	1170	0.13102667033672333	0.19948003	Yes	
row_24	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1186	0.13046026229858398	0.20707463	Yes	
row_25	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	1202	0.12981534004211426	0.21462728	Yes	
