NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	18	0.2669501304626465	0.016314672	Yes	
row_1	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	138	0.20151913166046143	0.022341033	Yes	
row_2	UNC5B	unc-5 netrin receptor B [Source:HGNC Symbol;Acc:HGNC:12568]	147	0.19921527802944183	0.034840237	Yes	
row_3	PRICKLE1	prickle planar cell polarity protein 1 [Source:HGNC Symbol;Acc:HGNC:17019]	151	0.19809424877166748	0.047564745	Yes	
row_4	ARMH4	armadillo like helical domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19846]	210	0.18846412003040314	0.056380343	Yes	
row_5	COL4A2	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]	273	0.1830323338508606	0.06460346	Yes	
row_6	FRZB	frizzled related protein [Source:HGNC Symbol;Acc:HGNC:3959]	305	0.18011601269245148	0.074486256	Yes	
row_7	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	400	0.172139510512352	0.08009053	Yes	
row_8	RNF130	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]	405	0.1717333346605301	0.09103827	Yes	
row_9	BPNT2	3'(2'), 5'-bisphosphate nucleotidase 2 [Source:HGNC Symbol;Acc:HGNC:26019]	542	0.16206327080726624	0.09348022	Yes	
row_10	EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	554	0.1613987237215042	0.103337124	Yes	
row_11	NRK	Nik related kinase [Source:HGNC Symbol;Acc:HGNC:25391]	567	0.16064223647117615	0.11308508	Yes	
row_12	KIAA0930	KIAA0930 [Source:HGNC Symbol;Acc:HGNC:1314]	580	0.15998134016990662	0.122789994	Yes	
row_13	POSTN	periostin [Source:HGNC Symbol;Acc:HGNC:16953]	758	0.14938922226428986	0.12196009	Yes	
row_14	PTH1R	parathyroid hormone 1 receptor [Source:HGNC Symbol;Acc:HGNC:9608]	764	0.149292454123497	0.1313864	Yes	
row_15	SRGN	serglycin [Source:HGNC Symbol;Acc:HGNC:9361]	802	0.14707863330841064	0.13875921	Yes	
row_16	PJA2	praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]	865	0.14452838897705078	0.14447424	Yes	
row_17	MFAP2	microfibril associated protein 2 [Source:HGNC Symbol;Acc:HGNC:7033]	879	0.14377731084823608	0.15306398	Yes	
row_18	SMIM14	small integral membrane protein 14 [Source:HGNC Symbol;Acc:HGNC:27321]	992	0.13883540034294128	0.1554249	Yes	
row_19	HEXA	hexosaminidase subunit alpha [Source:HGNC Symbol;Acc:HGNC:4878]	994	0.13872267305850983	0.16440138	Yes	
row_20	MYL3	myosin light chain 3 [Source:HGNC Symbol;Acc:HGNC:7584]	1013	0.13798213005065918	0.17231531	Yes	
row_21	MOSPD1	motile sperm domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25235]	1082	0.13469170033931732	0.1770316	Yes	
row_22	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	1085	0.13458657264709473	0.185679	Yes	
row_23	FGF5	fibroblast growth factor 5 [Source:HGNC Symbol;Acc:HGNC:3683]	1161	0.13123784959316254	0.18975267	Yes	
row_24	TCN2	transcobalamin 2 [Source:HGNC Symbol;Acc:HGNC:11653]	1170	0.13102667033672333	0.19781019	Yes	
row_25	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	1186	0.13046026229858398	0.20541315	Yes	
row_26	NUDT11	nudix hydrolase 11 [Source:HGNC Symbol;Acc:HGNC:18011]	1215	0.12929046154022217	0.21216425	Yes	
row_27	SCCPDH	saccharopine dehydrogenase (putative) [Source:HGNC Symbol;Acc:HGNC:24275]	1240	0.12811394035816193	0.2190774	Yes	
row_28	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	1338	0.12444187700748444	0.22139572	Yes	
row_29	RHOU	ras homolog family member U [Source:HGNC Symbol;Acc:HGNC:17794]	1514	0.1189916804432869	0.2187051	Yes	
row_30	LOXL2	lysyl oxidase like 2 [Source:HGNC Symbol;Acc:HGNC:6666]	1518	0.11880915611982346	0.22626512	Yes	
row_31	VEGFB	vascular endothelial growth factor B [Source:HGNC Symbol;Acc:HGNC:12681]	1801	0.11015918105840683	0.21661492	Yes	
row_32	STX7	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	1871	0.1080150231719017	0.21953388	Yes	
row_33	PLOD2	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:HGNC:9082]	2030	0.10392308235168457	0.21687603	Yes	
row_34	CAPN6	calpain 6 [Source:HGNC Symbol;Acc:HGNC:1483]	2192	0.09898573905229568	0.21371758	Yes	
row_35	SLIT3	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]	2353	0.09467044472694397	0.21033771	Yes	
row_36	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	2388	0.09394031018018723	0.21442817	Yes	
row_37	WLS	Wnt ligand secretion mediator [Source:HGNC Symbol;Acc:HGNC:30238]	2517	0.09078792482614517	0.2127047	Yes	
row_38	PDZRN3	PDZ domain containing ring finger 3 [Source:HGNC Symbol;Acc:HGNC:17704]	2567	0.0897151306271553	0.21562497	Yes	
row_39	RBP4	retinol binding protein 4 [Source:HGNC Symbol;Acc:HGNC:9922]	2584	0.08912139385938644	0.22047552	Yes	
row_40	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	2610	0.0884609967470169	0.22474606	Yes	
row_41	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	2699	0.08641685545444489	0.22512451	Yes	
row_42	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	2704	0.08626962453126907	0.2305053	Yes	
row_43	RAMP2	receptor activity modifying protein 2 [Source:HGNC Symbol;Acc:HGNC:9844]	2831	0.08302327245473862	0.22839539	Yes	
row_44	TMEM98	transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]	2903	0.08129435032606125	0.22945447	Yes	
row_45	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	2948	0.0803375095129013	0.23206222	Yes	
row_46	RECK	reversion inducing cysteine rich protein with kazal motifs [Source:HGNC Symbol;Acc:HGNC:11345]	2984	0.07956793904304504	0.23515683	Yes	
row_47	CASTOR3P	CASTOR family member 3, pseudogene [Source:HGNC Symbol;Acc:HGNC:29954]	2996	0.07933346927165985	0.23966815	Yes	
row_48	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	3134	0.07636130601167679	0.23646797	Yes	
