NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	14	0.27198266983032227	0.018017251	Yes	
row_1	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	67	0.22355222702026367	0.030407919	Yes	
row_2	RNF130	ring finger protein 130 [Source:HGNC Symbol;Acc:HGNC:18280]	405	0.1717333346605301	0.022185568	Yes	
row_3	FBXL5	F-box and leucine rich repeat protein 5 [Source:HGNC Symbol;Acc:HGNC:13602]	458	0.1682310700416565	0.030741466	Yes	
row_4	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	470	0.16736933588981628	0.04168627	Yes	
row_5	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	518	0.16371659934520721	0.05022785	Yes	
row_6	GNS	glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]	625	0.15716706216335297	0.054791775	Yes	
row_7	FCER1G	Fc epsilon receptor Ig [Source:HGNC Symbol;Acc:HGNC:3611]	771	0.148823082447052	0.056448117	Yes	
row_8	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	775	0.14836467802524567	0.06655333	Yes	
row_9	PECAM1	platelet and endothelial cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:8823]	832	0.14593440294265747	0.07332478	Yes	
row_10	MARCHF2	membrane associated ring-CH-type finger 2 [Source:HGNC Symbol;Acc:HGNC:28038]	877	0.14384867250919342	0.080668315	Yes	
row_11	CRISPLD2	cysteine rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]	889	0.1433381736278534	0.08994732	Yes	
row_12	SLC39A6	solute carrier family 39 member 6 [Source:HGNC Symbol;Acc:HGNC:18607]	917	0.14204369485378265	0.098181024	Yes	
row_13	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	930	0.1413303166627884	0.10726113	Yes	
row_14	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	940	0.14076147973537445	0.11648096	Yes	
row_15	OSTM1	osteoclastogenesis associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21652]	952	0.14032159745693207	0.12555087	Yes	
row_16	CD86	CD86 molecule [Source:HGNC Symbol;Acc:HGNC:1705]	1096	0.13411852717399597	0.12630735	Yes	
row_17	ATXN1	ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]	1176	0.13072481751441956	0.13065088	Yes	
row_18	ZFYVE16	zinc finger FYVE-type containing 16 [Source:HGNC Symbol;Acc:HGNC:20756]	1282	0.12659110128879547	0.13315505	Yes	
row_19	RNF11	ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]	1370	0.12343674153089523	0.13651559	Yes	
row_20	TAX1BP3	Tax1 binding protein 3 [Source:HGNC Symbol;Acc:HGNC:30684]	1375	0.1233128160238266	0.14482452	Yes	
row_21	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	1386	0.1229163110256195	0.15274765	Yes	
row_22	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	1406	0.12247047573328018	0.16010235	Yes	
row_23	SERPINB8	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]	1421	0.12199385464191437	0.16772264	Yes	
row_24	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	1493	0.11945778876543045	0.17176291	Yes	
row_25	CD84	CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]	1510	0.1190393939614296	0.17905895	Yes	
row_26	CHI3L1	chitinase 3 like 1 [Source:HGNC Symbol;Acc:HGNC:1932]	1521	0.11873932927846909	0.18669254	Yes	
row_27	VASH1	vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]	1526	0.11852458119392395	0.19466957	Yes	
row_28	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	1539	0.11818721890449524	0.20214543	Yes	
row_29	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	1562	0.11763163655996323	0.20898555	Yes	
row_30	GAS7	growth arrest specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]	1853	0.10859400033950806	0.19919346	Yes	
row_31	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	1855	0.10855256021022797	0.20665842	Yes	
row_32	MNDA	myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:HGNC:7183]	1876	0.10787050426006317	0.21294136	Yes	
row_33	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	1881	0.10776038467884064	0.22017223	Yes	
row_34	DYNLT3	dynein light chain Tctex-type 3 [Source:HGNC Symbol;Acc:HGNC:11694]	1906	0.10691604018211365	0.22615013	Yes	
row_35	TIGAR	TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]	1953	0.1056031882762909	0.2307231	Yes	
row_36	TGM5	transglutaminase 5 [Source:HGNC Symbol;Acc:HGNC:11781]	1954	0.10556697100400925	0.23804082	Yes	
row_37	RPS6KC1	ribosomal protein S6 kinase C1 [Source:HGNC Symbol;Acc:HGNC:10439]	2017	0.10431798547506332	0.24156915	Yes	
row_38	THEMIS2	thymocyte selection associated family member 2 [Source:HGNC Symbol;Acc:HGNC:16839]	2033	0.10381527990102768	0.2478696	Yes	
row_39	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	2128	0.10103107243776321	0.24925895	Yes	
row_40	THBS4	thrombospondin 4 [Source:HGNC Symbol;Acc:HGNC:11788]	2139	0.10068682581186295	0.25564116	Yes	
row_41	FNDC3B	fibronectin type III domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24670]	2204	0.09863976389169693	0.25865644	Yes	
row_42	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	2268	0.09666887670755386	0.2615948	Yes	
row_43	FCER2	Fc epsilon receptor II [Source:HGNC Symbol;Acc:HGNC:3612]	2275	0.0965118333697319	0.2679265	Yes	
row_44	NDFIP1	Nedd4 family interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:17592]	2279	0.09640135616064072	0.2744297	Yes	
row_45	GPR18	G protein-coupled receptor 18 [Source:HGNC Symbol;Acc:HGNC:4472]	2303	0.09585514664649963	0.2797006	Yes	
row_46	SLC26A2	solute carrier family 26 member 2 [Source:HGNC Symbol;Acc:HGNC:10994]	2312	0.09563577175140381	0.28585213	Yes	
row_47	NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	2386	0.09396275132894516	0.2880057	Yes	
row_48	ICAM3	intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]	2391	0.09385670721530914	0.29427278	Yes	
row_49	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	2402	0.09361132979393005	0.30016455	Yes	
row_50	CYTIP	cytohesin 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:9506]	2429	0.09294746071100235	0.3050547	Yes	
row_51	IFFO1	intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]	2443	0.09256118535995483	0.3106945	Yes	
row_52	MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	2489	0.0913679450750351	0.31434044	Yes	
row_53	GALC	galactosylceramidase [Source:HGNC Symbol;Acc:HGNC:4115]	2508	0.09095434099435806	0.3195702	Yes	
row_54	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	2592	0.0888136550784111	0.32076964	Yes	
row_55	PHTF2	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]	2660	0.08732669055461884	0.32282153	Yes	
row_56	FRY	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	2674	0.0871146023273468	0.32808375	Yes	
row_57	SGK3	serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]	2765	0.0844946950674057	0.32856575	Yes	
row_58	SAMHD1	SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:15925]	2767	0.08446750789880753	0.33436117	Yes	
row_59	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	2797	0.08384015411138535	0.33844084	Yes	
row_60	SORL1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	2816	0.08335889130830765	0.34314412	Yes	
row_61	ZNF271P	zinc finger protein 271, pseudogene [Source:HGNC Symbol;Acc:HGNC:13065]	2838	0.0828336551785469	0.34763184	Yes	
row_62	KMT5B	lysine methyltransferase 5B [Source:HGNC Symbol;Acc:HGNC:24283]	3094	0.07708712667226791	0.33774605	Yes	
row_63	TPK1	thiamin pyrophosphokinase 1 [Source:HGNC Symbol;Acc:HGNC:17358]	3189	0.0750947967171669	0.33733755	Yes	
row_64	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	3199	0.07495783269405365	0.34199598	Yes	
row_65	DHX29	DExH-box helicase 29 [Source:HGNC Symbol;Acc:HGNC:15815]	3300	0.07256103307008743	0.34105352	Yes	
row_66	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	3316	0.07219423353672028	0.34516203	Yes	
row_67	PLAA	phospholipase A2 activating protein [Source:HGNC Symbol;Acc:HGNC:9043]	3419	0.06987825036048889	0.34391415	Yes	
row_68	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	3457	0.06873749196529388	0.34646916	Yes	
row_69	SAR1B	secretion associated Ras related GTPase 1B [Source:HGNC Symbol;Acc:HGNC:10535]	3542	0.06663829833269119	0.3460717	Yes	
row_70	FCGRT	Fc gamma receptor and transporter [Source:HGNC Symbol;Acc:HGNC:3621]	3557	0.06630636751651764	0.34983182	Yes	
row_71	RCBTB2	RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]	3620	0.0649745836853981	0.35063294	Yes	
row_72	IFI30	IFI30 lysosomal thiol reductase [Source:HGNC Symbol;Acc:HGNC:5398]	3938	0.05780642852187157	0.3357078	Yes	
row_73	CXCR2	C-X-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:6027]	3970	0.057187583297491074	0.33782056	Yes	
row_74	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	3985	0.05690353363752365	0.34092888	Yes	
row_75	FUCA1	alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]	4015	0.05619814991950989	0.34309247	Yes	
row_76	NAGK	N-acetylglucosamine kinase [Source:HGNC Symbol;Acc:HGNC:17174]	4037	0.05584251508116722	0.3457092	Yes	
row_77	MS4A4A	membrane spanning 4-domains A4A [Source:HGNC Symbol;Acc:HGNC:13371]	4040	0.055750928819179535	0.3494543	Yes	
row_78	ZNF277	zinc finger protein 277 [Source:HGNC Symbol;Acc:HGNC:13070]	4090	0.05463624745607376	0.35031518	Yes	
row_79	FZD2	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	4170	0.05323319137096405	0.34928712	Yes	
row_80	MCUB	mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]	4173	0.0531492754817009	0.3528519	Yes	
row_81	CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	4195	0.05280505493283272	0.35525805	Yes	
row_82	DICER1	dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]	4204	0.052632886916399	0.3584287	Yes	
row_83	FNDC3A	fibronectin type III domain containing 3A [Source:HGNC Symbol;Acc:HGNC:20296]	4221	0.052306320518255234	0.36109892	Yes	
