NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC35E1	solute carrier family 35 member E1 [Source:HGNC Symbol;Acc:HGNC:20803]	187	0.19247327744960785	0.0046911063	No	
row_1	KIRREL1	kirre like nephrin family adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:15734]	229	0.1868610680103302	0.017611343	No	
row_2	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	347	0.1769677698612213	0.025194502	No	
row_3	MACF1	microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	672	0.15363642573356628	0.018538306	No	
row_4	COL26A1	collagen type XXVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:18038]	886	0.143400177359581	0.017647792	No	
row_5	ECM2	extracellular matrix protein 2 [Source:HGNC Symbol;Acc:HGNC:3154]	931	0.14132742583751678	0.026646413	No	
row_6	EXOC4	exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389]	990	0.13900232315063477	0.03462057	No	
row_7	CMKLR2	chemerin chemokine-like receptor 2 [Source:HGNC Symbol;Acc:HGNC:4463]	1206	0.1296662539243698	0.032482024	No	
row_8	ZNF221	zinc finger protein 221 [Source:HGNC Symbol;Acc:HGNC:13014]	1454	0.1210101768374443	0.027727155	No	
row_9	MYBL1	MYB proto-oncogene like 1 [Source:HGNC Symbol;Acc:HGNC:7547]	1689	0.11341299116611481	0.023121577	No	
row_10	DYM	dymeclin [Source:HGNC Symbol;Acc:HGNC:21317]	1779	0.11072520166635513	0.026926003	No	
row_11	ATP8B1	ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]	1931	0.1061401516199112	0.026663046	No	
row_12	NSMCE2	NSE2 (MMS21) homolog, SMC5-SMC6 complex SUMO ligase [Source:HGNC Symbol;Acc:HGNC:26513]	2696	0.08657878637313843	-0.011696028	No	
row_13	MPDZ	multiple PDZ domain crumbs cell polarity complex component [Source:HGNC Symbol;Acc:HGNC:7208]	2721	0.08573728054761887	-0.006076658	No	
row_14	KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	2821	0.08328893780708313	-0.0051228376	No	
row_15	MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7049]	2849	0.08260271698236465	6.0286693E-5	No	
row_16	SPIB	Spi-B transcription factor [Source:HGNC Symbol;Acc:HGNC:11242]	2901	0.08132824301719666	0.0037100734	No	
row_17	DPY19L2P2	DPY19L2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:21764]	3296	0.07264810055494308	-0.013770348	No	
row_18	TLE4	TLE family member 4, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11840]	3450	0.06889165192842484	-0.017214328	No	
row_19	ZBTB6	zinc finger and BTB domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16764]	3529	0.06693708896636963	-0.016354693	No	
row_20	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	3715	0.06281378120183945	-0.022203058	No	
row_21	TMEM245	transmembrane protein 245 [Source:HGNC Symbol;Acc:HGNC:1363]	3748	0.06187555938959122	-0.019021407	No	
row_22	CEP41	centrosomal protein 41 [Source:HGNC Symbol;Acc:HGNC:12370]	3808	0.060395386070013046	-0.017568573	No	
row_23	ADAMTSL4	ADAMTS like 4 [Source:HGNC Symbol;Acc:HGNC:19706]	3864	0.05932881683111191	-0.015965322	No	
row_24	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]	4063	0.055264655500650406	-0.023208063	No	
row_25	GTF2H2B	general transcription factor IIH subunit 2B (pseudogene) [Source:HGNC Symbol;Acc:HGNC:31393]	4096	0.054560914635658264	-0.020627704	No	
row_26	SNRPN	small nuclear ribonucleoprotein polypeptide N [Source:HGNC Symbol;Acc:HGNC:11164]	4099	0.05450756102800369	-0.016266016	No	
row_27	RUFY2	RUN and FYVE domain containing 2 [Source:HGNC Symbol;Acc:HGNC:19761]	4142	0.05376860126852989	-0.014346027	No	
row_28	LONRF1	LON peptidase N-terminal domain and ring finger 1 [Source:HGNC Symbol;Acc:HGNC:26302]	4693	0.04307961091399193	-0.04354281	No	
row_29	ZNF551	zinc finger protein 551 [Source:HGNC Symbol;Acc:HGNC:25108]	4970	0.03799644857645035	-0.056847923	No	
row_30	SGCE	sarcoglycan epsilon [Source:HGNC Symbol;Acc:HGNC:10808]	5037	0.03670287877321243	-0.057759374	No	
row_31	SIMC1P1	SIMC1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56818]	5064	0.03632250428199768	-0.05632114	No	
row_32	ZBTB44	zinc finger and BTB domain containing 44 [Source:HGNC Symbol;Acc:HGNC:25001]	5065	0.036310914903879166	-0.05333624	No	
row_33	CTTNBP2NL	CTTNBP2 N-terminal like [Source:HGNC Symbol;Acc:HGNC:25330]	5111	0.03550098091363907	-0.05309649	No	
row_34	MTRF1L	mitochondrial translation release factor 1 like [Source:HGNC Symbol;Acc:HGNC:21051]	5817	0.022674428299069405	-0.09319685	No	
row_35	ATM	ATM serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:795]	6027	0.018876200541853905	-0.104085624	No	
row_36	SIGLEC15	sialic acid binding Ig like lectin 15 [Source:HGNC Symbol;Acc:HGNC:27596]	6220	0.015602788887917995	-0.11423159	No	
row_37	SCAF4	SR-related CTD associated factor 4 [Source:HGNC Symbol;Acc:HGNC:19304]	6284	0.014665388502180576	-0.116776034	No	
row_38	DIP2A	disco interacting protein 2 homolog A [Source:HGNC Symbol;Acc:HGNC:17217]	6285	0.014661245048046112	-0.11557082	No	
row_39	OXTR	oxytocin receptor [Source:HGNC Symbol;Acc:HGNC:8529]	6299	0.014399472624063492	-0.11516094	No	
row_40	SRA1	steroid receptor RNA activator 1 [Source:HGNC Symbol;Acc:HGNC:11281]	6433	0.011952793225646019	-0.12209504	No	
row_41	KIF13A	kinesin family member 13A [Source:HGNC Symbol;Acc:HGNC:14566]	6571	0.009418899193406105	-0.12947553	No	
row_42	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	6811	0.004927019122987986	-0.1432967	No	
row_43	ZNF550	zinc finger protein 550 [Source:HGNC Symbol;Acc:HGNC:28643]	7219	-0.0018465766916051507	-0.1673711	No	
row_44	CEP97	centrosomal protein 97 [Source:HGNC Symbol;Acc:HGNC:26244]	7316	-0.0034079726319760084	-0.17280523	No	
row_45	EPM2AIP1	EPM2A interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:19735]	7406	-0.005134975537657738	-0.17768073	No	
row_46	DLL3	delta like canonical Notch ligand 3 [Source:HGNC Symbol;Acc:HGNC:2909]	7523	-0.007128910161554813	-0.18399948	No	
row_47	ZNF529	zinc finger protein 529 [Source:HGNC Symbol;Acc:HGNC:29328]	7668	-0.009571022354066372	-0.19178413	No	
row_48	TAF9B	TATA-box binding protein associated factor 9b [Source:HGNC Symbol;Acc:HGNC:17306]	7846	-0.01231660507619381	-0.20130737	No	
row_49	RFX3	regulatory factor X3 [Source:HGNC Symbol;Acc:HGNC:9984]	8115	-0.01632246933877468	-0.21591797	No	
row_50	EEF1G	eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:HGNC:3213]	8229	-0.018118442967534065	-0.22115476	No	
row_51	DCAF13	DDB1 and CUL4 associated factor 13 [Source:HGNC Symbol;Acc:HGNC:24535]	8357	-0.02037026919424534	-0.22703977	No	
row_52	LINC01278	long intergenic non-protein coding RNA 1278 [Source:HGNC Symbol;Acc:HGNC:28090]	8388	-0.02067524567246437	-0.2271259	No	
row_53	REPS1	RALBP1 associated Eps domain containing 1 [Source:HGNC Symbol;Acc:HGNC:15578]	8513	-0.022781269624829292	-0.23263414	No	
row_54	HOXA7	homeobox A7 [Source:HGNC Symbol;Acc:HGNC:5108]	8535	-0.023120645433664322	-0.23198353	No	
row_55	MTMR11	myotubularin related protein 11 [Source:HGNC Symbol;Acc:HGNC:24307]	8624	-0.024371953681111336	-0.23521815	No	
row_56	SNHG3	small nucleolar RNA host gene 3 [Source:HGNC Symbol;Acc:HGNC:10118]	8745	-0.02636122703552246	-0.24019402	No	
row_57	SLC27A3	solute carrier family 27 member 3 [Source:HGNC Symbol;Acc:HGNC:10997]	8884	-0.028780614957213402	-0.24604243	No	
row_58	SLC25A16	solute carrier family 25 member 16 [Source:HGNC Symbol;Acc:HGNC:10986]	8911	-0.029131656512618065	-0.2451953	No	
row_59	FBXO22	F-box protein 22 [Source:HGNC Symbol;Acc:HGNC:13593]	9093	-0.03239677473902702	-0.25330597	No	
row_60	VEZT	vezatin, adherens junctions transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18258]	9337	-0.03653426840901375	-0.264767	No	
row_61	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	9496	-0.03938242793083191	-0.27093437	No	
row_62	HCG18	HLA complex group 18 [Source:HGNC Symbol;Acc:HGNC:31337]	9799	-0.04375843703746796	-0.28531346	No	
row_63	ZNF280D	zinc finger protein 280D [Source:HGNC Symbol;Acc:HGNC:25953]	10091	-0.04848558455705643	-0.29864916	No	
row_64	SLC15A2	solute carrier family 15 member 2 [Source:HGNC Symbol;Acc:HGNC:10921]	10099	-0.048608262091875076	-0.29507005	No	
row_65	DSCAM	DS cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:3039]	10183	-0.049950167536735535	-0.29590443	No	
row_66	TENT2	terminal nucleotidyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26776]	10245	-0.05086791142821312	-0.29535383	No	
row_67	TRIM52	tripartite motif containing 52 [Source:HGNC Symbol;Acc:HGNC:19024]	10356	-0.05311432480812073	-0.29753524	No	
row_68	VPS53	VPS53 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:25608]	10458	-0.05471765995025635	-0.29904914	No	
row_69	DOCK5	dedicator of cytokinesis 5 [Source:HGNC Symbol;Acc:HGNC:23476]	10571	-0.05674396827816963	-0.30105123	No	
row_70	PGAP1	post-GPI attachment to proteins inositol deacylase 1 [Source:HGNC Symbol;Acc:HGNC:25712]	10706	-0.05934650078415871	-0.3041489	No	
row_71	MAGIX	MAGI family member, X-linked [Source:HGNC Symbol;Acc:HGNC:30006]	10715	-0.05947252735495567	-0.29973623	No	
