NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MMP16	matrix metallopeptidase 16 [Source:HGNC Symbol;Acc:HGNC:7162]	65	0.22612379491329193	0.011558564	No	
row_1	PCDHB18P	protocadherin beta 18 pseudogene [Source:HGNC Symbol;Acc:HGNC:14548]	74	0.22109107673168182	0.026173722	No	
row_2	HS3ST3A1	heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]	115	0.2073613554239273	0.037942793	No	
row_3	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	576	0.16022706031799316	0.021440644	No	
row_4	TTYH2	tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877]	631	0.15648019313812256	0.028901285	No	
row_5	NOL6	nucleolar protein 6 [Source:HGNC Symbol;Acc:HGNC:19910]	671	0.15370719134807587	0.037067406	No	
row_6	SCFD2	sec1 family domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30676]	1196	0.13019980490207672	0.0146977985	No	
row_7	OAF	out at first homolog [Source:HGNC Symbol;Acc:HGNC:28752]	1287	0.1262439340353012	0.017946959	No	
row_8	PIM2	Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]	2262	0.09681440144777298	-0.033544876	No	
row_9	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	2424	0.0930379256606102	-0.03679773	No	
row_10	TGFBRAP1	transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]	2476	0.0916181206703186	-0.03358582	No	
row_11	LRRC61	leucine rich repeat containing 61 [Source:HGNC Symbol;Acc:HGNC:21704]	2813	0.08340192586183548	-0.047935493	No	
row_12	ZNF420	zinc finger protein 420 [Source:HGNC Symbol;Acc:HGNC:20649]	2885	0.08163335919380188	-0.04659821	No	
row_13	ITPR1	inositol 1,4,5-trisphosphate receptor type 1 [Source:HGNC Symbol;Acc:HGNC:6180]	3060	0.07803301513195038	-0.051650815	No	
row_14	P3H4	prolyl 3-hydroxylase family member 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:16946]	3167	0.07543238252401352	-0.05282464	No	
row_15	CGREF1	cell growth regulator with EF-hand domain 1 [Source:HGNC Symbol;Acc:HGNC:16962]	3208	0.07467009127140045	-0.050113488	No	
row_16	MICU1	mitochondrial calcium uptake 1 [Source:HGNC Symbol;Acc:HGNC:1530]	3421	0.06982436776161194	-0.057993203	No	
row_17	ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group) [Source:HGNC Symbol;Acc:HGNC:55]	3741	0.06207241490483284	-0.07278482	No	
row_18	UBIAD1	UbiA prenyltransferase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30791]	4050	0.05545911565423012	-0.08737171	No	
row_19	QSOX2	quiescin sulfhydryl oxidase 2 [Source:HGNC Symbol;Acc:HGNC:30249]	4485	0.04708971828222275	-0.11004602	No	
row_20	IL17D	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	4497	0.046867579221725464	-0.10750286	No	
row_21	PUS3	pseudouridine synthase 3 [Source:HGNC Symbol;Acc:HGNC:25461]	4624	0.044602133333683014	-0.111974284	No	
row_22	USE1	unconventional SNARE in the ER 1 [Source:HGNC Symbol;Acc:HGNC:30882]	4688	0.04326307401061058	-0.112779066	No	
row_23	GPD1L	glycerol-3-phosphate dehydrogenase 1 like [Source:HGNC Symbol;Acc:HGNC:28956]	4730	0.042372144758701324	-0.11233233	No	
row_24	ZNF667	zinc finger protein 667 [Source:HGNC Symbol;Acc:HGNC:28854]	4761	0.041862063109874725	-0.11126424	No	
row_25	PRAP1	proline rich acidic protein 1 [Source:HGNC Symbol;Acc:HGNC:23304]	4887	0.03962850943207741	-0.11601553	No	
