NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	0	0.37241053581237793	0.023108356	Yes	
row_1	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9771]	59	0.22988396883010864	0.03391035	Yes	
row_2	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	69	0.22272415459156036	0.04719327	Yes	
row_3	MDFIC	MyoD family inhibitor domain containing [Source:HGNC Symbol;Acc:HGNC:28870]	95	0.21291601657867432	0.058912423	Yes	
row_4	CLEC5A	C-type lectin domain containing 5A [Source:HGNC Symbol;Acc:HGNC:2054]	176	0.19469738006591797	0.066217706	Yes	
row_5	PTPRG	protein tyrosine phosphatase receptor type G [Source:HGNC Symbol;Acc:HGNC:9671]	232	0.1865934282541275	0.074512586	Yes	
row_6	COLEC12	collectin subfamily member 12 [Source:HGNC Symbol;Acc:HGNC:16016]	274	0.18301106989383698	0.08342095	Yes	
row_7	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	332	0.17826765775680542	0.09107981	Yes	
row_8	ITGB2	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	359	0.17595727741718292	0.10044594	Yes	
row_9	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	423	0.17050354182720184	0.10726485	Yes	
row_10	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	495	0.16533954441547394	0.113285735	Yes	
row_11	FLVCR2	FLVCR choline and putative heme transporter 2 [Source:HGNC Symbol;Acc:HGNC:20105]	500	0.16511930525302887	0.12329272	Yes	
row_12	IGFBP7	insulin like growth factor binding protein 7 [Source:HGNC Symbol;Acc:HGNC:5476]	697	0.15202397108078003	0.12102513	Yes	
row_13	STX3	syntaxin 3 [Source:HGNC Symbol;Acc:HGNC:11438]	706	0.1516076773405075	0.12995492	Yes	
row_14	LY86	lymphocyte antigen 86 [Source:HGNC Symbol;Acc:HGNC:16837]	707	0.15159520506858826	0.13936152	Yes	
row_15	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	725	0.15044891834259033	0.14768212	Yes	
row_16	HLA-DRB6	major histocompatibility complex, class II, DR beta 6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:4954]	752	0.14964891970157623	0.1554158	Yes	
row_17	LST1	leukocyte specific transcript 1 [Source:HGNC Symbol;Acc:HGNC:14189]	788	0.14780813455581665	0.16249798	Yes	
row_18	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	841	0.14558036625385284	0.16842707	Yes	
row_19	ENPP2	ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]	844	0.14547941088676453	0.17733477	Yes	
row_20	ANKRD1	ankyrin repeat domain 1 [Source:HGNC Symbol;Acc:HGNC:15819]	900	0.14289386570453644	0.18291806	Yes	
row_21	CYP1B1	cytochrome P450 family 1 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2597]	930	0.1413303166627884	0.18995647	Yes	
row_22	DCN	decorin [Source:HGNC Symbol;Acc:HGNC:2705]	988	0.13912971317768097	0.1951868	Yes	
row_23	NKG7	natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]	1070	0.13520976901054382	0.19874114	Yes	
row_24	RASAL2	RAS protein activator like 2 [Source:HGNC Symbol;Acc:HGNC:9874]	1085	0.13458657264709473	0.20625655	Yes	
row_25	MAF	MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]	1102	0.13394424319267273	0.21361274	Yes	
row_26	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	1151	0.1314786672592163	0.21890558	Yes	
row_27	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	1155	0.13142029941082	0.22688122	Yes	
row_28	ARHGAP25	Rho GTPase activating protein 25 [Source:HGNC Symbol;Acc:HGNC:28951]	1199	0.12995994091033936	0.23237832	Yes	
row_29	HCK	HCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4840]	1252	0.1276121288537979	0.23719245	Yes	
row_30	IGSF6	immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]	1289	0.12621355056762695	0.24287498	Yes	
row_31	SASH3	SAM and SH3 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:15975]	1314	0.12541981041431427	0.24922462	Yes	
row_32	ANXA6	annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]	1323	0.1250082105398178	0.25650388	Yes	
row_33	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	1372	0.12335661053657532	0.26129276	Yes	
row_34	PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	1386	0.1229163110256195	0.26814374	Yes	
row_35	CD300A	CD300a molecule [Source:HGNC Symbol;Acc:HGNC:19319]	1397	0.12262552976608276	0.27515578	Yes	
row_36	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	1406	0.12247047573328018	0.28227758	Yes	
row_37	SH2D2A	SH2 domain containing 2A [Source:HGNC Symbol;Acc:HGNC:10821]	1424	0.12194576114416122	0.28882954	Yes	
row_38	EVI2B	ecotropic viral integration site 2B [Source:HGNC Symbol;Acc:HGNC:3500]	1482	0.11996759474277496	0.29287082	Yes	
row_39	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	1502	0.11923569440841675	0.29913524	Yes	
row_40	ARHGEF3	Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]	1539	0.11818721890449524	0.3043197	Yes	
row_41	NCF2	neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]	1562	0.11763163655996323	0.3103055	Yes	
row_42	ATP8B4	ATPase phospholipid transporting 8B4 (putative) [Source:HGNC Symbol;Acc:HGNC:13536]	1565	0.11754658073186874	0.31747994	Yes	
row_43	RIN2	Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]	1578	0.11700363457202911	0.32402375	Yes	
row_44	CR1	complement C3b/C4b receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:HGNC:2334]	1580	0.1167367622256279	0.33120763	Yes	
row_45	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	1599	0.11603939533233643	0.3373334	Yes	
row_46	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	1632	0.11498839408159256	0.3425582	Yes	
row_47	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	1637	0.11479780822992325	0.3494427	Yes	
row_48	AIF1	allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:HGNC:352]	1684	0.1136094480752945	0.35374615	Yes	
row_49	NR4A3	nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]	1727	0.11258817464113235	0.35822502	Yes	
row_50	TYROBP	transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]	1855	0.10855256021022797	0.35737914	Yes	
row_51	MNDA	myeloid cell nuclear differentiation antigen [Source:HGNC Symbol;Acc:HGNC:7183]	1876	0.10787050426006317	0.36287862	Yes	
row_52	ATP8B1	ATPase phospholipid transporting 8B1 [Source:HGNC Symbol;Acc:HGNC:3706]	1931	0.1061401516199112	0.36624104	Yes	
row_53	TIGAR	TP53 induced glycolysis regulatory phosphatase [Source:HGNC Symbol;Acc:HGNC:1185]	1953	0.1056031882762909	0.37154013	Yes	
row_54	TM6SF1	transmembrane 6 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11860]	1986	0.10508132725954056	0.37615016	Yes	
row_55	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	1995	0.10485333949327469	0.3821788	Yes	
row_56	CAPG	capping actin protein, gelsolin like [Source:HGNC Symbol;Acc:HGNC:1474]	1999	0.10463705658912659	0.38849252	Yes	
row_57	SIRPA	signal regulatory protein alpha [Source:HGNC Symbol;Acc:HGNC:9662]	2160	0.09992241114377975	0.3851411	Yes	
row_58	ANXA3	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]	2177	0.0994931161403656	0.39035958	Yes	
row_59	CDC42EP3	CDC42 effector protein 3 [Source:HGNC Symbol;Acc:HGNC:16943]	2199	0.09886883199214935	0.3952408	Yes	
row_60	ZMAT3	zinc finger matrin-type 3 [Source:HGNC Symbol;Acc:HGNC:29983]	2268	0.09666887670755386	0.39717972	Yes	
row_61	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	2285	0.0963323637843132	0.40220204	Yes	
row_62	SH3BP5	SH3 domain binding protein 5 [Source:HGNC Symbol;Acc:HGNC:10827]	2289	0.09615524113178253	0.40798947	Yes	
row_63	MYO1F	myosin IF [Source:HGNC Symbol;Acc:HGNC:7600]	2311	0.09566105902194977	0.41267166	Yes	
row_64	ICAM3	intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]	2391	0.09385670721530914	0.41377938	Yes	
row_65	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	2402	0.09361132979393005	0.41899106	Yes	
row_66	SLC31A2	solute carrier family 31 member 2 [Source:HGNC Symbol;Acc:HGNC:11017]	2419	0.09317684173583984	0.4238176	Yes	
row_67	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	2431	0.09284179657697678	0.42892182	Yes	
row_68	MS4A6A	membrane spanning 4-domains A6A [Source:HGNC Symbol;Acc:HGNC:13375]	2489	0.0913679450750351	0.4311885	Yes	
row_69	BST1	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	2592	0.0888136550784111	0.43061024	Yes	
row_70	CPM	carboxypeptidase M [Source:HGNC Symbol;Acc:HGNC:2311]	2614	0.08839353173971176	0.43484148	Yes	
row_71	FRY	FRY microtubule binding protein [Source:HGNC Symbol;Acc:HGNC:20367]	2674	0.0871146023273468	0.43672484	Yes	
row_72	LPXN	leupaxin [Source:HGNC Symbol;Acc:HGNC:14061]	2691	0.08677880465984344	0.44115436	Yes	
row_73	GNB5	G protein subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:4401]	2697	0.08653157204389572	0.44622523	Yes	
row_74	SORL1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]	2816	0.08335889130830765	0.44435334	Yes	
row_75	PTPN22	protein tyrosine phosphatase non-receptor type 22 [Source:HGNC Symbol;Acc:HGNC:9652]	2889	0.08154651522636414	0.44511512	Yes	
