NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM114A1	family with sequence similarity 114 member A1 [Source:HGNC Symbol;Acc:HGNC:25087]	38	0.24136970937252045	0.008727565	Yes	
row_1	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	67	0.22355222702026367	0.017243003	Yes	
row_2	ABCA1	ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]	122	0.20597924292087555	0.023395305	Yes	
row_3	FBXL13	F-box and leucine rich repeat protein 13 [Source:HGNC Symbol;Acc:HGNC:21658]	145	0.19968737661838531	0.031182531	Yes	
row_4	LIMK1	LIM domain kinase 1 [Source:HGNC Symbol;Acc:HGNC:6613]	193	0.19147565960884094	0.037093688	Yes	
row_5	TPSAB1	tryptase alpha/beta 1 [Source:HGNC Symbol;Acc:HGNC:12019]	249	0.18524864315986633	0.04224032	Yes	
row_6	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	261	0.18427178263664246	0.049985044	Yes	
row_7	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	262	0.1841086447238922	0.05838298	Yes	
row_8	HACD4	3-hydroxyacyl-CoA dehydratase 4 [Source:HGNC Symbol;Acc:HGNC:20920]	285	0.18228749930858612	0.06537653	Yes	
row_9	GASK1B	golgi associated kinase 1B [Source:HGNC Symbol;Acc:HGNC:25312]	314	0.17941759526729584	0.071878806	Yes	
row_10	ABHD2	abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]	326	0.17852522432804108	0.07936141	Yes	
row_11	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	332	0.17826765775680542	0.08719261	Yes	
row_12	DAB2	DAB adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:2662]	400	0.172139510512352	0.09102057	Yes	
row_13	GNA12	G protein subunit alpha 12 [Source:HGNC Symbol;Acc:HGNC:4380]	410	0.17152753472328186	0.09830409	Yes	
row_14	HNMT	histamine N-methyltransferase [Source:HGNC Symbol;Acc:HGNC:5028]	414	0.17097781598567963	0.1059229	Yes	
row_15	TDO2	tryptophan 2,3-dioxygenase [Source:HGNC Symbol;Acc:HGNC:11708]	416	0.1709076315164566	0.11365863	Yes	
row_16	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	465	0.16764037311077118	0.1184225	Yes	
row_17	TREM1	triggering receptor expressed on myeloid cells 1 [Source:HGNC Symbol;Acc:HGNC:17760]	513	0.16394942998886108	0.12307807	Yes	
row_18	COL6A3	collagen type VI alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2213]	518	0.16371659934520721	0.1303056	Yes	
row_19	SIGLEC9	sialic acid binding Ig like lectin 9 [Source:HGNC Symbol;Acc:HGNC:10878]	520	0.16354577243328094	0.13770553	Yes	
row_20	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:5208]	525	0.16304121911525726	0.14490226	Yes	
row_21	EOMES	eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]	554	0.1613987237215042	0.15058263	Yes	
row_22	DCSTAMP	dendrocyte expressed seven transmembrane protein [Source:HGNC Symbol;Acc:HGNC:18549]	574	0.16024893522262573	0.15675108	Yes	
row_23	SIPA1L2	signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]	623	0.1571957916021347	0.16103853	Yes	
row_24	ZEB2	zinc finger E-box binding homeobox 2 [Source:HGNC Symbol;Acc:HGNC:14881]	659	0.15460452437400818	0.16598856	Yes	
row_25	GPNMB	glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]	725	0.15044891834259033	0.16894725	Yes	
row_26	LRRC25	leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:HGNC:29806]	728	0.1503208577632904	0.17568387	Yes	
row_27	SLC12A6	solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]	743	0.14986099302768707	0.1816788	Yes	
row_28	HBP1	HMG-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:23200]	805	0.1470288336277008	0.18472171	Yes	
row_29	TRIP11	thyroid hormone receptor interactor 11 [Source:HGNC Symbol;Acc:HGNC:12305]	915	0.14214789867401123	0.18465911	Yes	
row_30	OSTM1	osteoclastogenesis associated transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:21652]	952	0.14032159745693207	0.18889758	Yes	
row_31	PTPRO	protein tyrosine phosphatase receptor type O [Source:HGNC Symbol;Acc:HGNC:9678]	1151	0.1314786672592163	0.18300296	Yes	
row_32	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	1218	0.12919636070728302	0.18493216	Yes	
row_33	ACVR1	activin A receptor type 1 [Source:HGNC Symbol;Acc:HGNC:171]	1235	0.12846426665782928	0.18983097	Yes	
row_34	UBE3C	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]	1300	0.125959575176239	0.19173266	Yes	
row_35	CYP2E1	cytochrome P450 family 2 subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:2631]	1304	0.12582792341709137	0.197292	Yes	
row_36	OLR1	oxidized low density lipoprotein receptor 1 [Source:HGNC Symbol;Acc:HGNC:8133]	1367	0.12347636371850967	0.19920053	Yes	
row_37	GNPDA2	glucosamine-6-phosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:21526]	1479	0.120052769780159	0.19800995	Yes	
row_38	RAB8B	RAB8B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30273]	1553	0.11791723221540451	0.19900425	Yes	
row_39	HECW2	HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:29853]	1572	0.11725090444087982	0.20327146	Yes	
row_40	RIN2	Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:HGNC:18750]	1578	0.11700363457202911	0.20830816	Yes	
row_41	TNFAIP6	TNF alpha induced protein 6 [Source:HGNC Symbol;Acc:HGNC:11898]	1606	0.11582007259130478	0.21196957	Yes	
row_42	HAVCR2	hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]	1710	0.11292705684900284	0.21093443	Yes	
row_43	BTBD7	BTB domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]	1716	0.11285197734832764	0.21578178	Yes	
row_44	TLR1	toll like receptor 1 [Source:HGNC Symbol;Acc:HGNC:11847]	1741	0.11215835809707642	0.21945633	Yes	
row_45	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	1815	0.10960078984498978	0.22007127	Yes	
row_46	TMEM255A	transmembrane protein 255A [Source:HGNC Symbol;Acc:HGNC:26086]	1840	0.10876058042049408	0.22359085	Yes	
row_47	CAMK2D	calcium/calmodulin dependent protein kinase II delta [Source:HGNC Symbol;Acc:HGNC:1462]	1872	0.10800747573375702	0.22665565	Yes	
row_48	CREBL2	cAMP responsive element binding protein like 2 [Source:HGNC Symbol;Acc:HGNC:2350]	1880	0.10777202993631363	0.23115113	Yes	
row_49	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	1881	0.10776038467884064	0.23606652	Yes	
row_50	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	1941	0.10580337047576904	0.2373491	Yes	
row_51	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	1966	0.10533086955547333	0.24071223	Yes	
row_52	TM6SF1	transmembrane 6 superfamily member 1 [Source:HGNC Symbol;Acc:HGNC:11860]	1986	0.10508132725954056	0.24436426	Yes	
row_53	ZMYND11	zinc finger MYND-type containing 11 [Source:HGNC Symbol;Acc:HGNC:16966]	2061	0.10295265167951584	0.24461591	Yes	
row_54	CRK	CRK proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2362]	2067	0.10287723690271378	0.24900825	Yes	
row_55	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	2128	0.10103107243776321	0.25001308	Yes	
row_56	HINT3	histidine triad nucleotide binding protein 3 [Source:HGNC Symbol;Acc:HGNC:18468]	2131	0.10095232725143433	0.2544978	Yes	
row_57	PTGFRN	prostaglandin F2 receptor inhibitor [Source:HGNC Symbol;Acc:HGNC:9601]	2229	0.09790441393852234	0.2531378	Yes	
row_58	DENND1B	DENN domain containing 1B [Source:HGNC Symbol;Acc:HGNC:28404]	2250	0.0972539484500885	0.25637275	Yes	
row_59	CREBRF	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	2267	0.0967123731970787	0.25982323	Yes	
row_60	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	2274	0.09652005136013031	0.26386553	Yes	
row_61	GJA1	gap junction protein alpha 1 [Source:HGNC Symbol;Acc:HGNC:4274]	2285	0.0963323637843132	0.26765904	Yes	
row_62	LY96	lymphocyte antigen 96 [Source:HGNC Symbol;Acc:HGNC:17156]	2402	0.09361132979393005	0.26496208	Yes	
row_63	STC1	stanniocalcin 1 [Source:HGNC Symbol;Acc:HGNC:11373]	2411	0.09330859780311584	0.26873776	Yes	
row_64	SPRED1	sprouty related EVH1 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20249]	2467	0.09186223894357681	0.26962468	Yes	
row_65	KCNJ15	potassium inwardly rectifying channel subfamily J member 15 [Source:HGNC Symbol;Acc:HGNC:6261]	2531	0.09044115990400314	0.26996627	Yes	
row_66	KBTBD8	kelch repeat and BTB domain containing 8 [Source:HGNC Symbol;Acc:HGNC:30691]	2590	0.08889786154031754	0.2705378	Yes	
row_67	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	2595	0.08874303847551346	0.27434546	Yes	
row_68	H2BC8	H2B clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4746]	2605	0.08856111764907837	0.27784455	Yes	
row_69	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	2613	0.08839386701583862	0.28145614	Yes	
