NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMP3	epithelial membrane protein 3 (MAM blood group) [Source:HGNC Symbol;Acc:HGNC:3335]	19	0.26649391651153564	0.011756118	Yes	
row_1	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	67	0.22355222702026367	0.019754808	Yes	
row_2	MILR1	mast cell immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:27570]	172	0.1952294558286667	0.022964042	Yes	
row_3	KCNJ2	potassium inwardly rectifying channel subfamily J member 2 [Source:HGNC Symbol;Acc:HGNC:6263]	261	0.18427178263664246	0.02660272	Yes	
row_4	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	332	0.17826765775680542	0.031030511	Yes	
row_5	CTSK	cathepsin K [Source:HGNC Symbol;Acc:HGNC:2536]	396	0.17228764295578003	0.035588793	Yes	
row_6	MFAP3	microfibril associated protein 3 [Source:HGNC Symbol;Acc:HGNC:7034]	460	0.1679086983203888	0.039935175	Yes	
row_7	GPR65	G protein-coupled receptor 65 [Source:HGNC Symbol;Acc:HGNC:4517]	540	0.162342831492424	0.04305253	Yes	
row_8	FAM20C	FAM20C golgi associated secretory pathway kinase [Source:HGNC Symbol;Acc:HGNC:22140]	587	0.15949714183807373	0.04801155	Yes	
row_9	CYBB	cytochrome b-245 beta chain [Source:HGNC Symbol;Acc:HGNC:2578]	609	0.15811175107955933	0.054403048	Yes	
row_10	CALHM2	calcium homeostasis modulator family member 2 [Source:HGNC Symbol;Acc:HGNC:23493]	618	0.15728966891765594	0.061534513	Yes	
row_11	NINJ2	ninjurin 2 [Source:HGNC Symbol;Acc:HGNC:7825]	621	0.15723401308059692	0.06902317	Yes	
row_12	SIPA1L2	signal induced proliferation associated 1 like 2 [Source:HGNC Symbol;Acc:HGNC:23800]	623	0.1571957916021347	0.07656997	Yes	
row_13	SLC12A6	solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]	743	0.14986099302768707	0.07668409	Yes	
row_14	LGALS1	galectin 1 [Source:HGNC Symbol;Acc:HGNC:6561]	753	0.14964734017848969	0.08338576	Yes	
