NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RPS14_DN.V1_UP	RPS14_DN.V1_UP	Details ...	183	0.46746236	1.6205573	0.051454138	1.0	0.454	3019	tags=45%, list=18%, signal=54%	
CAHOY_ASTROGLIAL	CAHOY_ASTROGLIAL	Details ...	97	0.353467	1.3957199	0.08928572	1.0	0.872	2437	tags=30%, list=14%, signal=35%	
CRX_DN.V1_DN	CRX_DN.V1_DN	Details ...	123	0.29971358	1.354752	0.043879908	1.0	0.918	3508	tags=36%, list=21%, signal=45%	
ESC_V6.5_UP_EARLY.V1_DN	ESC_V6.5_UP_EARLY.V1_DN	Details ...	156	0.33478191	1.3400497	0.12590799	1.0	0.928	2481	tags=29%, list=15%, signal=33%	
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP	Details ...	190	0.36337262	1.3175967	0.1724138	1.0	0.945	4360	tags=46%, list=26%, signal=61%	
MEL18_DN.V1_UP	MEL18_DN.V1_UP	Details ...	140	0.3365543	1.3049692	0.14457831	1.0	0.952	2610	tags=32%, list=15%, signal=38%	
CAMP_UP.V1_DN	CAMP_UP.V1_DN	Details ...	196	0.32218057	1.3010594	0.14489311	1.0	0.953	2505	tags=28%, list=15%, signal=32%	
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP	Details ...	139	0.34496367	1.2914954	0.16049382	1.0	0.957	2699	tags=35%, list=16%, signal=41%	
LEF1_UP.V1_UP	LEF1_UP.V1_UP	Details ...	186	0.31319264	1.2554218	0.17873304	1.0	0.975	4682	tags=46%, list=28%, signal=62%	
PTEN_DN.V2_UP	PTEN_DN.V2_UP	Details ...	123	0.3013665	1.255205	0.15654206	1.0	0.975	3165	tags=33%, list=19%, signal=40%	
BMI1_DN.V1_UP	BMI1_DN.V1_UP	Details ...	142	0.31569952	1.2419882	0.18676123	1.0	0.979	2821	tags=33%, list=17%, signal=39%	
PTEN_DN.V1_DN	PTEN_DN.V1_DN	Details ...	149	0.31135798	1.2349249	0.18764846	1.0	0.982	3367	tags=33%, list=20%, signal=41%	
RAF_UP.V1_UP	RAF_UP.V1_UP	Details ...	191	0.29178247	1.2315979	0.15990454	1.0	0.983	3873	tags=37%, list=23%, signal=48%	
ESC_V6.5_UP_LATE.V1_UP	ESC_V6.5_UP_LATE.V1_UP	Details ...	174	0.2651531	1.2281094	0.12565444	1.0	0.983	4194	tags=41%, list=25%, signal=54%	
STK33_NOMO_UP	STK33_NOMO_UP	Details ...	284	0.32436886	1.2081233	0.25503355	1.0	0.99	4308	tags=41%, list=25%, signal=54%	
ATF2_UP.V1_DN	ATF2_UP.V1_DN	Details ...	179	0.2866888	1.2067629	0.21686748	1.0	0.99	3861	tags=35%, list=23%, signal=45%	
ATM_DN.V1_DN	ATM_DN.V1_DN	Details ...	113	0.27318057	1.2043912	0.1840796	0.9535858	0.99	2455	tags=27%, list=14%, signal=32%	
ESC_J1_UP_LATE.V1_UP	ESC_J1_UP_LATE.V1_UP	Details ...	172	0.26961938	1.1880785	0.18181819	0.9767827	0.995	3734	tags=35%, list=22%, signal=44%	
STK33_UP	STK33_UP	Details ...	277	0.3149432	1.1775196	0.28310502	0.9747636	0.996	3803	tags=38%, list=22%, signal=48%	
STK33_SKM_UP	STK33_SKM_UP	Details ...	262	0.30678213	1.1763818	0.27578476	0.93033844	0.996	3660	tags=37%, list=22%, signal=47%	
BCAT_BILD_ET_AL_DN	BCAT_BILD_ET_AL_DN		45	0.3775272	1.1641895	0.3059867	0.9404258	0.997	4178	tags=51%, list=25%, signal=68%	
GLI1_UP.V1_UP	GLI1_UP.V1_UP		24	0.33980712	1.1357347	0.28742516	1.0	0.998	2063	tags=29%, list=12%, signal=33%	
KRAS.600.LUNG.BREAST_UP.V1_UP	KRAS.600.LUNG.BREAST_UP.V1_UP		228	0.24264483	1.1252813	0.24213837	1.0	0.998	4009	tags=35%, list=24%, signal=45%	
YAP1_UP	YAP1_UP		45	0.30823302	1.1206405	0.31656185	1.0	0.998	4562	tags=47%, list=27%, signal=64%	
E2F1_UP.V1_DN	E2F1_UP.V1_DN		184	0.23308878	1.1159327	0.24678664	0.9865645	0.999	3516	tags=30%, list=21%, signal=37%	
RB_DN.V1_DN	RB_DN.V1_DN		117	0.26529858	1.1087273	0.32125604	0.97962993	0.999	2450	tags=22%, list=14%, signal=26%	
GCNP_SHH_UP_EARLY.V1_DN	GCNP_SHH_UP_EARLY.V1_DN		155	0.22236942	1.10563	0.24147727	0.95595175	0.999	3716	tags=31%, list=22%, signal=39%	
ATF2_S_UP.V1_DN	ATF2_S_UP.V1_DN		177	0.24814117	1.0958595	0.3084833	0.9612054	0.999	3551	tags=30%, list=21%, signal=37%	
TBK1.DF_UP	TBK1.DF_UP		284	0.24235402	1.0938346	0.32394367	0.9363108	0.999	3203	tags=30%, list=19%, signal=37%	
CYCLIN_D1_KE_.V1_DN	CYCLIN_D1_KE_.V1_DN		167	0.25508836	1.0908195	0.33091787	0.91635376	0.999	2960	tags=30%, list=17%, signal=36%	
KRAS.50_UP.V1_UP	KRAS.50_UP.V1_UP		47	0.32801226	1.0793889	0.35011992	0.93241966	0.999	3483	tags=32%, list=21%, signal=40%	
RELA_DN.V1_DN	RELA_DN.V1_DN		118	0.23380247	1.0673205	0.32831326	0.9515934	1.0	4550	tags=41%, list=27%, signal=55%	
AKT_UP.V1_DN	AKT_UP.V1_DN		181	0.24566019	1.0547422	0.34955752	0.9711515	1.0	2835	tags=25%, list=17%, signal=30%	
PDGF_UP.V1_DN	PDGF_UP.V1_DN		111	0.23433518	1.0538324	0.3529412	0.9462781	1.0	2029	tags=21%, list=12%, signal=23%	
RAF_UP.V1_DN	RAF_UP.V1_DN		190	0.24360162	1.0407879	0.35588974	0.96960014	1.0	3147	tags=28%, list=19%, signal=34%	
KRAS.LUNG.BREAST_UP.V1_UP	KRAS.LUNG.BREAST_UP.V1_UP		119	0.23659694	1.0404999	0.36555892	0.9442762	1.0	3987	tags=34%, list=24%, signal=44%	
KRAS.600_UP.V1_UP	KRAS.600_UP.V1_UP		243	0.24924865	1.034203	0.40153453	0.94129014	1.0	3511	tags=30%, list=21%, signal=38%	
WNT_UP.V1_DN	WNT_UP.V1_DN		153	0.22393401	1.0304245	0.4	0.9306419	1.0	3673	tags=32%, list=22%, signal=41%	
LTE2_UP.V1_UP	LTE2_UP.V1_UP		186	0.22510158	1.0293022	0.3962704	0.9105694	1.0	3131	tags=26%, list=18%, signal=31%	
CORDENONSI_YAP_CONSERVED_SIGNATURE	CORDENONSI_YAP_CONSERVED_SIGNATURE		57	0.31735635	1.0256152	0.42045453	0.901597	1.0	2503	tags=30%, list=15%, signal=35%	
IL15_UP.V1_DN	IL15_UP.V1_DN		154	0.23284937	1.0205414	0.42077923	0.89758646	1.0	3217	tags=28%, list=19%, signal=34%	
EGFR_UP.V1_UP	EGFR_UP.V1_UP		192	0.2582476	1.0152706	0.4325	0.89379907	1.0	3131	tags=30%, list=18%, signal=37%	
ALK_DN.V1_UP	ALK_DN.V1_UP		118	0.24105075	1.0151616	0.43229166	0.8733993	1.0	3729	tags=35%, list=22%, signal=44%	
PKCA_DN.V1_DN	PKCA_DN.V1_DN		137	0.21841581	1.0151306	0.40860215	0.8536675	1.0	3729	tags=28%, list=22%, signal=36%	
RAPA_EARLY_UP.V1_UP	RAPA_EARLY_UP.V1_UP		149	0.20623855	1.007061	0.42131978	0.8616915	1.0	2488	tags=21%, list=15%, signal=25%	
P53_DN.V2_DN	P53_DN.V2_DN		127	0.22053143	1.0018579	0.44235924	0.85993034	1.0	2161	tags=20%, list=13%, signal=22%	
MEK_UP.V1_UP	MEK_UP.V1_UP		194	0.23597021	1.0016042	0.46666667	0.84254974	1.0	3292	tags=27%, list=19%, signal=34%	
P53_DN.V1_DN	P53_DN.V1_DN		190	0.27326652	0.9995011	0.4649123	0.8317276	1.0	2951	tags=32%, list=17%, signal=38%	
EIF4E_DN	EIF4E_DN		99	0.28383806	0.9973843	0.43612334	0.8208672	1.0	4060	tags=38%, list=24%, signal=50%	
P53_DN.V1_UP	P53_DN.V1_UP		190	0.23580606	0.9877564	0.42475727	0.8352614	1.0	3944	tags=36%, list=23%, signal=46%	
JNK_DN.V1_DN	JNK_DN.V1_DN		162	0.21410015	0.98594373	0.4814815	0.8237084	1.0	2623	tags=22%, list=15%, signal=26%	
TGFB_UP.V1_UP	TGFB_UP.V1_UP		182	0.24133553	0.97474104	0.46681923	0.84246296	1.0	3728	tags=31%, list=22%, signal=39%	
KRAS.DF.V1_UP	KRAS.DF.V1_UP		191	0.21163791	0.97409284	0.46907216	0.8284971	1.0	3217	tags=28%, list=19%, signal=35%	
PTEN_DN.V1_UP	PTEN_DN.V1_UP		157	0.23092423	0.9684503	0.51741296	0.82944757	1.0	3431	tags=28%, list=20%, signal=35%	
PRC2_EZH2_UP.V1_UP	PRC2_EZH2_UP.V1_UP		185	0.22087003	0.96271163	0.5412371	0.8322798	1.0	1896	tags=19%, list=11%, signal=22%	
WNT_UP.V1_UP	WNT_UP.V1_UP		151	0.20678611	0.957581	0.5322129	0.83196354	1.0	3189	tags=28%, list=19%, signal=34%	
ERBB2_UP.V1_UP	ERBB2_UP.V1_UP		189	0.19980974	0.9543195	0.530343	0.8274772	1.0	3189	tags=25%, list=19%, signal=30%	
P53_DN.V2_UP	P53_DN.V2_UP		119	0.21943653	0.92955035	0.5710594	0.8878916	1.0	3923	tags=30%, list=23%, signal=39%	
KRAS.LUNG_UP.V1_UP	KRAS.LUNG_UP.V1_UP		114	0.21510305	0.91657394	0.59331477	0.91053593	1.0	3235	tags=26%, list=19%, signal=32%	
MYC_UP.V1_DN	MYC_UP.V1_DN		156	0.20953037	0.910714	0.61323154	0.9127799	1.0	1773	tags=17%, list=10%, signal=18%	
STK33_SKM_DN	STK33_SKM_DN		253	0.18960945	0.90456164	0.68079096	0.91618156	1.0	3536	tags=28%, list=21%, signal=35%	
KRAS.AMP.LUNG_UP.V1_UP	KRAS.AMP.LUNG_UP.V1_UP		107	0.223379	0.8986794	0.6179487	0.91728973	1.0	1554	tags=16%, list=9%, signal=17%	
KRAS.300_UP.V1_UP	KRAS.300_UP.V1_UP		129	0.23110716	0.88878226	0.6075	0.931009	1.0	3605	tags=29%, list=21%, signal=37%	
BRCA1_DN.V1_UP	BRCA1_DN.V1_UP		95	0.23211913	0.8864254	0.6275	0.92292154	1.0	2884	tags=28%, list=17%, signal=34%	
KRAS.BREAST_UP.V1_DN	KRAS.BREAST_UP.V1_DN		119	0.21208745	0.8789682	0.6585366	0.9285628	1.0	2623	tags=25%, list=15%, signal=30%	
PRC2_SUZ12_UP.V1_UP	PRC2_SUZ12_UP.V1_UP		165	0.19343501	0.87781954	0.680203	0.91733074	1.0	1681	tags=18%, list=10%, signal=19%	
IL2_UP.V1_DN	IL2_UP.V1_DN		173	0.19977352	0.87519616	0.675	0.9108633	1.0	1926	tags=19%, list=11%, signal=21%	
SNF5_DN.V1_UP	SNF5_DN.V1_UP		164	0.2269348	0.8709688	0.61255413	0.9081483	1.0	3802	tags=37%, list=22%, signal=47%	
AKT_UP_MTOR_DN.V1_DN	AKT_UP_MTOR_DN.V1_DN		179	0.181072	0.8708559	0.7651515	0.8952289	1.0	1055	tags=12%, list=6%, signal=12%	
BCAT_GDS748_UP	BCAT_GDS748_UP		45	0.21535951	0.8289315	0.75064933	0.9892629	1.0	2908	tags=27%, list=17%, signal=32%	
KRAS.BREAST_UP.V1_UP	KRAS.BREAST_UP.V1_UP		109	0.18577217	0.82767683	0.8165138	0.97854036	1.0	3511	tags=28%, list=21%, signal=34%	
VEGF_A_UP.V1_UP	VEGF_A_UP.V1_UP		184	0.19181947	0.82362777	0.785877	0.97454345	1.0	1675	tags=16%, list=10%, signal=17%	
NOTCH_DN.V1_DN	NOTCH_DN.V1_DN		149	0.18563777	0.8223117	0.8423913	0.96466744	1.0	961	tags=13%, list=6%, signal=13%	
IL21_UP.V1_UP	IL21_UP.V1_UP		161	0.18284543	0.8192218	0.8106667	0.95889497	1.0	1521	tags=16%, list=9%, signal=17%	
JNK_DN.V1_UP	JNK_DN.V1_UP		166	0.19174309	0.81810015	0.7555012	0.94861615	1.0	3516	tags=30%, list=21%, signal=38%	
NRL_DN.V1_DN	NRL_DN.V1_DN		121	0.17600717	0.8175849	0.84367245	0.9375158	1.0	1705	tags=16%, list=10%, signal=17%	
GCNP_SHH_UP_LATE.V1_DN	GCNP_SHH_UP_LATE.V1_DN		165	0.18391272	0.79362065	0.8414097	0.9742961	1.0	3913	tags=30%, list=23%, signal=39%	
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN		176	0.16189004	0.7797792	0.9361111	0.9877125	1.0	2757	tags=20%, list=16%, signal=24%	
MTOR_UP.V1_DN	MTOR_UP.V1_DN		175	0.17546146	0.77622145	0.85091746	0.9816911	1.0	883	tags=10%, list=5%, signal=11%	
IL2_UP.V1_UP	IL2_UP.V1_UP		171	0.17046878	0.7746167	0.8497537	0.9724683	1.0	3795	tags=29%, list=22%, signal=37%	
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP		150	0.20039058	0.7737571	0.7702407	0.96201974	1.0	2563	tags=21%, list=15%, signal=25%	
BMI1_DN_MEL18_DN.V1_DN	BMI1_DN_MEL18_DN.V1_DN		142	0.18531154	0.7725912	0.81093395	0.9523719	1.0	3664	tags=30%, list=22%, signal=38%	
CYCLIN_D1_KE_.V1_UP	CYCLIN_D1_KE_.V1_UP		174	0.17882691	0.76713204	0.8830022	0.9502119	1.0	3724	tags=30%, list=22%, signal=39%	
MEL18_DN.V1_DN	MEL18_DN.V1_DN		143	0.17747428	0.76257414	0.8642857	0.94597834	1.0	3693	tags=27%, list=22%, signal=34%	
PGF_UP.V1_UP	PGF_UP.V1_UP		188	0.22631273	0.7508949	0.7029914	0.9524466	1.0	4186	tags=33%, list=25%, signal=43%	
JAK2_DN.V1_UP	JAK2_DN.V1_UP		142	0.16960555	0.7472101	0.89863014	0.9470086	1.0	3436	tags=27%, list=20%, signal=33%	
SIRNA_EIF4GI_DN	SIRNA_EIF4GI_DN		90	0.19649656	0.7382648	0.80349344	0.9485283	1.0	3184	tags=29%, list=19%, signal=35%	
CRX_NRL_DN.V1_DN	CRX_NRL_DN.V1_DN		113	0.15853417	0.72111815	0.95526314	0.9596378	1.0	3297	tags=24%, list=19%, signal=29%	
CYCLIN_D1_UP.V1_UP	CYCLIN_D1_UP.V1_UP		169	0.16809022	0.7210789	0.93271464	0.9488883	1.0	1581	tags=15%, list=9%, signal=16%	
RB_P130_DN.V1_DN	RB_P130_DN.V1_DN		133	0.17512494	0.69291025	0.8983834	0.96834147	1.0	2714	tags=20%, list=16%, signal=24%	
KRAS.PROSTATE_UP.V1_UP	KRAS.PROSTATE_UP.V1_UP		119	0.15818186	0.65527076	0.9598997	0.9886237	1.0	4676	tags=34%, list=28%, signal=47%	
KRAS.KIDNEY_UP.V1_UP	KRAS.KIDNEY_UP.V1_UP		131	0.21413071	0.6470222	0.77874184	0.9838304	1.0	3483	tags=28%, list=21%, signal=35%	
TBK1.DF_DN	TBK1.DF_DN		284	0.17251809	0.5984198	0.8689956	0.99738216	1.0	3587	tags=25%, list=21%, signal=31%	
MTOR_UP.N4.V1_DN	MTOR_UP.N4.V1_DN		181	0.15819864	0.58998126	0.9567198	0.9897252	1.0	4324	tags=31%, list=26%, signal=42%	
HINATA_NFKB_IMMU_INF	HINATA_NFKB_IMMU_INF		15	0.21702565	0.53845334	0.9246575	0.99093145	1.0	3269	tags=33%, list=19%, signal=41%	
