NAME	TITLE	SCORE	
HLA-DQB1	major histocompatibility complex, class II, DQ beta 1 [Source:HGNC Symbol;Acc:HGNC:4944]	0.37241054	
RNASE3	ribonuclease A family member 3 [Source:HGNC Symbol;Acc:HGNC:10046]	0.34579352	
RNF152	ring finger protein 152 [Source:HGNC Symbol;Acc:HGNC:26811]	0.3387902	
L3MBTL3	L3MBTL histone methyl-lysine binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23035]	0.32085997	
B4GALNT1	beta-1,4-N-acetyl-galactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:4117]	0.29973143	
TDRD1	tudor domain containing 1 [Source:HGNC Symbol;Acc:HGNC:11712]	0.29858536	
ALOX5AP	arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]	0.2963883	
ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]	0.28915533	
KCNMB4	potassium calcium-activated channel subfamily M regulatory beta subunit 4 [Source:HGNC Symbol;Acc:HGNC:6289]	0.28504202	
CPPED1	calcineurin like phosphoesterase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25632]	0.28183395	
SEC31A	SEC31 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:17052]	0.2806008	
LZTS1	leucine zipper tumor suppressor 1 [Source:HGNC Symbol;Acc:HGNC:13861]	0.2767574	
CDH20	cadherin 20 [Source:HGNC Symbol;Acc:HGNC:1760]	0.2752387	
TRPV2	transient receptor potential cation channel subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:18082]	0.27430448	
VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	0.27198267	
CST2	cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]	0.27193588	
APMAP	adipocyte plasma membrane associated protein [Source:HGNC Symbol;Acc:HGNC:13238]	0.2697616	
ZNF597	zinc finger protein 597 [Source:HGNC Symbol;Acc:HGNC:26573]	0.26915425	
CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	0.26695013	
EMP3	epithelial membrane protein 3 (MAM blood group) [Source:HGNC Symbol;Acc:HGNC:3335]	0.26649392	
TBC1D2B	TBC1 domain family member 2B [Source:HGNC Symbol;Acc:HGNC:29183]	0.26307243	
STRA6	signaling receptor and transporter of retinol STRA6 [Source:HGNC Symbol;Acc:HGNC:30650]	0.25767714	
ADGRE3	adhesion G protein-coupled receptor E3 [Source:HGNC Symbol;Acc:HGNC:23647]	0.25387347	
TMEM109	transmembrane protein 109 [Source:HGNC Symbol;Acc:HGNC:28771]	0.25278983	
GPR85	G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536]	0.25278142	
PDGFRB	platelet derived growth factor receptor beta [Source:HGNC Symbol;Acc:HGNC:8804]	0.25214753	
RNASE2	ribonuclease A family member 2 [Source:HGNC Symbol;Acc:HGNC:10045]	0.2520709	
DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	0.25142807	
RNF145	ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853]	0.24942446	
IL31RA	interleukin 31 receptor A [Source:HGNC Symbol;Acc:HGNC:18969]	0.24598442	
SNX3	sorting nexin 3 [Source:HGNC Symbol;Acc:HGNC:11174]	0.24566156	
NPC2	NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]	0.24497704	
SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	0.24467511	
PIEZO2	piezo type mechanosensitive ion channel component 2 [Source:HGNC Symbol;Acc:HGNC:26270]	0.24315494	
F2R	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	0.24159159	
B4GALT1	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]	0.2414351	
CDR1	cerebellar degeneration related 1 [Source:HGNC Symbol;Acc:HGNC:1798]	0.24143346	
PCDHB7	protocadherin beta 7 [Source:HGNC Symbol;Acc:HGNC:8692]	0.24139735	
FAM114A1	family with sequence similarity 114 member A1 [Source:HGNC Symbol;Acc:HGNC:25087]	0.24136971	
STK10	serine/threonine kinase 10 [Source:HGNC Symbol;Acc:HGNC:11388]	0.24068856	
LTBP2	latent transforming growth factor beta binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6715]	0.23974423	
RPLP0P2	ribosomal protein lateral stalk subunit P0 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:17960]	0.23808217	
FAM171A2	family with sequence similarity 171 member A2 [Source:HGNC Symbol;Acc:HGNC:30480]	0.23807932	
SPAAR	small regulatory polypeptide of amino acid response [Source:HGNC Symbol;Acc:HGNC:27244]	0.23783273	
EVC	EvC ciliary complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:3497]	0.23542994	
ACO1	aconitase 1 [Source:HGNC Symbol;Acc:HGNC:117]	0.23540434	
NR3C1	nuclear receptor subfamily 3 group C member 1 [Source:HGNC Symbol;Acc:HGNC:7978]	0.23445077	
CIMAP1D	CIMAP1 family member D [Source:HGNC Symbol;Acc:HGNC:26841]	0.23397094	
CYP19A1	cytochrome P450 family 19 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2594]	0.23368406	
PABPC4L	poly(A) binding protein cytoplasmic 4 like [Source:HGNC Symbol;Acc:HGNC:31955]	0.23351158	
RASA3	RAS p21 protein activator 3 [Source:HGNC Symbol;Acc:HGNC:20331]	0.23343003	
LIX1L	limb and CNS expressed 1 like [Source:HGNC Symbol;Acc:HGNC:28715]	0.23304133	
DKK3	dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]	0.23289582	
VSTM4	V-set and transmembrane domain containing 4 [Source:HGNC Symbol;Acc:HGNC:26470]	0.23226765	
DOK6	docking protein 6 [Source:HGNC Symbol;Acc:HGNC:28301]	0.23220988	
SHISA6	shisa family member 6 [Source:HGNC Symbol;Acc:HGNC:34491]	0.23207927	
MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	0.23189312	
PTGIS	prostaglandin I2 synthase [Source:HGNC Symbol;Acc:HGNC:9603]	0.231521	
