NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	208	0.17681439220905304	8.250654E-4	No	
row_1	VCAN	versican [Source:HGNC Symbol;Acc:HGNC:2464]	472	0.1485225111246109	-0.0037508735	No	
row_2	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	514	0.1456158608198166	0.004705324	No	
row_3	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	653	0.13654570281505585	0.006693062	No	
row_4	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	667	0.1354338675737381	0.01605801	No	
row_5	SNHG6	small nucleolar RNA host gene 6 [Source:HGNC Symbol;Acc:HGNC:32965]	705	0.1329193413257599	0.023802267	No	
row_6	HPGD	15-hydroxyprostaglandin dehydrogenase [Source:HGNC Symbol;Acc:HGNC:5154]	805	0.12823201715946198	0.027495168	No	
row_7	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	854	0.12604102492332458	0.03406788	No	
row_8	PI16	peptidase inhibitor 16 [Source:HGNC Symbol;Acc:HGNC:21245]	881	0.12469937652349472	0.04185318	No	
row_9	PKP1	plakophilin 1 [Source:HGNC Symbol;Acc:HGNC:9023]	968	0.12084011733531952	0.045768484	No	
row_10	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	1122	0.11401449888944626	0.045173906	No	
row_11	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	1179	0.11176670342683792	0.050200336	No	
row_12	GNA14	G protein subunit alpha 14 [Source:HGNC Symbol;Acc:HGNC:4382]	1394	0.10416105389595032	0.04522726	No	
row_13	CD200	CD200 molecule [Source:HGNC Symbol;Acc:HGNC:7203]	1484	0.10169989615678787	0.04753036	No	
row_14	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	1608	0.09763772785663605	0.047500055	No	
row_15	NDRG4	NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466]	1629	0.09702229499816895	0.053571086	No	
row_16	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	1695	0.0948135033249855	0.056790967	No	
row_17	AFG2A	AFG2 AAA ATPase homolog A [Source:HGNC Symbol;Acc:HGNC:18119]	1699	0.09458926320075989	0.06369444	No	
row_18	MSL2	MSL complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:25544]	2062	0.08572979271411896	0.04850811	No	
row_19	TULP3	TUB like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]	2088	0.08516949415206909	0.053393226	No	
row_20	MYO1G	myosin IG [Source:HGNC Symbol;Acc:HGNC:13880]	2212	0.082233726978302	0.05220952	No	
row_21	SLCO3A1	solute carrier organic anion transporter family member 3A1 [Source:HGNC Symbol;Acc:HGNC:10952]	2220	0.08206483721733093	0.057936475	No	
row_22	PPP1R3C	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]	2221	0.08206300437450409	0.06408108	No	
row_23	TNNC2	troponin C2, fast skeletal type [Source:HGNC Symbol;Acc:HGNC:11944]	2586	0.07486919313669205	0.047962174	No	
row_24	PLEK2	pleckstrin 2 [Source:HGNC Symbol;Acc:HGNC:19238]	2824	0.06971428543329239	0.039037116	No	
row_25	H2AC8	H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]	2882	0.06851224601268768	0.040765114	No	
row_26	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	2887	0.06838537007570267	0.045646846	No	
row_27	RGS19	regulator of G protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735]	2952	0.06661316752433777	0.046814863	No	
row_28	CADM3	cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:17601]	3034	0.06507488340139389	0.046853073	No	
row_29	VPS33B	VPS33B late endosome and lysosome associated [Source:HGNC Symbol;Acc:HGNC:12712]	3240	0.06125681474804878	0.039204624	No	
row_30	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	3280	0.060615137219429016	0.04141562	No	
row_31	KRT6B	keratin 6B [Source:HGNC Symbol;Acc:HGNC:6444]	3641	0.0538119301199913	0.023958754	No	
row_32	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	3707	0.05291539803147316	0.024041442	No	
row_33	S1PR3	sphingosine-1-phosphate receptor 3 [Source:HGNC Symbol;Acc:HGNC:3167]	3763	0.05185416340827942	0.024641506	No	
row_34	LRRC1	leucine rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:14307]	3820	0.05083136633038521	0.025105303	No	
row_35	MLPH	melanophilin [Source:HGNC Symbol;Acc:HGNC:29643]	3950	0.04896853119134903	0.021072708	No	
row_36	MGAT4B	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B [Source:HGNC Symbol;Acc:HGNC:7048]	4020	0.04774198308587074	0.020529294	No	
row_37	RTN1	reticulon 1 [Source:HGNC Symbol;Acc:HGNC:10467]	4081	0.04660559445619583	0.020437945	No	
row_38	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:7432]	4158	0.04538002982735634	0.01929989	No	
row_39	WEE1	WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]	4193	0.045064762234687805	0.020644944	No	
row_40	BMP7	bone morphogenetic protein 7 [Source:HGNC Symbol;Acc:HGNC:1074]	4342	0.042651474475860596	0.015005359	No	
row_41	COIL	coilin [Source:HGNC Symbol;Acc:HGNC:2184]	4352	0.042445819824934006	0.017646408	No	
row_42	C1R	complement C1r [Source:HGNC Symbol;Acc:HGNC:1246]	4355	0.04241925850510597	0.020703252	No	
row_43	HARS2	histidyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:4817]	4395	0.04173022136092186	0.021500207	No	
row_44	IL17RC	interleukin 17 receptor C [Source:HGNC Symbol;Acc:HGNC:18358]	4450	0.04090825468301773	0.021340363	No	
row_45	STEAP1	STEAP family member 1 [Source:HGNC Symbol;Acc:HGNC:11378]	4607	0.03841006010770798	0.014905726	No	
row_46	GSPT2	G1 to S phase transition 2 [Source:HGNC Symbol;Acc:HGNC:4622]	4638	0.03792385384440422	0.015954826	No	
row_47	AP2B1	adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]	4658	0.03757781535387039	0.017634537	No	
row_48	TSPYL4	TSPY like 4 [Source:HGNC Symbol;Acc:HGNC:21559]	4874	0.034221161156892776	0.007364913	No	
row_49	FEZ2	fasciculation and elongation protein zeta 2 [Source:HGNC Symbol;Acc:HGNC:3660]	5115	0.030734827741980553	-0.0046578483	No	
row_50	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	5119	0.03064720518887043	-0.0025421393	No	
row_51	FBN1	fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603]	5237	0.028643984347581863	-0.0073803635	No	
row_52	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	5239	0.028629198670387268	-0.005296389	No	
row_53	ACY1	aminoacylase 1 [Source:HGNC Symbol;Acc:HGNC:177]	5565	0.023006750270724297	-0.022970915	No	
row_54	JPH3	junctophilin 3 [Source:HGNC Symbol;Acc:HGNC:14203]	5592	0.02273043431341648	-0.022820711	No	
row_55	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	5658	0.02183709852397442	-0.025065063	No	
row_56	AMPD2	adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]	5977	0.017659159377217293	-0.042722214	No	
row_57	DPT	dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]	6116	0.01588994823396206	-0.049768772	No	
row_58	KCNAB3	potassium voltage-gated channel subfamily A regulatory beta subunit 3 [Source:HGNC Symbol;Acc:HGNC:6230]	6120	0.015749646350741386	-0.048768543	No	
row_59	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2 [Source:HGNC Symbol;Acc:HGNC:1470]	6225	0.014403161592781544	-0.053897187	No	
row_60	AQP5	aquaporin 5 [Source:HGNC Symbol;Acc:HGNC:638]	6388	0.012145203538239002	-0.06265655	No	
row_61	TYW1	tRNA-yW synthesizing protein 1 homolog [Source:HGNC Symbol;Acc:HGNC:25598]	6394	0.01204172894358635	-0.062053323	No	
row_62	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	6644	0.008620214648544788	-0.076269105	No	
row_63	MCM6	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	6738	0.007496312726289034	-0.08125839	No	
