NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	35	0.23562054336071014	0.020899512	Yes	
row_1	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	65	0.2158353328704834	0.040226337	Yes	
row_2	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	117	0.19613829255104065	0.05632191	Yes	
row_3	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	157	0.18619003891944885	0.072161585	Yes	
row_4	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	186	0.18077604472637177	0.08812812	Yes	
row_5	PTHLH	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	214	0.17534233629703522	0.10362416	Yes	
row_6	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	282	0.16505277156829834	0.11573485	Yes	
row_7	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	329	0.15971261262893677	0.12857501	Yes	
row_8	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	337	0.15872564911842346	0.14364102	Yes	
row_9	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	488	0.1477060317993164	0.1491177	Yes	
row_10	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	493	0.1471998393535614	0.16323803	Yes	
row_11	MGLL	monoglyceride lipase [Source:HGNC Symbol;Acc:HGNC:17038]	542	0.14361418783664703	0.17438881	Yes	
row_12	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	590	0.14032751321792603	0.18527852	Yes	
row_13	CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	598	0.1397940218448639	0.19849785	Yes	
row_14	APBB2	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	610	0.13882876932621002	0.21138486	Yes	
row_15	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	615	0.13852904736995697	0.22465943	Yes	
row_16	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	710	0.13268879055976868	0.23200558	Yes	
row_17	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	713	0.13265228271484375	0.24482599	Yes	
row_18	CHST3	carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]	831	0.12702450156211853	0.25025016	Yes	
row_19	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	839	0.1265660524368286	0.26217917	Yes	
row_20	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	854	0.12604102492332458	0.2736402	Yes	
row_21	KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	891	0.12400571256875992	0.28359276	Yes	
row_22	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	929	0.1227899044752121	0.29336718	Yes	
row_23	BMAL2	basic helix-loop-helix ARNT like 2 [Source:HGNC Symbol;Acc:HGNC:18984]	967	0.12092737853527069	0.30295995	Yes	
row_24	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	1036	0.11757605522871017	0.31038	Yes	
row_25	KLF7	KLF transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]	1079	0.11581719666719437	0.31917658	Yes	
row_26	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	1122	0.11401449888944626	0.32779732	Yes	
row_27	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	1245	0.10939950495958328	0.33120456	Yes	
row_28	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	1428	0.10321139544248581	0.3304357	Yes	
row_29	TUFT1	tuftelin 1 [Source:HGNC Symbol;Acc:HGNC:12422]	1488	0.10157804936170578	0.3368311	Yes	
row_30	PIEZO1	piezo type mechanosensitive ion channel component 1 (Er blood group) [Source:HGNC Symbol;Acc:HGNC:28993]	1556	0.09911299496889114	0.34250975	Yes	
row_31	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	1659	0.09571045637130737	0.34577253	Yes	
row_32	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	1664	0.09560330957174301	0.35485992	Yes	
row_33	RUSC2	RUN and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23625]	1684	0.09514934569597244	0.36300993	Yes	
row_34	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	1692	0.09485944360494614	0.37184614	Yes	
row_35	HBEGF	heparin binding EGF like growth factor [Source:HGNC Symbol;Acc:HGNC:3059]	1750	0.09307029098272324	0.37753075	Yes	
row_36	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1974	0.08738324046134949	0.37277675	Yes	
row_37	SIK1	salt inducible kinase 1 [Source:HGNC Symbol;Acc:HGNC:11142]	2000	0.08673162013292313	0.3797484	Yes	
row_38	MMP7	matrix metallopeptidase 7 [Source:HGNC Symbol;Acc:HGNC:7174]	2198	0.08260505646467209	0.37607637	Yes	
row_39	ITGA3	integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]	2414	0.07794319838285446	0.37087786	Yes	
row_40	PIK3CG	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma [Source:HGNC Symbol;Acc:HGNC:8978]	2487	0.07654117792844772	0.37405705	Yes	
row_41	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	2492	0.07648111879825592	0.38127917	Yes	
row_42	MICA	MHC class I polypeptide-related sequence A [Source:HGNC Symbol;Acc:HGNC:7090]	2655	0.07301842421293259	0.378756	Yes	
row_43	FOSL1	FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]	2682	0.07251015305519104	0.38428086	Yes	
row_44	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	2707	0.07191907614469528	0.3898672	Yes	
row_45	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	2792	0.07034032046794891	0.391727	Yes	
row_46	SLC6A9	solute carrier family 6 member 9 [Source:HGNC Symbol;Acc:HGNC:11056]	2810	0.07002457976341248	0.39754528	Yes	
row_47	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	2948	0.06683436036109924	0.39590743	Yes	
row_48	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	2949	0.06677887588739395	0.40242133	Yes	
row_49	ZC3H12A	zinc finger CCCH-type containing 12A [Source:HGNC Symbol;Acc:HGNC:26259]	3145	0.06300244480371475	0.39695626	Yes	
row_50	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	3170	0.06246625632047653	0.4016205	Yes	
row_51	TRIO	trio Rho guanine nucleotide exchange factor [Source:HGNC Symbol;Acc:HGNC:12303]	3320	0.059769511222839355	0.398579	Yes	
row_52	STX1A	syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]	3351	0.05922113358974457	0.40256944	Yes	
row_53	GDF5	growth differentiation factor 5 [Source:HGNC Symbol;Acc:HGNC:4220]	3395	0.05839969217777252	0.40570572	Yes	
row_54	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	3408	0.058080680668354034	0.41065666	Yes	
row_55	FAP	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	3436	0.05758294835686684	0.41466594	Yes	
row_56	FADS3	fatty acid desaturase 3 [Source:HGNC Symbol;Acc:HGNC:3576]	3843	0.05060352012515068	0.39542815	No	
row_57	ADRB2	adrenoceptor beta 2 [Source:HGNC Symbol;Acc:HGNC:286]	3973	0.04861339181661606	0.39248928	No	
row_58	LCP1	lymphocyte cytosolic protein 1 [Source:HGNC Symbol;Acc:HGNC:6528]	4047	0.04719683900475502	0.39274654	No	
row_59	LAMB3	laminin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6490]	4163	0.04532403126358986	0.39032036	No	
