NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NMB	neuromedin B [Source:HGNC Symbol;Acc:HGNC:7842]	148	0.18843407928943634	0.01672919	No	
row_1	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	443	0.1502627730369568	0.01962062	No	
row_2	CKAP5	cytoskeleton associated protein 5 [Source:HGNC Symbol;Acc:HGNC:28959]	527	0.14444929361343384	0.03425302	No	
row_3	PPP1R3D	protein phosphatase 1 regulatory subunit 3D [Source:HGNC Symbol;Acc:HGNC:9294]	623	0.13787685334682465	0.04728291	No	
row_4	MYOM3	myomesin 3 [Source:HGNC Symbol;Acc:HGNC:26679]	953	0.12167549133300781	0.044225067	No	
row_5	SPIRE1	spire type actin nucleation factor 1 [Source:HGNC Symbol;Acc:HGNC:30622]	1184	0.11159615218639374	0.04568049	No	
row_6	RASA2	RAS p21 protein activator 2 [Source:HGNC Symbol;Acc:HGNC:9872]	1231	0.10981335490942001	0.057819564	No	
row_7	FGD6	FYVE, RhoGEF and PH domain containing 6 [Source:HGNC Symbol;Acc:HGNC:21740]	1234	0.10974138230085373	0.07256141	No	
row_8	GPAM	glycerol-3-phosphate acyltransferase, mitochondrial [Source:HGNC Symbol;Acc:HGNC:24865]	1251	0.10916818678379059	0.086394385	No	
row_9	GRHL1	grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]	1707	0.09430644661188126	0.07214907	No	
row_10	GPR85	G protein-coupled receptor 85 [Source:HGNC Symbol;Acc:HGNC:4536]	1754	0.09294573217630386	0.08200402	No	
row_11	ABCD2	ATP binding cassette subfamily D member 2 [Source:HGNC Symbol;Acc:HGNC:66]	2159	0.08371438831090927	0.06935252	No	
row_12	DIO2	iodothyronine deiodinase 2 [Source:HGNC Symbol;Acc:HGNC:2884]	2444	0.07741469889879227	0.06297301	No	
row_13	HACD3	3-hydroxyacyl-CoA dehydratase 3 [Source:HGNC Symbol;Acc:HGNC:24175]	2696	0.07209500670433044	0.057832513	No	
row_14	RNF24	ring finger protein 24 [Source:HGNC Symbol;Acc:HGNC:13779]	2818	0.0698150247335434	0.060102075	No	
row_15	EGFL6	EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]	3147	0.06286832690238953	0.04914025	No	
row_16	FRMD5	FERM domain containing 5 [Source:HGNC Symbol;Acc:HGNC:28214]	3325	0.05959656089544296	0.046701055	No	
row_17	APP	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	3394	0.058406151831150055	0.05057258	No	
row_18	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:799]	3556	0.055461060255765915	0.04852339	No	
row_19	MFGE8	milk fat globule EGF and factor V/VIII domain containing [Source:HGNC Symbol;Acc:HGNC:7036]	3672	0.05342704802751541	0.04893003	No	
row_20	CYP7B1	cytochrome P450 family 7 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:2652]	3801	0.05121571198105812	0.04826534	No	
row_21	IL17RD	interleukin 17 receptor D [Source:HGNC Symbol;Acc:HGNC:17616]	3982	0.04849395528435707	0.04414457	No	
row_22	CORO1C	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	3989	0.048366982489824295	0.050337918	No	
row_23	NIPAL3	NIPA like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	4089	0.04647703096270561	0.05075343	No	
row_24	CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	4679	0.03716856241226196	0.020814504	No	
row_25	TTPA	alpha tocopherol transfer protein [Source:HGNC Symbol;Acc:HGNC:12404]	4953	0.03305662050843239	0.00908138	No	
row_26	SLC7A11	solute carrier family 7 member 11 [Source:HGNC Symbol;Acc:HGNC:11059]	5089	0.031130217015743256	0.005281195	No	
row_27	RAN	RAN, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9846]	5181	0.029478300362825394	0.003869831	No	
row_28	RARRES1	retinoic acid receptor responder 1 [Source:HGNC Symbol;Acc:HGNC:9867]	5524	0.02372080273926258	-0.013224401	No	
row_29	GRIN2C	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	5562	0.023054664954543114	-0.0122993495	No	
row_30	PAPSS2	3'-phosphoadenosine 5'-phosphosulfate synthase 2 [Source:HGNC Symbol;Acc:HGNC:8604]	6114	0.015908723697066307	-0.042860903	No	
row_31	LPGAT1	lysophosphatidylglycerol acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:28985]	6168	0.01522023230791092	-0.043946754	No	
row_32	STK38L	serine/threonine kinase 38 like [Source:HGNC Symbol;Acc:HGNC:17848]	6308	0.01316243875771761	-0.050417546	No	
row_33	RORB	RAR related orphan receptor B [Source:HGNC Symbol;Acc:HGNC:10259]	6524	0.010221349075436592	-0.061799128	No	
row_34	ELOVL2	ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]	6552	0.00989860575646162	-0.062061846	No	
