NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	58	0.21936854720115662	0.011822458	Yes	
row_1	CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	60	0.21812908351421356	0.026963964	Yes	
row_2	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	97	0.20146284997463226	0.038852964	Yes	
row_3	MPZL3	myelin protein zero like 3 [Source:HGNC Symbol;Acc:HGNC:27279]	146	0.1884906142950058	0.049121004	Yes	
row_4	PRDM1	PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]	239	0.17160052061080933	0.05558324	Yes	
row_5	IDS	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]	388	0.15494462847709656	0.057539057	Yes	
row_6	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	389	0.1549348533153534	0.068336345	Yes	
row_7	PTBP3	polypyrimidine tract binding protein 3 [Source:HGNC Symbol;Acc:HGNC:10253]	449	0.14988300204277039	0.07525667	Yes	
row_8	NFKB1	nuclear factor kappa B subunit 1 [Source:HGNC Symbol;Acc:HGNC:7794]	538	0.14383256435394287	0.08002275	Yes	
row_9	SEL1L3	SEL1L family member 3 [Source:HGNC Symbol;Acc:HGNC:29108]	591	0.14026100933551788	0.08669073	Yes	
row_10	JARID2	jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]	648	0.13699638843536377	0.09289222	Yes	
row_11	NAP1L1	nucleosome assembly protein 1 like 1 [Source:HGNC Symbol;Acc:HGNC:7637]	739	0.13135378062725067	0.09666918	Yes	
row_12	HSPA8	heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241]	764	0.1300962120294571	0.104301624	Yes	
row_13	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 [Source:HGNC Symbol;Acc:HGNC:2721]	863	0.12557241320610046	0.10719773	Yes	
row_14	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	871	0.1250331699848175	0.115492985	Yes	
row_15	MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4 [Source:HGNC Symbol;Acc:HGNC:6866]	904	0.12363436818122864	0.12219715	Yes	
row_16	TMBIM1	transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]	1028	0.11792655289173126	0.12306682	Yes	
row_17	TJP1	tight junction protein 1 [Source:HGNC Symbol;Acc:HGNC:11827]	1048	0.11706309765577316	0.13008972	Yes	
row_18	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	1090	0.11538231372833252	0.13568111	Yes	
row_19	GNG12	G protein subunit gamma 12 [Source:HGNC Symbol;Acc:HGNC:19663]	1103	0.11470522731542587	0.1429579	Yes	
row_20	LMBR1	limb development membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13243]	1114	0.11428339034318924	0.15032478	Yes	
row_21	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	1122	0.11401449888944626	0.15785214	Yes	
row_22	BACH2	BTB domain and CNC homolog 2 [Source:HGNC Symbol;Acc:HGNC:14078]	1183	0.11161070317029953	0.16204555	Yes	
row_23	BZW1	basic leucine zipper and W2 domains 1 [Source:HGNC Symbol;Acc:HGNC:18380]	1266	0.10846051573753357	0.16470505	Yes	
row_24	PRDM8	PR/SET domain 8 [Source:HGNC Symbol;Acc:HGNC:13993]	1303	0.10723576694726944	0.17002743	Yes	
row_25	IGFBP5	insulin like growth factor binding protein 5 [Source:HGNC Symbol;Acc:HGNC:5474]	1323	0.1064847856760025	0.17631313	Yes	
row_26	RAP2A	RAP2A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9861]	1341	0.10578940808773041	0.18266986	Yes	
row_27	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	1369	0.10510209947824478	0.18838125	Yes	
row_28	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	1400	0.10394235700368881	0.19383259	Yes	
row_29	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	1401	0.10385411977767944	0.2010701	Yes	
row_30	PINK1	PTEN induced kinase 1 [Source:HGNC Symbol;Acc:HGNC:14581]	1412	0.10359849780797958	0.20769237	Yes	
row_31	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	1473	0.10198621451854706	0.21121505	Yes	
row_32	P2RY10	P2Y receptor family member 10 [Source:HGNC Symbol;Acc:HGNC:19906]	1494	0.10141751170158386	0.21708786	Yes	
row_33	NDRG4	NDRG family member 4 [Source:HGNC Symbol;Acc:HGNC:14466]	1629	0.09702229499816895	0.21584354	Yes	
row_34	ATP9A	ATPase phospholipid transporting 9A (putative) [Source:HGNC Symbol;Acc:HGNC:13540]	1644	0.09640944004058838	0.22172582	Yes	
row_35	BCR	BCR activator of RhoGEF and GTPase [Source:HGNC Symbol;Acc:HGNC:1014]	1646	0.09623400866985321	0.22837256	Yes	
row_36	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	1664	0.09560330957174301	0.23401943	Yes	
row_37	DST	dystonin [Source:HGNC Symbol;Acc:HGNC:1090]	1715	0.09416083246469498	0.2375942	Yes	
