NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	13	0.2631322145462036	0.036999837	Yes	
row_1	WASHC5	WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984]	129	0.1920098066329956	0.057731405	Yes	
row_2	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	181	0.18168212473392487	0.080782056	Yes	
row_3	DIP2B	disco interacting protein 2 homolog B [Source:HGNC Symbol;Acc:HGNC:29284]	236	0.17209388315677643	0.10227814	Yes	
row_4	DENND2D	DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]	273	0.166133314371109	0.1239878	Yes	
row_5	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	298	0.16335070133209229	0.14601083	Yes	
row_6	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	359	0.15687358379364014	0.16496567	Yes	
row_7	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	462	0.14925676584243774	0.18033233	Yes	
row_8	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	660	0.13609984517097473	0.18816735	Yes	
row_9	WDFY3	WD repeat and FYVE domain containing 3 [Source:HGNC Symbol;Acc:HGNC:20751]	727	0.13191549479961395	0.20318311	Yes	
row_10	ARHGAP32	Rho GTPase activating protein 32 [Source:HGNC Symbol;Acc:HGNC:17399]	947	0.12196505814790726	0.20768231	Yes	
row_11	TNIP1	TNFAIP3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16903]	1001	0.11956223100423813	0.221697	Yes	
row_12	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	1113	0.11429476737976074	0.23151036	Yes	
row_13	SAA1	serum amyloid A1 [Source:HGNC Symbol;Acc:HGNC:10513]	1165	0.11234283447265625	0.24460751	Yes	
row_14	FXR1	FMR1 autosomal homolog 1 [Source:HGNC Symbol;Acc:HGNC:4023]	1325	0.1064780205488205	0.25044757	Yes	
row_15	ESRP1	epithelial splicing regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:25966]	1347	0.10567864030599594	0.2643701	Yes	
row_16	CERT1	ceramide transporter 1 [Source:HGNC Symbol;Acc:HGNC:2205]	1382	0.10455279797315598	0.27735883	Yes	
row_17	LRBA	LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]	1398	0.10399410128593445	0.29139593	Yes	
row_18	TP53BP1	tumor protein p53 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11999]	1459	0.10236881673336029	0.30252674	Yes	
row_19	SNAPC1	small nuclear RNA activating complex polypeptide 1 [Source:HGNC Symbol;Acc:HGNC:11134]	1474	0.10197651386260986	0.31633365	Yes	
row_20	SEMA4D	semaphorin 4D [Source:HGNC Symbol;Acc:HGNC:10732]	1598	0.09787565469741821	0.32307726	Yes	
