NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	S100A4	S100 calcium binding protein A4 [Source:HGNC Symbol;Acc:HGNC:10494]	183	0.18155759572982788	0.002976362	No	
row_1	TEX14	testis expressed 14, intercellular bridge forming factor [Source:HGNC Symbol;Acc:HGNC:11737]	218	0.17471808195114136	0.014316958	No	
row_2	PLK3	polo like kinase 3 [Source:HGNC Symbol;Acc:HGNC:2154]	287	0.16422401368618011	0.022826562	No	
row_3	PCOLCE2	procollagen C-endopeptidase enhancer 2 [Source:HGNC Symbol;Acc:HGNC:8739]	361	0.15649503469467163	0.030446539	No	
row_4	EMP1	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:3333]	380	0.15554219484329224	0.041274253	No	
row_5	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	464	0.14907369017601013	0.047729902	No	
row_6	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	514	0.1456158608198166	0.055949006	No	
row_7	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	577	0.14117002487182617	0.06305251	No	
row_8	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	593	0.1401779055595398	0.07288357	No	
row_9	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	601	0.13939043879508972	0.08313155	No	
row_10	C16orf74	chromosome 16 open reading frame 74 [Source:HGNC Symbol;Acc:HGNC:23362]	620	0.13813818991184235	0.09262759	No	
row_11	HMCES	5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]	630	0.13759784400463104	0.10261912	No	
row_12	MANBA	mannosidase beta [Source:HGNC Symbol;Acc:HGNC:6831]	631	0.1375763863325119	0.113145836	No	
row_13	KLF4	KLF transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:6348]	723	0.13204340636730194	0.11782122	No	
row_14	GADD45A	growth arrest and DNA damage inducible alpha [Source:HGNC Symbol;Acc:HGNC:4095]	1036	0.11757605522871017	0.108207405	No	
row_15	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	1207	0.11061231791973114	0.10653078	No	
row_16	NEFH	neurofilament heavy chain [Source:HGNC Symbol;Acc:HGNC:7737]	1275	0.10816353559494019	0.11081054	No	
row_17	DCLRE1B	DNA cross-link repair 1B [Source:HGNC Symbol;Acc:HGNC:17641]	1328	0.10638095438480377	0.11584862	No	
row_18	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	1355	0.10553374141454697	0.12237274	No	
row_19	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1371	0.10503477603197098	0.1295148	No	
row_20	SEPTIN1	septin 1 [Source:HGNC Symbol;Acc:HGNC:2879]	1730	0.09356556832790375	0.11532	No	
row_21	RRP9	ribosomal RNA processing 9, U3 small nucleolar RNA binding protein [Source:HGNC Symbol;Acc:HGNC:16829]	1746	0.09312647581100464	0.12155089	No	
row_22	RASGRP2	RAS guanyl releasing protein 2 [Source:HGNC Symbol;Acc:HGNC:9879]	1775	0.09249173849821091	0.12695779	No	
row_23	HES7	hes family bHLH transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:15977]	1905	0.08903206139802933	0.12607552	No	
row_24	ZBTB32	zinc finger and BTB domain containing 32 [Source:HGNC Symbol;Acc:HGNC:16763]	1923	0.0885726809501648	0.13183868	No	
row_25	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	1974	0.08738324046134949	0.13554244	No	
row_26	ZFP1	ZFP1 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:23328]	1978	0.08734425157308578	0.14204668	No	
row_27	LOX	lysyl oxidase [Source:HGNC Symbol;Acc:HGNC:6664]	2315	0.08029944449663162	0.12814908	No	
row_28	GJB5	gap junction protein beta 5 [Source:HGNC Symbol;Acc:HGNC:4287]	2433	0.07761874049901962	0.12710927	No	
row_29	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	2463	0.0770232081413269	0.13127296	No	
row_30	TUBB3	tubulin beta 3 class III [Source:HGNC Symbol;Acc:HGNC:20772]	2710	0.07185693830251694	0.122097686	No	
row_31	SPRY4	sprouty RTK signaling antagonist 4 [Source:HGNC Symbol;Acc:HGNC:15533]	2921	0.06752116978168488	0.114738	No	
row_32	RBM43	RNA binding motif protein 43 [Source:HGNC Symbol;Acc:HGNC:24790]	2965	0.06634222716093063	0.11724934	No	
row_33	KAT2B	lysine acetyltransferase 2B [Source:HGNC Symbol;Acc:HGNC:8638]	3093	0.06385359913110733	0.11455982	No	
row_34	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	3218	0.061602912843227386	0.11187704	No	
row_35	ZBTB21	zinc finger and BTB domain containing 21 [Source:HGNC Symbol;Acc:HGNC:13083]	3295	0.06012091040611267	0.11194396	No	
row_36	POLA1	DNA polymerase alpha 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9173]	3344	0.05932564660906792	0.11362018	No	
row_37	SPP1	secreted phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11255]	3382	0.058736685663461685	0.11590747	No	
row_38	DEDD2	death effector domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24450]	3470	0.05697105824947357	0.11507725	No	
row_39	ATF1	activating transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:783]	3572	0.05520028993487358	0.11327647	No	
row_40	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	3943	0.049036748707294464	0.094958745	No	
row_41	BIRC6	baculoviral IAP repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:13516]	3945	0.048992544412612915	0.09864779	No	
row_42	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	4235	0.04444798082113266	0.08481045	No	
row_43	CLTB	clathrin light chain B [Source:HGNC Symbol;Acc:HGNC:2091]	4403	0.04161855950951576	0.078033686	No	
row_44	NR0B1	nuclear receptor subfamily 0 group B member 1 [Source:HGNC Symbol;Acc:HGNC:7960]	4559	0.039297282695770264	0.07179508	No	
row_45	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	4655	0.037625450640916824	0.06900744	No	
row_46	ZFP57	ZFP57 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:18791]	4839	0.034699272364377975	0.060746875	No	
row_47	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	4881	0.03414008766412735	0.060913544	No	
row_48	KAT6B	lysine acetyltransferase 6B [Source:HGNC Symbol;Acc:HGNC:17582]	4991	0.03241332992911339	0.056892026	No	
row_49	QTRT2	queuine tRNA-ribosyltransferase accessory subunit 2 [Source:HGNC Symbol;Acc:HGNC:25771]	5017	0.03211141750216484	0.05785784	No	
row_50	CRCP	CGRP receptor component [Source:HGNC Symbol;Acc:HGNC:17888]	5024	0.03200869262218475	0.059949115	No	
row_51	MRAS	muscle RAS oncogene homolog [Source:HGNC Symbol;Acc:HGNC:7227]	5326	0.027077844366431236	0.044066917	No	
row_52	TASOR2	transcription activation suppressor family member 2 [Source:HGNC Symbol;Acc:HGNC:23484]	5386	0.026113664731383324	0.042545777	No	
row_53	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	5508	0.024023735895752907	0.037166547	No	
row_54	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	5715	0.021076764911413193	0.026491743	No	
row_55	JAM2	junctional adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:14686]	5850	0.019274961203336716	0.019973733	No	
row_56	MDN1	midasin AAA ATPase 1 [Source:HGNC Symbol;Acc:HGNC:18302]	5924	0.018371492624282837	0.017025126	No	
row_57	SERPINE1	serpin family E member 1 [Source:HGNC Symbol;Acc:HGNC:8583]	6023	0.01709589920938015	0.012487715	No	
row_58	SULT4A1	sulfotransferase family 4A member 1 [Source:HGNC Symbol;Acc:HGNC:14903]	6032	0.017018351703882217	0.013312697	No	
row_59	TFEB	transcription factor EB [Source:HGNC Symbol;Acc:HGNC:11753]	6420	0.011758917942643166	-0.008871369	No	
row_60	BGN	biglycan [Source:HGNC Symbol;Acc:HGNC:1044]	6469	0.01118137314915657	-0.010878929	No	
row_61	MSC	musculin [Source:HGNC Symbol;Acc:HGNC:7321]	6687	0.008106332272291183	-0.023202302	No	
row_62	AVPI1	arginine vasopressin induced 1 [Source:HGNC Symbol;Acc:HGNC:30898]	6725	0.007655632216483355	-0.024823507	No	
row_63	GLI2	GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318]	6741	0.007425466552376747	-0.025150064	No	
row_64	BID	BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:HGNC:1050]	6811	0.006381387822329998	-0.028777508	No	
row_65	ITGB7	integrin subunit beta 7 [Source:HGNC Symbol;Acc:HGNC:6162]	6899	0.005094664636999369	-0.03357707	No	
row_66	GLI1	GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317]	6934	0.004597314167767763	-0.03525334	No	
row_67	CBX7	chromobox 7 [Source:HGNC Symbol;Acc:HGNC:1557]	7119	0.0022507435642182827	-0.046056367	No	
row_68	ACACB	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	7269	4.405034414958209E-4	-0.054910224	No	
row_69	TMEM79	transmembrane protein 79 [Source:HGNC Symbol;Acc:HGNC:28196]	7325	-5.6133430916816E-4	-0.05814792	No	
row_70	FASTKD2	FAST kinase domains 2 [Source:HGNC Symbol;Acc:HGNC:29160]	7337	-6.926293717697263E-4	-0.05875105	No	
row_71	ZCCHC10	zinc finger CCHC-type containing 10 [Source:HGNC Symbol;Acc:HGNC:25954]	7477	-0.002749440725892782	-0.06683176	No	
row_72	BDH1	3-hydroxybutyrate dehydrogenase 1 [Source:HGNC Symbol;Acc:HGNC:1027]	7506	-0.003280085977166891	-0.068250924	No	
row_73	GYS1	glycogen synthase 1 [Source:HGNC Symbol;Acc:HGNC:4706]	7698	-0.005893138702958822	-0.079192795	No	
row_74	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:HGNC:7060]	7708	-0.006004532799124718	-0.079270184	No	
row_75	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	7754	-0.0067239729687571526	-0.08143986	No	
row_76	ZC3H8	zinc finger CCCH-type containing 8 [Source:HGNC Symbol;Acc:HGNC:30941]	7830	-0.007855531759560108	-0.0853124	No	
row_77	ZMYM3	zinc finger MYM-type containing 3 [Source:HGNC Symbol;Acc:HGNC:13054]	7841	-0.008099710568785667	-0.08528913	No	
row_78	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	7979	-0.009844571352005005	-0.09270765	No	
row_79	C16orf89	chromosome 16 open reading frame 89 [Source:HGNC Symbol;Acc:HGNC:28687]	8162	-0.012398404069244862	-0.10261493	No	
row_80	S100A6	S100 calcium binding protein A6 [Source:HGNC Symbol;Acc:HGNC:10496]	8174	-0.012551370076835155	-0.10231069	No	
row_81	C19orf48P	chromosome 19 open reading frame 48, pseudogene [Source:HGNC Symbol;Acc:HGNC:29667]	8312	-0.014484191313385963	-0.10937421	No	
row_82	VAC14	VAC14 component of PIKFYVE complex [Source:HGNC Symbol;Acc:HGNC:25507]	8387	-0.01533761527389288	-0.1126146	No	
row_83	CALML4	calmodulin like 4 [Source:HGNC Symbol;Acc:HGNC:18445]	8619	-0.018281320109963417	-0.1249945	No	
row_84	MED29	mediator complex subunit 29 [Source:HGNC Symbol;Acc:HGNC:23074]	8906	-0.02208663336932659	-0.14036389	No	
row_85	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	8969	-0.02279229648411274	-0.1423181	No	
row_86	FZD5	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	9044	-0.023915421217679977	-0.14490215	No	
row_87	PCOLCE	procollagen C-endopeptidase enhancer [Source:HGNC Symbol;Acc:HGNC:8738]	9059	-0.02411925233900547	-0.14389174	No	
row_88	TIMP1	TIMP metallopeptidase inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:11820]	9137	-0.025099704042077065	-0.14656413	No	
row_89	SGK1	serum/glucocorticoid regulated kinase 1 [Source:HGNC Symbol;Acc:HGNC:10810]	9196	-0.025990089401602745	-0.14803506	No	
row_90	ZNF428	zinc finger protein 428 [Source:HGNC Symbol;Acc:HGNC:20804]	9283	-0.027146177366375923	-0.1510877	No	
row_91	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	9529	-0.03072604350745678	-0.16335046	No	
row_92	TTYH2	tweety family member 2 [Source:HGNC Symbol;Acc:HGNC:13877]	9660	-0.03252269700169563	-0.16861622	No	
row_93	EPOP	elongin BC and polycomb repressive complex 2 associated protein [Source:HGNC Symbol;Acc:HGNC:34493]	9803	-0.03452768176794052	-0.17444435	No	
row_94	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	9811	-0.0346117727458477	-0.17221355	No	
row_95	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	9961	-0.036601874977350235	-0.17830051	No	
row_96	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	9977	-0.03674451261758804	-0.1763837	No	
row_97	FAM169A	family with sequence similarity 169 member A [Source:HGNC Symbol;Acc:HGNC:29138]	10000	-0.0371590331196785	-0.17485273	No	
row_98	SPTBN4	spectrin beta, non-erythrocytic 4 [Source:HGNC Symbol;Acc:HGNC:14896]	10125	-0.03882577642798424	-0.17927831	No	
row_99	E2F8	E2F transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:24727]	10194	-0.03975271061062813	-0.1802927	No	
row_100	EEF1AKMT1	EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351]	10376	-0.042230382561683655	-0.18785772	No	
row_101	ACOT8	acyl-CoA thioesterase 8 [Source:HGNC Symbol;Acc:HGNC:15919]	10401	-0.04260276257991791	-0.1860295	No	
row_102	DBR1	debranching RNA lariats 1 [Source:HGNC Symbol;Acc:HGNC:15594]	10435	-0.04308267682790756	-0.1847014	No	
row_103	CAVIN1	caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]	10437	-0.043137334287166595	-0.18146037	No	
row_104	AOAH	acyloxyacyl hydrolase [Source:HGNC Symbol;Acc:HGNC:548]	10544	-0.04476673901081085	-0.18435772	No	
row_105	PDE12	phosphodiesterase 12 [Source:HGNC Symbol;Acc:HGNC:25386]	10665	-0.046515557914972305	-0.18795633	No	
row_106	ZBTB8A	zinc finger and BTB domain containing 8A [Source:HGNC Symbol;Acc:HGNC:24172]	10813	-0.04839508607983589	-0.19302163	No	
row_107	CRMP1	collapsin response mediator protein 1 [Source:HGNC Symbol;Acc:HGNC:2365]	10852	-0.04895918443799019	-0.19154212	No	
row_108	ACTN3	actinin alpha 3 [Source:HGNC Symbol;Acc:HGNC:165]	10865	-0.04914017766714096	-0.18849792	No	
row_109	PHB1	prohibitin 1 [Source:HGNC Symbol;Acc:HGNC:8912]	10971	-0.05089661851525307	-0.19086659	No	
row_110	TTC39B	tetratricopeptide repeat domain 39B [Source:HGNC Symbol;Acc:HGNC:23704]	11149	-0.05333870276808739	-0.19734307	No	
row_111	ARMC6	armadillo repeat containing 6 [Source:HGNC Symbol;Acc:HGNC:25049]	11221	-0.05437794327735901	-0.19741732	No	
row_112	DIMT1	DIM1 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:30217]	11439	-0.05721240118145943	-0.20598333	No	
row_113	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	11671	-0.06084092706441879	-0.21510676	No	
row_114	BNIPL	BCL2 interacting protein like [Source:HGNC Symbol;Acc:HGNC:16976]	11839	-0.0635988637804985	-0.22020169	No	
row_115	GPA33	glycoprotein A33 [Source:HGNC Symbol;Acc:HGNC:4445]	11931	-0.06504891812801361	-0.22065242	No	
row_116	DDX51	DEAD-box helicase 51 [Source:HGNC Symbol;Acc:HGNC:20082]	11934	-0.06506836414337158	-0.21579298	No	
row_117	SFN	stratifin [Source:HGNC Symbol;Acc:HGNC:10773]	11952	-0.0653165653347969	-0.21180928	No	
row_118	WDR75	WD repeat domain 75 [Source:HGNC Symbol;Acc:HGNC:25725]	12015	-0.06638311594724655	-0.21042812	No	
row_119	PRX	periaxin [Source:HGNC Symbol;Acc:HGNC:13797]	12688	-0.07719775289297104	-0.24460481	No	
row_120	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta [Source:HGNC Symbol;Acc:HGNC:4803]	12765	-0.07838795334100723	-0.24314018	No	
row_121	RPP25	ribonuclease P and MRP subunit p25 [Source:HGNC Symbol;Acc:HGNC:30361]	12856	-0.08017047494649887	-0.24237421	No	
