NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	50	0.22224895656108856	0.016313624	Yes	
row_1	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	63	0.21604417264461517	0.034355424	Yes	
row_2	ANXA2P1	annexin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:538]	68	0.21510398387908936	0.052792836	Yes	
row_3	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	78	0.21133489906787872	0.07060473	Yes	
row_4	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	186	0.18077604472637177	0.07991719	Yes	
row_5	HK2	hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]	244	0.17069317400455475	0.09133699	Yes	
row_6	CCR4	C-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1605]	252	0.16904082894325256	0.10559608	Yes	
row_7	TNFAIP8	TNF alpha induced protein 8 [Source:HGNC Symbol;Acc:HGNC:17260]	255	0.16880378127098083	0.12013286	Yes	
row_8	AIM2	absent in melanoma 2 [Source:HGNC Symbol;Acc:HGNC:357]	257	0.16860893368721008	0.1347124	Yes	
row_9	ABTB2	ankyrin repeat and BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23842]	259	0.16813036799430847	0.14925036	Yes	
row_10	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	282	0.16505277156829834	0.16226837	Yes	
row_11	POLR3G	RNA polymerase III subunit G [Source:HGNC Symbol;Acc:HGNC:30075]	297	0.16342104971408844	0.17562196	Yes	
row_12	TM4SF1	transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:HGNC:11853]	514	0.1456158608198166	0.17537928	Yes	
row_13	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	775	0.12955422699451447	0.17111725	Yes	
row_14	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	854	0.12604102492332458	0.17740744	Yes	
row_15	TOP6BL	TOP6B like initiator of meiotic double strand breaks [Source:HGNC Symbol;Acc:HGNC:26197]	934	0.1225634217262268	0.18333603	Yes	
row_16	TNFSF14	TNF superfamily member 14 [Source:HGNC Symbol;Acc:HGNC:11930]	991	0.11995672434568405	0.19041038	Yes	
row_17	KCNE5	potassium voltage-gated channel subfamily E regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:6241]	1120	0.1140986904501915	0.19268094	Yes	
row_18	YRDC	yrdC N6-threonylcarbamoyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:28905]	1170	0.11211756616830826	0.19949225	Yes	
row_19	PIM2	Pim-2 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8987]	1187	0.11157015711069107	0.20822465	Yes	
row_20	HOXA11	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]	1218	0.11015590280294418	0.2159991	Yes	
row_21	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	1233	0.10976770520210266	0.22469431	Yes	
row_22	TNFRSF21	TNF receptor superfamily member 21 [Source:HGNC Symbol;Acc:HGNC:13469]	1535	0.09986556321382523	0.21540876	Yes	
row_23	SLAMF1	signaling lymphocytic activation molecule family member 1 [Source:HGNC Symbol;Acc:HGNC:10903]	1630	0.0969860777258873	0.21822181	Yes	
row_24	IRS1	insulin receptor substrate 1 [Source:HGNC Symbol;Acc:HGNC:6125]	1695	0.0948135033249855	0.2226359	Yes	
row_25	KLRK1	killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]	1736	0.09342753887176514	0.22836138	Yes	
