NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ANXA2P1	annexin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:538]	68	0.21510398387908936	0.018180197	No	
row_1	GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	593	0.1401779055595398	0.0014614312	No	
row_2	SPN	sialophorin [Source:HGNC Symbol;Acc:HGNC:11249]	1081	0.11574352532625198	-0.015579055	No	
row_3	SERPINB4	serpin family B member 4 [Source:HGNC Symbol;Acc:HGNC:10570]	1154	0.1126725897192955	-0.008222755	No	
row_4	PCDHGA9	protocadherin gamma subfamily A, 9 [Source:HGNC Symbol;Acc:HGNC:8707]	1189	0.11152860522270203	0.0012783036	No	
row_5	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	1207	0.11061231791973114	0.011697056	No	
row_6	TAF7L	TATA-box binding protein associated factor 7 like [Source:HGNC Symbol;Acc:HGNC:11548]	1920	0.08863584697246552	-0.021544088	No	
row_7	CSTA	cystatin A [Source:HGNC Symbol;Acc:HGNC:2481]	2037	0.08612781763076782	-0.019551331	No	
row_8	CNKSR2	connector enhancer of kinase suppressor of Ras 2 [Source:HGNC Symbol;Acc:HGNC:19701]	2072	0.08549800515174866	-0.012740384	No	
row_9	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	2116	0.08457035571336746	-0.006561274	No	
row_10	SERPINB3	serpin family B member 3 [Source:HGNC Symbol;Acc:HGNC:10569]	2407	0.07822384685277939	-0.015747424	No	
row_11	GFPT2	glutamine-fructose-6-phosphate transaminase 2 [Source:HGNC Symbol;Acc:HGNC:4242]	2707	0.07191907614469528	-0.026121104	No	
row_12	NAV2	neuron navigator 2 [Source:HGNC Symbol;Acc:HGNC:15997]	2792	0.07034032046794891	-0.023854224	No	
