NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	80	0.21030762791633606	0.015969634	No	
row_1	DSG3	desmoglein 3 [Source:HGNC Symbol;Acc:HGNC:3050]	175	0.18283581733703613	0.028398879	No	
row_2	KRT16	keratin 16 [Source:HGNC Symbol;Acc:HGNC:6423]	204	0.1774831861257553	0.04422633	No	
row_3	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	389	0.1549348533153534	0.04855231	No	
row_4	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	657	0.13637998700141907	0.04611255	No	
row_5	PYHIN1	pyrin and HIN domain family member 1 [Source:HGNC Symbol;Acc:HGNC:28894]	851	0.12619489431381226	0.047070555	No	
row_6	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	956	0.12157894670963287	0.052867446	No	
row_7	SPRR1B	small proline rich protein 1B [Source:HGNC Symbol;Acc:HGNC:11260]	1003	0.11955054849386215	0.061914332	No	
row_8	DENND1C	DENN domain containing 1C [Source:HGNC Symbol;Acc:HGNC:26225]	1201	0.11080698668956757	0.061117765	No	
row_9	TGM1	transglutaminase 1 [Source:HGNC Symbol;Acc:HGNC:11777]	1207	0.11061231791973114	0.071722426	No	
row_10	NCR3	natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]	1295	0.10742133855819702	0.07713511	No	
row_11	BST2	bone marrow stromal cell antigen 2 [Source:HGNC Symbol;Acc:HGNC:1119]	1306	0.10710678994655609	0.087096855	No	
row_12	CEACAM5	CEA cell adhesion molecule 5 [Source:HGNC Symbol;Acc:HGNC:1817]	1466	0.10222800821065903	0.08771502	No	
row_13	PTPRCAP	protein tyrosine phosphatase receptor type C associated protein [Source:HGNC Symbol;Acc:HGNC:9667]	1733	0.09348507225513458	0.081106976	No	
row_14	CCR8	C-C motif chemokine receptor 8 [Source:HGNC Symbol;Acc:HGNC:1609]	1869	0.0899944007396698	0.08194694	No	
row_15	VILL	villin like [Source:HGNC Symbol;Acc:HGNC:30906]	1902	0.08912453800439835	0.088827744	No	
row_16	FOXI1	forkhead box I1 [Source:HGNC Symbol;Acc:HGNC:3815]	2044	0.08605413138866425	0.08892246	No	
row_17	KCNQ3	potassium voltage-gated channel subfamily Q member 3 [Source:HGNC Symbol;Acc:HGNC:6297]	2064	0.08567115664482117	0.096236154	No	
row_18	LY6D	lymphocyte antigen 6 family member D [Source:HGNC Symbol;Acc:HGNC:13348]	2074	0.08547931164503098	0.10412575	No	
row_19	MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	2095	0.08510589599609375	0.11132425	No	
row_20	TNFSF10	TNF superfamily member 10 [Source:HGNC Symbol;Acc:HGNC:11925]	2133	0.08425929397344589	0.11742813	No	
row_21	PROC	protein C, inactivator of coagulation factors Va and VIIIa [Source:HGNC Symbol;Acc:HGNC:9451]	2163	0.08362405747175217	0.12394524	No	
row_22	DTNB	dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]	2292	0.08071636408567429	0.12428713	No	
row_23	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	2325	0.0801146999001503	0.13027991	No	
row_24	SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	2351	0.07958967983722687	0.13663732	No	
row_25	TNFRSF13B	TNF receptor superfamily member 13B [Source:HGNC Symbol;Acc:HGNC:18153]	2419	0.0778684914112091	0.14032687	No	
row_26	CD40LG	CD40 ligand [Source:HGNC Symbol;Acc:HGNC:11935]	2642	0.07326605916023254	0.13434319	No	
row_27	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	2796	0.07026713341474533	0.13216816	No	
row_28	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	2813	0.06991209834814072	0.13810706	No	
row_29	CRABP2	cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]	2914	0.06770004332065582	0.13883153	No	
row_30	KRT13	keratin 13 [Source:HGNC Symbol;Acc:HGNC:6415]	2930	0.0673477053642273	0.14457716	No	
row_31	KRT4	keratin 4 [Source:HGNC Symbol;Acc:HGNC:6441]	3434	0.057590052485466	0.12033419	No	
row_32	SPRR3	small proline rich protein 3 [Source:HGNC Symbol;Acc:HGNC:11268]	3569	0.055218521505594254	0.11780609	No	
row_33	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	3696	0.053018324077129364	0.11553698	No	
row_34	OAS1	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]	3717	0.0528608001768589	0.11955737	No	
row_35	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	3783	0.05148843675851822	0.12076584	No	
row_36	CIITA	class II major histocompatibility complex transactivator [Source:HGNC Symbol;Acc:HGNC:7067]	3926	0.049403347074985504	0.11718874	No	
row_37	CA5B	carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378]	3969	0.04872553050518036	0.11949296	No	
row_38	CTSW	cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]	4088	0.04649773985147476	0.11705703	No	
row_39	CAMK1D	calcium/calmodulin dependent protein kinase ID [Source:HGNC Symbol;Acc:HGNC:19341]	4665	0.03747047111392021	0.08648892	No	
