NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NOX5	NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874]	48	0.22312431037425995	0.021185458	No	
row_1	DENND2D	DENN domain containing 2D [Source:HGNC Symbol;Acc:HGNC:26192]	273	0.166133314371109	0.025763694	No	
row_2	XYLB	xylulokinase [Source:HGNC Symbol;Acc:HGNC:12839]	525	0.1446201354265213	0.026418334	No	
row_3	SPTBN2	spectrin beta, non-erythrocytic 2 [Source:HGNC Symbol;Acc:HGNC:11276]	657	0.13637998700141907	0.03332164	No	
row_4	GP6	glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388]	905	0.12360813468694687	0.03195027	No	
row_5	SV2B	synaptic vesicle glycoprotein 2B [Source:HGNC Symbol;Acc:HGNC:16874]	997	0.11961357295513153	0.039425943	No	
row_6	NCR3	natural cytotoxicity triggering receptor 3 [Source:HGNC Symbol;Acc:HGNC:19077]	1295	0.10742133855819702	0.033337023	No	
row_7	CRABP1	cellular retinoic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2338]	1764	0.09277138113975525	0.015500186	No	
row_8	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	1805	0.09167748689651489	0.022998951	No	
row_9	PTENP1	phosphatase and tensin homolog pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:9589]	2057	0.0857757106423378	0.017313523	No	
row_10	KCNQ3	potassium voltage-gated channel subfamily Q member 3 [Source:HGNC Symbol;Acc:HGNC:6297]	2064	0.08567115664482117	0.026187154	No	
row_11	MAML3	mastermind like transcriptional coactivator 3 [Source:HGNC Symbol;Acc:HGNC:16272]	2095	0.08510589599609375	0.033572584	No	
row_12	APOL3	apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]	2168	0.08348162472248077	0.038285244	No	
row_13	TFF2	trefoil factor 2 [Source:HGNC Symbol;Acc:HGNC:11756]	2204	0.08249355107545853	0.04509186	No	
row_14	DTNB	dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]	2292	0.08071636408567429	0.04861452	No	
row_15	PLBD1	phospholipase B domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26215]	2325	0.0801146999001503	0.055343244	No	
row_16	SLC9A7	solute carrier family 9 member A7 [Source:HGNC Symbol;Acc:HGNC:17123]	2351	0.07958967983722687	0.062431697	No	
row_17	KCNA3	potassium voltage-gated channel subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:6221]	2603	0.0745021253824234	0.05553162	No	
row_18	P2RX7	purinergic receptor P2X 7 [Source:HGNC Symbol;Acc:HGNC:8537]	2857	0.06904301792383194	0.04792442	No	
row_19	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	3165	0.06257276237010956	0.03640868	No	
row_20	KLF8	KLF transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:6351]	3171	0.062451839447021484	0.042840067	No	
row_21	RPL13P5	ribosomal protein L13 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:30363]	3205	0.06189591810107231	0.04754638	No	
row_22	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	3696	0.053018324077129364	0.024118077	No	
row_23	NDNF	neuron derived neurotrophic factor [Source:HGNC Symbol;Acc:HGNC:26256]	3752	0.05213438346982002	0.026464295	No	
row_24	LATS1	large tumor suppressor kinase 1 [Source:HGNC Symbol;Acc:HGNC:6514]	3782	0.051490385085344315	0.030287364	No	
row_25	SIDT1	SID1 transmembrane family member 1 [Source:HGNC Symbol;Acc:HGNC:25967]	3783	0.05148843675851822	0.035834875	No	
row_26	PF4V1	platelet factor 4 variant 1 [Source:HGNC Symbol;Acc:HGNC:8862]	3835	0.050659675151109695	0.038260087	No	
row_27	PI15	peptidase inhibitor 15 [Source:HGNC Symbol;Acc:HGNC:8946]	3898	0.049851976335048676	0.039944097	No	
row_28	CA5B	carbonic anhydrase 5B [Source:HGNC Symbol;Acc:HGNC:1378]	3969	0.04872553050518036	0.041030977	No	
row_29	ELMO1	engulfment and cell motility 1 [Source:HGNC Symbol;Acc:HGNC:16286]	4483	0.04042321816086769	0.014877816	No	
row_30	NECTIN1	nectin cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:9706]	4545	0.03955080360174179	0.01551142	No	
row_31	ENTPD5	ectonucleoside triphosphate diphosphohydrolase 5 (inactive) [Source:HGNC Symbol;Acc:HGNC:3367]	4560	0.039286766201257706	0.018911699	No	
row_32	ASPHD1	aspartate beta-hydroxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:27380]	4876	0.03419500216841698	0.003862692	No	
row_33	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	4882	0.034127697348594666	0.007242354	No	
row_34	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase [Source:HGNC Symbol;Acc:HGNC:26210]	5147	0.03018784336745739	-0.0052053886	No	
row_35	RUNDC3B	RUN domain containing 3B [Source:HGNC Symbol;Acc:HGNC:30286]	5226	0.02883508801460266	-0.006737329	No	
row_36	LAIR1	leukocyte associated immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:6477]	5275	0.027958719059824944	-0.006579571	No	
row_37	CACNA1A	calcium voltage-gated channel subunit alpha1 A [Source:HGNC Symbol;Acc:HGNC:1388]	5301	0.02744511514902115	-0.0051093237	No	
row_38	SYNDIG1	synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885]	5375	0.026417318731546402	-0.006604408	No	
row_39	COL5A2	collagen type V alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2210]	5658	0.02183709852397442	-0.021022357	No	
row_40	PBX1	PBX homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8632]	5729	0.020868025720119476	-0.022936925	No	
row_41	SERPING1	serpin family G member 1 [Source:HGNC Symbol;Acc:HGNC:1228]	5949	0.01806788146495819	-0.034014326	No	
row_42	DPT	dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]	6116	0.01588994823396206	-0.042174436	No	
row_43	PTGFR	prostaglandin F receptor [Source:HGNC Symbol;Acc:HGNC:9600]	6689	0.008074772544205189	-0.07532168	No	
row_44	ATP6V1B1	ATPase H+ transporting V1 subunit B1 [Source:HGNC Symbol;Acc:HGNC:853]	6691	0.008060847409069538	-0.07451265	No	
row_45	SCN7A	sodium voltage-gated channel alpha subunit 7 [Source:HGNC Symbol;Acc:HGNC:10594]	6712	0.007769730407744646	-0.07486493	No	
row_46	MAST3	microtubule associated serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:19036]	7130	0.0020818666089326143	-0.09943991	No	
row_47	GJA4	gap junction protein alpha 4 [Source:HGNC Symbol;Acc:HGNC:4278]	7549	-0.003788482863456011	-0.12389049	No	
row_48	FRAS1	Fraser extracellular matrix complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19185]	7558	-0.0039012557826936245	-0.12394592	No	
row_49	NAALADL1	N-acetylated alpha-linked acidic dipeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:23536]	7608	-0.004551277961581945	-0.12636963	No	
row_50	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]	7973	-0.009765587747097015	-0.14696479	No	
row_51	EXOSC1	exosome component 1 [Source:HGNC Symbol;Acc:HGNC:17286]	7979	-0.009844571352005005	-0.14620146	No	
row_52	WT1-AS	WT1 antisense RNA [Source:HGNC Symbol;Acc:HGNC:18135]	8016	-0.010345266200602055	-0.14722778	No	
row_53	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:HGNC Symbol;Acc:HGNC:19322]	8047	-0.010651594027876854	-0.14786427	No	
row_54	HCN2	hyperpolarization activated cyclic nucleotide gated potassium and sodium channel 2 [Source:HGNC Symbol;Acc:HGNC:4846]	8230	-0.01345056388527155	-0.15723872	No	
row_55	PDE3A	phosphodiesterase 3A [Source:HGNC Symbol;Acc:HGNC:8778]	8264	-0.013845868408679962	-0.15770946	No	
row_56	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	8313	-0.01448988076299429	-0.15900289	No	
row_57	TNNI3	troponin I3, cardiac type [Source:HGNC Symbol;Acc:HGNC:11947]	8457	-0.016176089644432068	-0.16576433	No	
row_58	NTF3	neurotrophin 3 [Source:HGNC Symbol;Acc:HGNC:8023]	8477	-0.016400326043367386	-0.16512726	No	
row_59	ZNF37BP	zinc finger protein 37B, pseudogene [Source:HGNC Symbol;Acc:HGNC:13103]	8633	-0.01843325048685074	-0.17235917	No	
row_60	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	8817	-0.021041998639702797	-0.18097518	No	
row_61	SLC30A3	solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014]	8837	-0.02125984989106655	-0.17981453	No	
row_62	SERPINA10	serpin family A member 10 [Source:HGNC Symbol;Acc:HGNC:15996]	8961	-0.022740187123417854	-0.18467933	No	
row_63	SLC8A1	solute carrier family 8 member A1 [Source:HGNC Symbol;Acc:HGNC:11068]	9022	-0.02365758828818798	-0.18569864	No	
row_64	NPR1	natriuretic peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:7943]	9130	-0.025035420432686806	-0.18936461	No	
row_65	ASIC1	acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]	9181	-0.02579805627465248	-0.1895586	No	
row_66	CAMK1	calcium/calmodulin dependent protein kinase I [Source:HGNC Symbol;Acc:HGNC:1459]	9373	-0.028510529547929764	-0.1978457	No	
row_67	KDM4D	lysine demethylase 4D [Source:HGNC Symbol;Acc:HGNC:25498]	9673	-0.03265641629695892	-0.21210894	No	
row_68	MUC13	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	10029	-0.03765976056456566	-0.22916347	No	
row_69	ALOX12B	arachidonate 12-lipoxygenase, 12R type [Source:HGNC Symbol;Acc:HGNC:430]	10457	-0.043356720358133316	-0.2498861	No	
