NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	35	0.23562054336071014	0.021171594	Yes	
row_1	CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	78	0.21133489906787872	0.039529387	Yes	
row_2	CHST11	carbohydrate sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	157	0.18619003891944885	0.053261768	Yes	
row_3	PTHLH	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]	214	0.17534233629703522	0.06723347	Yes	
row_4	ADAM19	ADAM metallopeptidase domain 19 [Source:HGNC Symbol;Acc:HGNC:197]	282	0.16505277156829834	0.07953461	Yes	
row_5	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	329	0.15971261262893677	0.09255912	Yes	
row_6	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	337	0.15872564911842346	0.10780848	Yes	
row_7	PLXNA1	plexin A1 [Source:HGNC Symbol;Acc:HGNC:9099]	473	0.1484229862689972	0.11441919	Yes	
row_8	HAS2	hyaluronan synthase 2 [Source:HGNC Symbol;Acc:HGNC:4819]	488	0.1477060317993164	0.1281641	Yes	
row_9	SUN2	Sad1 and UNC84 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:14210]	492	0.14735814929008484	0.14252967	Yes	
row_10	NRP2	neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]	493	0.1471998393535614	0.15705824	Yes	
row_11	CA12	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	587	0.14045442640781403	0.16538335	Yes	
row_12	PYGB	glycogen phosphorylase B [Source:HGNC Symbol;Acc:HGNC:9723]	588	0.14043860137462616	0.1792446	Yes	
row_13	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	590	0.14032751321792603	0.19303533	Yes	
row_14	CPA4	carboxypeptidase A4 [Source:HGNC Symbol;Acc:HGNC:15740]	598	0.1397940218448639	0.20641614	Yes	
row_15	TNFSF9	TNF superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:11939]	615	0.13852904736995697	0.2191362	Yes	
row_16	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	653	0.13654570281505585	0.23041004	Yes	
row_17	ABLIM3	actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]	710	0.13268879055976868	0.24017186	Yes	
row_18	FJX1	four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]	713	0.13265228271484375	0.25314552	Yes	
row_19	CHST3	carbohydrate sulfotransferase 3 [Source:HGNC Symbol;Acc:HGNC:1971]	831	0.12702450156211853	0.25871602	Yes	
row_20	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	839	0.1265660524368286	0.27079123	Yes	
row_21	SLC7A5	solute carrier family 7 member 5 [Source:HGNC Symbol;Acc:HGNC:11063]	854	0.12604102492332458	0.2823978	Yes	
row_22	KMT2A	lysine methyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:7132]	891	0.12400571256875992	0.2924935	Yes	
row_23	FZD6	frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]	902	0.12373693287372589	0.30411085	Yes	
row_24	PMEPA1	prostate transmembrane protein, androgen induced 1 [Source:HGNC Symbol;Acc:HGNC:14107]	929	0.1227899044752121	0.314682	Yes	
row_25	P2RX5	purinergic receptor P2X 5 [Source:HGNC Symbol;Acc:HGNC:8536]	1245	0.10939950495958328	0.306723	Yes	
row_26	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	1369	0.10510209947824478	0.3097725	Yes	
row_27	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1391	0.10420779883861542	0.31880733	Yes	
row_28	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	1428	0.10321139544248581	0.32685062	Yes	
row_29	PIEZO1	piezo type mechanosensitive ion channel component 1 (Er blood group) [Source:HGNC Symbol;Acc:HGNC:28993]	1556	0.09911299496889114	0.32907084	Yes	
