NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	65	0.2158353328704834	0.011934627	Yes	
row_1	ANXA2P1	annexin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:538]	68	0.21510398387908936	0.027578201	Yes	
row_2	CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	73	0.21201464533805847	0.042875938	Yes	
row_3	BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	90	0.20526959002017975	0.05696272	Yes	
row_4	LRRC42	leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]	109	0.19819261133670807	0.07041144	Yes	
row_5	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	181	0.18168212473392487	0.079484954	Yes	
row_6	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	208	0.17681439220905304	0.09088928	Yes	
row_7	ELF4	E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]	238	0.1716434359550476	0.10173551	Yes	
row_8	MYOF	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]	278	0.16590562462806702	0.11156404	Yes	
row_9	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	359	0.15687358379364014	0.11828205	Yes	
row_10	ZNF185	zinc finger protein 185 with LIM domain [Source:HGNC Symbol;Acc:HGNC:12976]	362	0.15648677945137024	0.1296301	Yes	
row_11	NMU	neuromedin U [Source:HGNC Symbol;Acc:HGNC:7859]	393	0.15461067855358124	0.13916843	Yes	
row_12	SH3GLB1	SH3 domain containing GRB2 like, endophilin B1 [Source:HGNC Symbol;Acc:HGNC:10833]	458	0.14948654174804688	0.14630067	Yes	
row_13	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	487	0.14796558022499084	0.15547149	Yes	
row_14	DAAM1	dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]	500	0.1466813087463379	0.16550376	Yes	
row_15	F3	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	590	0.14032751321792603	0.17047174	Yes	
row_16	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	602	0.13928411900997162	0.18002167	Yes	
row_17	APBB2	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	610	0.13882876932621002	0.1897771	Yes	
row_18	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	668	0.1353224664926529	0.19628946	Yes	
row_19	IGFBP6	insulin like growth factor binding protein 6 [Source:HGNC Symbol;Acc:HGNC:5475]	672	0.1350283920764923	0.2060053	Yes	
row_20	CRYBG1	crystallin beta-gamma domain containing 1 [Source:HGNC Symbol;Acc:HGNC:356]	679	0.1343437284231186	0.21549179	Yes	
row_21	TACSTD2	tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]	684	0.13404302299022675	0.22507569	Yes	
row_22	AXL	AXL receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:905]	803	0.12827946245670319	0.22742884	Yes	
row_23	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	839	0.1265660524368286	0.23461342	Yes	
row_24	PITX1	paired like homeodomain 1 [Source:HGNC Symbol;Acc:HGNC:9004]	876	0.12482994794845581	0.24161105	Yes	
row_25	CCN1	cellular communication network factor 1 [Source:HGNC Symbol;Acc:HGNC:2654]	1009	0.11927099525928497	0.24246791	Yes	
row_26	SCRN1	secernin 1 [Source:HGNC Symbol;Acc:HGNC:22192]	1112	0.11431051045656204	0.24475296	Yes	
row_27	RNF11	ring finger protein 11 [Source:HGNC Symbol;Acc:HGNC:10056]	1118	0.11418600380420685	0.252822	Yes	
row_28	IL18	interleukin 18 [Source:HGNC Symbol;Acc:HGNC:5986]	1199	0.11090420931577682	0.25617135	Yes	
row_29	CDKN2D	cyclin dependent kinase inhibitor 2D [Source:HGNC Symbol;Acc:HGNC:1790]	1317	0.10679438710212708	0.25700974	Yes	
row_30	SERPINB5	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]	1378	0.10474789887666702	0.2611024	Yes	
row_31	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	1395	0.10407381504774094	0.26777345	Yes	
row_32	CEMIP	cell migration inducing hyaluronidase 1 [Source:HGNC Symbol;Acc:HGNC:29213]	1529	0.10025165975093842	0.26717684	Yes	
row_33	FYN	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]	1583	0.09826407581567764	0.27121243	Yes	
row_34	CRIM1	cysteine rich transmembrane BMP regulator 1 [Source:HGNC Symbol;Acc:HGNC:2359]	1611	0.0976104810833931	0.2767529	Yes	
row_35	MARK2	microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]	1686	0.09505672752857208	0.27929923	Yes	
row_36	G0S2	G0/G1 switch 2 [Source:HGNC Symbol;Acc:HGNC:30229]	1688	0.09497933834791183	0.2861997	Yes	
row_37	TUBA4A	tubulin alpha 4a [Source:HGNC Symbol;Acc:HGNC:12407]	1774	0.09252561628818512	0.2879036	Yes	
row_38	CALB1	calbindin 1 [Source:HGNC Symbol;Acc:HGNC:1434]	2011	0.08663095533847809	0.2801574	Yes	
row_39	VASP	vasodilator stimulated phosphoprotein [Source:HGNC Symbol;Acc:HGNC:12652]	2177	0.0833306685090065	0.2764097	Yes	
row_40	KAT5	lysine acetyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:5275]	2197	0.08262714743614197	0.28132993	Yes	
row_41	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	2401	0.07829917222261429	0.27494404	Yes	
row_42	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	2425	0.07775328308343887	0.27926823	Yes	
row_43	ANXA1	annexin A1 [Source:HGNC Symbol;Acc:HGNC:533]	2463	0.0770232081413269	0.2827028	Yes	
row_44	KRT19	keratin 19 [Source:HGNC Symbol;Acc:HGNC:6436]	2488	0.07651586085557938	0.28687662	Yes	
row_45	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	2591	0.07484227418899536	0.2862694	Yes	
row_46	H2AC8	H2A clustered histone 8 [Source:HGNC Symbol;Acc:HGNC:4724]	2882	0.06851224601268768	0.2739704	Yes	
row_47	NEBL	nebulette [Source:HGNC Symbol;Acc:HGNC:16932]	2898	0.06818350404500961	0.2780711	Yes	
row_48	UGT8	UDP glycosyltransferase 8 [Source:HGNC Symbol;Acc:HGNC:12555]	2927	0.0673808827996254	0.2813366	Yes	
row_49	PPL	periplakin [Source:HGNC Symbol;Acc:HGNC:9273]	2933	0.06725924462080002	0.2859668	Yes	
row_50	LHFPL2	LHFPL tetraspan subfamily member 2 [Source:HGNC Symbol;Acc:HGNC:6588]	2949	0.06677887588739395	0.2899646	Yes	
row_51	SULF1	sulfatase 1 [Source:HGNC Symbol;Acc:HGNC:20391]	3333	0.05948997661471367	0.2714502	No	
row_52	GLUL	glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]	3374	0.058852747082710266	0.27337405	No	
row_53	EGFR	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	3424	0.057751793414354324	0.27467975	No	
row_54	UQCRH	ubiquinol-cytochrome c reductase hinge protein [Source:HGNC Symbol;Acc:HGNC:12590]	3449	0.05733313411474228	0.27744782	No	
row_55	SLIT2	slit guidance ligand 2 [Source:HGNC Symbol;Acc:HGNC:11086]	3551	0.05558193102478981	0.2754889	No	
row_56	EFNB2	ephrin B2 [Source:HGNC Symbol;Acc:HGNC:3227]	3554	0.0555606484413147	0.279441	No	
row_57	ITGB4	integrin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6158]	3571	0.055201735347509384	0.28253067	No	
row_58	YAP1	Yes1 associated transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:16262]	3615	0.0543103963136673	0.2839425	No	
row_59	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	3627	0.054092537611722946	0.2872495	No	
row_60	EDIL3	EGF like repeats and discoidin domains 3 [Source:HGNC Symbol;Acc:HGNC:3173]	3696	0.053018324077129364	0.28707358	No	
row_61	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	3726	0.05272197723388672	0.28920513	No	
row_62	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	3797	0.05132830888032913	0.2887859	No	
row_63	CDH11	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	3990	0.04836200177669525	0.28086314	No	
row_64	CXADR	CXADR Ig-like cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:2559]	4057	0.046952713280916214	0.28036216	No	
row_65	MARCKS	myristoylated alanine rich protein kinase C substrate [Source:HGNC Symbol;Acc:HGNC:6759]	4154	0.04541795328259468	0.27795702	No	
row_66	S100P	S100 calcium binding protein P [Source:HGNC Symbol;Acc:HGNC:10504]	4259	0.0440983846783638	0.27497742	No	
row_67	RRAS2	RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]	4479	0.04046093299984932	0.26486313	No	
row_68	CORO2A	coronin 2A [Source:HGNC Symbol;Acc:HGNC:2255]	4625	0.03820077329874039	0.2590027	No	
row_69	YES1	YES proto-oncogene 1, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12841]	4647	0.03780550882220268	0.26051894	No	
row_70	FBLN2	fibulin 2 [Source:HGNC Symbol;Acc:HGNC:3601]	4655	0.037625450640916824	0.2628581	No	
row_71	BIRC2	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	4810	0.03506056219339371	0.25623006	No	
row_72	LPCAT4	lysophosphatidylcholine acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:30059]	4815	0.035027723759412766	0.258558	No	
row_73	SCNN1A	sodium channel epithelial 1 subunit alpha [Source:HGNC Symbol;Acc:HGNC:10599]	4829	0.03482072427868843	0.26033333	No	
row_74	USP1	ubiquitin specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:12607]	5088	0.031152945011854172	0.24720773	No	
row_75	MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	5210	0.02910267561674118	0.24211393	No	
row_76	SLC16A2	solute carrier family 16 member 2 [Source:HGNC Symbol;Acc:HGNC:10923]	5230	0.02876690961420536	0.24308726	No	
row_77	LOXL1	lysyl oxidase like 1 [Source:HGNC Symbol;Acc:HGNC:6665]	5246	0.028552308678627014	0.24428375	No	
row_78	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	5247	0.028549296781420708	0.24637587	No	
row_79	RABGAP1L	RAB GTPase activating protein 1 like [Source:HGNC Symbol;Acc:HGNC:24663]	5307	0.027328381314873695	0.24485488	No	
row_80	CEACAM6	CEA cell adhesion molecule 6 [Source:HGNC Symbol;Acc:HGNC:1818]	5380	0.02623492293059826	0.24247734	No	
row_81	CDK2AP1	cyclin dependent kinase 2 associated protein 1 [Source:HGNC Symbol;Acc:HGNC:14002]	5686	0.02151036635041237	0.22583817	No	
row_82	SYNJ2	synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]	5766	0.020341770723462105	0.22261073	No	
row_83	PTPRH	protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]	5841	0.019456343725323677	0.21961701	No	
row_84	DHRS3	dehydrogenase/reductase 3 [Source:HGNC Symbol;Acc:HGNC:17693]	5847	0.019328249618411064	0.22073479	No	
row_85	LAMP3	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	5912	0.018530363216996193	0.21827044	No	
row_86	RBP1	retinol binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9919]	5979	0.01762843132019043	0.21562056	No	
row_87	AMPH	amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]	6036	0.016990313306450844	0.21352114	No	
row_88	CLTCL1	clathrin heavy chain like 1 [Source:HGNC Symbol;Acc:HGNC:2093]	6113	0.015929801389575005	0.21014956	No	
row_89	PTK7	protein tyrosine kinase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:9618]	6156	0.015396036207675934	0.20876943	No	
row_90	DSP	desmoplakin [Source:HGNC Symbol;Acc:HGNC:3052]	6175	0.015148479491472244	0.20880452	No	
row_91	ZNF165	zinc finger protein 165 [Source:HGNC Symbol;Acc:HGNC:12953]	6193	0.01485027652233839	0.20887746	No	
row_92	DSC2	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]	6285	0.013593733310699463	0.20443885	No	
row_93	COL1A2	collagen type I alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2198]	6320	0.01304503995925188	0.20336422	No	
row_94	COL3A1	collagen type III alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2201]	6389	0.012123769149184227	0.2001915	No	
row_95	ZNF160	zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]	6476	0.011076354421675205	0.19586702	No	
row_96	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	6644	0.008620214648544788	0.186525	No	
row_97	SMAGP	small cell adhesion glycoprotein [Source:HGNC Symbol;Acc:HGNC:26918]	6661	0.008342123590409756	0.18618076	No	
row_98	KLF5	KLF transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:6349]	6669	0.008252843283116817	0.18636747	No	
row_99	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	6707	0.007830075919628143	0.18473151	No	
row_100	IFI27	interferon alpha inducible protein 27 [Source:HGNC Symbol;Acc:HGNC:5397]	6870	0.005526192951947451	0.17546137	No	
row_101	CNN3	calponin 3 [Source:HGNC Symbol;Acc:HGNC:2157]	7016	0.0036073189694434404	0.1670659	No	
row_102	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	7093	0.0024908133782446384	0.16270949	No	
row_103	SMAD6	SMAD family member 6 [Source:HGNC Symbol;Acc:HGNC:6772]	7097	0.0024491711519658566	0.1627098	No	
row_104	NDC80	NDC80 kinetochore complex component [Source:HGNC Symbol;Acc:HGNC:16909]	7149	0.0018713255412876606	0.15980107	No	
row_105	LSR	lipolysis stimulated lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:29572]	7201	0.001374135841615498	0.1568559	No	
row_106	CDH13	cadherin 13 [Source:HGNC Symbol;Acc:HGNC:1753]	7318	-4.715218674391508E-4	0.14996259	No	
row_107	CD24	CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]	7402	-0.0017275355057790875	0.14513218	No	
row_108	NR2F1	nuclear receptor subfamily 2 group F member 1 [Source:HGNC Symbol;Acc:HGNC:7975]	7458	-0.0025966085959225893	0.14203772	No	
row_109	CPE	carboxypeptidase E [Source:HGNC Symbol;Acc:HGNC:2303]	7479	-0.002779870992526412	0.14104697	No	
row_110	MSLN	mesothelin [Source:HGNC Symbol;Acc:HGNC:7371]	7686	-0.005654271692037582	0.1291584	No	
row_111	KLK10	kallikrein related peptidase 10 [Source:HGNC Symbol;Acc:HGNC:6358]	7754	-0.0067239729687571526	0.1256497	No	
row_112	SPINT2	serine peptidase inhibitor, Kunitz type 2 [Source:HGNC Symbol;Acc:HGNC:11247]	7862	-0.008335107937455177	0.11987016	No	
row_113	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:HGNC Symbol;Acc:HGNC:3218]	7980	-0.00985125545412302	0.11360449	No	
row_114	LAMB2	laminin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6487]	8040	-0.010543163865804672	0.110853456	No	
row_115	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	8211	-0.013223922811448574	0.101669624	No	
row_116	LTBP1	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:HGNC:6714]	8528	-0.017075346782803535	0.084048495	No	
row_117	NMNAT2	nicotinamide nucleotide adenylyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16789]	8564	-0.017633303999900818	0.08325037	No	
row_118	TJP2	tight junction protein 2 [Source:HGNC Symbol;Acc:HGNC:11828]	8616	-0.018244940787553787	0.081541516	No	
row_119	ME3	malic enzyme 3 [Source:HGNC Symbol;Acc:HGNC:6985]	8730	-0.01984577625989914	0.07624715	No	
row_120	GSTT1	glutathione S-transferase theta 1 [Source:HGNC Symbol;Acc:HGNC:4641]	8771	-0.020333508029580116	0.07534829	No	
