NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SEC14L2	SEC14 like lipid binding 2 [Source:HGNC Symbol;Acc:HGNC:10699]	794	0.12866488099098206	-0.033582214	No	
row_1	WNT10A	Wnt family member 10A [Source:HGNC Symbol;Acc:HGNC:13829]	1058	0.11674225330352783	-0.036816794	No	
row_2	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	1206	0.11062893271446228	-0.0337952	No	
row_3	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1230	0.10986118763685226	-0.023472164	No	
row_4	SCOC	short coiled-coil protein [Source:HGNC Symbol;Acc:HGNC:20335]	1273	0.10825866460800171	-0.014450974	No	
row_5	GSTM1	glutathione S-transferase mu 1 [Source:HGNC Symbol;Acc:HGNC:4632]	1300	0.10726653039455414	-0.004582712	No	
row_6	ADCY3	adenylate cyclase 3 [Source:HGNC Symbol;Acc:HGNC:234]	1660	0.09568528085947037	-0.015774367	No	
row_7	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	1795	0.09203378111124039	-0.013957807	No	
row_8	ARSG	arylsulfatase G [Source:HGNC Symbol;Acc:HGNC:24102]	1945	0.0880739614367485	-0.013455812	No	
row_9	KIRREL1	kirre like nephrin family adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:15734]	2416	0.07790552824735641	-0.03314887	No	
row_10	TSKU	tsukushi, small leucine rich proteoglycan [Source:HGNC Symbol;Acc:HGNC:28850]	2465	0.07701544463634491	-0.027810136	No	
row_11	RAB30	RAB30, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9770]	2575	0.07504065334796906	-0.02631361	No	
row_12	BBOX1	gamma-butyrobetaine hydroxylase 1 [Source:HGNC Symbol;Acc:HGNC:964]	2651	0.07310602813959122	-0.022998575	No	
row_13	CD36	CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]	2721	0.0716395378112793	-0.019482369	No	
row_14	SLC6A20	solute carrier family 6 member 20 [Source:HGNC Symbol;Acc:HGNC:30927]	2774	0.0706384927034378	-0.0150604965	No	
row_15	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:HGNC:26167]	2853	0.06909307092428207	-0.012351182	No	
row_16	PLXNA3	plexin A3 [Source:HGNC Symbol;Acc:HGNC:9101]	2975	0.06608451157808304	-0.012522355	No	
row_17	SLCO1C1	solute carrier organic anion transporter family member 1C1 [Source:HGNC Symbol;Acc:HGNC:13819]	3653	0.05365936830639839	-0.047121022	No	
row_18	CREB3L2	cAMP responsive element binding protein 3 like 2 [Source:HGNC Symbol;Acc:HGNC:23720]	3668	0.05346326529979706	-0.042264525	No	
row_19	SSBP2	single stranded DNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15831]	3761	0.0518856905400753	-0.042220168	No	
row_20	DIO1	iodothyronine deiodinase 1 [Source:HGNC Symbol;Acc:HGNC:2883]	4039	0.04736842215061188	-0.053671766	No	
row_21	PER2	period circadian regulator 2 [Source:HGNC Symbol;Acc:HGNC:8846]	4125	0.04574133828282356	-0.05386456	No	
row_22	PASK	PAS domain containing serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:17270]	4229	0.0445232018828392	-0.055258747	No	
row_23	CMTR2	cap methyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:25635]	4247	0.044231053441762924	-0.051563457	No	
row_24	SMPD3	sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240]	4448	0.040931738913059235	-0.059115414	No	
row_25	PTGDS	prostaglandin D2 synthase [Source:HGNC Symbol;Acc:HGNC:9592]	4727	0.03644918277859688	-0.07178868	No	
row_26	TET1	tet methylcytosine dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:29484]	4734	0.03639446943998337	-0.06827248	No	
row_27	SGK3	serum/glucocorticoid regulated kinase family member 3 [Source:HGNC Symbol;Acc:HGNC:10812]	4879	0.034171998500823975	-0.07320955	No	
row_28	SLC2A5	solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]	4893	0.03392007574439049	-0.07037348	No	
row_29	DHRS1	dehydrogenase/reductase 1 [Source:HGNC Symbol;Acc:HGNC:16445]	5278	0.027894796803593636	-0.0902686	No	
row_30	GFAP	glial fibrillary acidic protein [Source:HGNC Symbol;Acc:HGNC:4235]	5366	0.02653541788458824	-0.09262455	No	
row_31	ADA	adenosine deaminase [Source:HGNC Symbol;Acc:HGNC:186]	5508	0.024023735895752907	-0.09846307	No	
row_32	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	5651	0.021964797750115395	-0.10458026	No	
row_33	PAQR7	progestin and adipoQ receptor family member 7 [Source:HGNC Symbol;Acc:HGNC:23146]	5659	0.02181445062160492	-0.10267535	No	
row_34	SLC27A2	solute carrier family 27 member 2 [Source:HGNC Symbol;Acc:HGNC:10996]	5715	0.021076764911413193	-0.10370694	No	
row_35	TTI1	TELO2 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:29029]	6040	0.01685427874326706	-0.1212046	No	
row_36	PSAPL1	prosaposin like 1 [Source:HGNC Symbol;Acc:HGNC:33131]	6065	0.01653217524290085	-0.120874085	No	
row_37	RETSAT	retinol saturase [Source:HGNC Symbol;Acc:HGNC:25991]	6124	0.015711409971117973	-0.12265533	No	
row_38	PHKA1	phosphorylase kinase regulatory subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:8925]	6163	0.015288474969565868	-0.12329076	No	
row_39	DKK4	dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]	6229	0.014382279478013515	-0.12563026	No	
row_40	CASP6	caspase 6 [Source:HGNC Symbol;Acc:HGNC:1507]	6237	0.014252102002501488	-0.1245302	No	
row_41	LPO	lactoperoxidase [Source:HGNC Symbol;Acc:HGNC:6678]	6367	0.01238341350108385	-0.1308931	No	
row_42	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	6473	0.011117566376924515	-0.13596173	No	
row_43	GDPD2	glycerophosphodiester phosphodiesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25974]	6528	0.010146420449018478	-0.13809708	No	
