NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	128	0.19261930882930756	0.012667247	No	
row_1	KRT7	keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]	147	0.1884506791830063	0.0314427	No	
row_2	MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	359	0.15687358379364014	0.03540518	No	
row_3	ABLIM2	actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]	392	0.1547265201807022	0.04979567	No	
row_4	ASB7	ankyrin repeat and SOCS box containing 7 [Source:HGNC Symbol;Acc:HGNC:17182]	608	0.13906851410865784	0.05164491	No	
row_5	TGFBI	transforming growth factor beta induced [Source:HGNC Symbol;Acc:HGNC:11771]	668	0.1353224664926529	0.0623848	No	
row_6	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	889	0.12416552007198334	0.06236692	No	
row_7	ATP11B	ATPase phospholipid transporting 11B (putative) [Source:HGNC Symbol;Acc:HGNC:13553]	1056	0.11678284406661987	0.06478563	No	
row_8	FABP6	fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]	1096	0.11505059897899628	0.074580975	No	
row_9	TUBBP5	tubulin beta pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:23674]	1238	0.10965219140052795	0.07773672	No	
row_10	THEM6	thioesterase superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:29656]	1304	0.10714288055896759	0.08515173	No	
row_11	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein [Source:HGNC Symbol;Acc:HGNC:17379]	2382	0.0789584293961525	0.029363967	No	
row_12	BMP4	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	2425	0.07775328308343887	0.03505276	No	
row_13	MAPK3	mitogen-activated protein kinase 3 [Source:HGNC Symbol;Acc:HGNC:6877]	2438	0.07753041386604309	0.04250369	No	
row_14	PTEN	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:HGNC:9588]	2440	0.07748816162347794	0.05060489	No	
row_15	NREP	neuronal regeneration related protein [Source:HGNC Symbol;Acc:HGNC:16834]	2645	0.07317300885915756	0.046169024	No	
row_16	WIPF1	WAS/WASL interacting protein family member 1 [Source:HGNC Symbol;Acc:HGNC:12736]	2690	0.07223830372095108	0.051157963	No	
row_17	FOXH1	forkhead box H1 [Source:HGNC Symbol;Acc:HGNC:3814]	2847	0.06924176961183548	0.049165048	No	
row_18	H4C5	H4 clustered histone 5 [Source:HGNC Symbol;Acc:HGNC:4790]	3095	0.06381076574325562	0.041183818	No	
row_19	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	3535	0.05586234852671623	0.020937605	No	
