NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FAM83A	family with sequence similarity 83 member A [Source:HGNC Symbol;Acc:HGNC:28210]	15	0.2580297291278839	0.14975895	Yes	
row_1	AMPD3	adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]	134	0.19045490026474	0.253976	Yes	
row_2	SEMA4B	semaphorin 4B [Source:HGNC Symbol;Acc:HGNC:10730]	577	0.14117002487182617	0.31026325	Yes	
row_3	LAMC2	laminin subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:6493]	779	0.12920978665351868	0.37381628	Yes	
row_4	LAMA3	laminin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6483]	906	0.12357790023088455	0.43851548	Yes	
row_5	PRSS22	serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]	928	0.12283922731876373	0.50899124	Yes	
row_6	FGFBP1	fibroblast growth factor binding protein 1 [Source:HGNC Symbol;Acc:HGNC:19695]	965	0.12097807973623276	0.5774936	Yes	
row_7	DAPP1	dual adaptor of phosphotyrosine and 3-phosphoinositides 1 [Source:HGNC Symbol;Acc:HGNC:16500]	1355	0.10553374141454697	0.61610883	Yes	
row_8	SH2D3A	SH2 domain containing 3A [Source:HGNC Symbol;Acc:HGNC:16885]	2261	0.08129405230283737	0.61006486	Yes	
row_9	SDR16C5	short chain dehydrogenase/reductase family 16C member 5 [Source:HGNC Symbol;Acc:HGNC:30311]	2459	0.07713358104228973	0.6434507	Yes	
row_10	TMEM45B	transmembrane protein 45B [Source:HGNC Symbol;Acc:HGNC:25194]	3290	0.060192156583070755	0.62952095	Yes	
row_11	MAOA	monoamine oxidase A [Source:HGNC Symbol;Acc:HGNC:6833]	3521	0.056008610874414444	0.64862233	Yes	
row_12	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	5247	0.028549296781420708	0.56330377	No	
row_13	ADAM8	ADAM metallopeptidase domain 8 [Source:HGNC Symbol;Acc:HGNC:215]	5886	0.01879623718559742	0.5365574	No	
row_14	MST1R	macrophage stimulating 1 receptor [Source:HGNC Symbol;Acc:HGNC:7381]	7476	-0.0027341959066689014	0.44420785	No	
row_15	TGFA	transforming growth factor alpha [Source:HGNC Symbol;Acc:HGNC:11765]	7672	-0.0055014765821397305	0.43589085	No	
row_16	LAD1	ladinin 1 [Source:HGNC Symbol;Acc:HGNC:6472]	8160	-0.012355828657746315	0.41431186	No	
row_17	C1orf116	chromosome 1 open reading frame 116 [Source:HGNC Symbol;Acc:HGNC:28667]	10605	-0.0456327423453331	0.296458	No	
row_18	CLDN7	claudin 7 [Source:HGNC Symbol;Acc:HGNC:2049]	10732	-0.04733153060078621	0.31664217	No	
row_19	C6orf141	chromosome 6 open reading frame 141 [Source:HGNC Symbol;Acc:HGNC:21351]	13154	-0.08550108224153519	0.2234245	No	
