NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZBED2	zinc finger BED-type containing 2 [Source:HGNC Symbol;Acc:HGNC:20710]	11	0.2706230580806732	0.02030713	No	
row_1	IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	46	0.22471874952316284	0.03568762	No	
row_2	ACSL4	acyl-CoA synthetase long chain family member 4 [Source:HGNC Symbol;Acc:HGNC:3571]	246	0.17045871913433075	0.037030768	No	
row_3	LYPD3	LY6/PLAUR domain containing 3 [Source:HGNC Symbol;Acc:HGNC:24880]	338	0.15851901471614838	0.04388605	No	
row_4	POP1	POP1 homolog, ribonuclease P/MRP subunit [Source:HGNC Symbol;Acc:HGNC:30129]	412	0.15267175436019897	0.051361233	No	
row_5	PC	pyruvate carboxylase [Source:HGNC Symbol;Acc:HGNC:8636]	414	0.15262478590011597	0.063124105	No	
row_6	PRSS33	serine protease 33 [Source:HGNC Symbol;Acc:HGNC:30405]	516	0.14524462819099426	0.06835513	No	
row_7	PRR19	proline rich 19 [Source:HGNC Symbol;Acc:HGNC:33728]	624	0.13787060976028442	0.07265733	No	
row_8	FRMD4B	FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]	660	0.13609984517097473	0.0811137	No	
row_9	MACF1	microtubule actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]	724	0.13197879493236542	0.08758201	No	
row_10	STK17B	serine/threonine kinase 17b [Source:HGNC Symbol;Acc:HGNC:11396]	841	0.12651634216308594	0.09046828	No	
row_11	RRN3	RRN3 homolog, RNA polymerase I transcription factor [Source:HGNC Symbol;Acc:HGNC:30346]	897	0.12389503419399261	0.09678722	No	
row_12	RNF220	ring finger protein 220 [Source:HGNC Symbol;Acc:HGNC:25552]	948	0.12196063995361328	0.10325433	No	
row_13	SPRR1B	small proline rich protein 1B [Source:HGNC Symbol;Acc:HGNC:11260]	1003	0.11955054849386215	0.109296344	No	
row_14	DEPP1	DEPP autophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:23355]	1125	0.11383068561553955	0.11090197	No	
row_15	EMB	embigin [Source:HGNC Symbol;Acc:HGNC:30465]	1232	0.10980362445116043	0.11308967	No	
row_16	C8B	complement C8 beta chain [Source:HGNC Symbol;Acc:HGNC:1353]	1240	0.10963676869869232	0.121165045	No	
row_17	DISP2	dispatched RND transporter family member 2 [Source:HGNC Symbol;Acc:HGNC:19712]	1296	0.10740529000759125	0.12620667	No	
row_18	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	1391	0.10420779883861542	0.12867615	No	
row_19	SYT1	synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:11509]	1433	0.10307805985212326	0.134217	No	
row_20	RAP1A	RAP1A, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9855]	1521	0.1004837304353714	0.13681522	No	
row_21	DPYD	dihydropyrimidine dehydrogenase [Source:HGNC Symbol;Acc:HGNC:3012]	1608	0.09763772785663605	0.13925257	No	
row_22	IL7R	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	1664	0.09560330957174301	0.14338002	No	
row_23	MCM4	minichromosome maintenance complex component 4 [Source:HGNC Symbol;Acc:HGNC:6947]	1724	0.09382624179124832	0.14713138	No	
row_24	ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	1836	0.09071031212806702	0.14754209	No	
row_25	COL8A1	collagen type VIII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2215]	1940	0.08817798644304276	0.14823346	No	
row_26	ARL15	ADP ribosylation factor like GTPase 15 [Source:HGNC Symbol;Acc:HGNC:25945]	2148	0.08388322591781616	0.14239356	No	
row_27	SANBR	SANT and BTB domain regulator of CSR [Source:HGNC Symbol;Acc:HGNC:29387]	2239	0.08168963342905045	0.14335716	No	
row_28	GDPD3	glycerophosphodiester phosphodiesterase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28638]	2270	0.08119303733110428	0.14785841	No	
row_29	RFTN1	raftlin, lipid raft linker 1 [Source:HGNC Symbol;Acc:HGNC:30278]	2320	0.08023910224437714	0.15115333	No	
row_30	RNF168	ring finger protein 168 [Source:HGNC Symbol;Acc:HGNC:26661]	2356	0.07952137291431427	0.15522707	No	
row_31	ARRDC3	arrestin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29263]	2529	0.07573803514242172	0.1508423	No	
row_32	OTUD6B	OTU deubiquitinase 6B [Source:HGNC Symbol;Acc:HGNC:24281]	2657	0.07297571748495102	0.14892563	No	
row_33	TREML1	triggering receptor expressed on myeloid cells like 1 [Source:HGNC Symbol;Acc:HGNC:20434]	2673	0.07260097563266754	0.15365537	No	
row_34	SNX32	sorting nexin 32 [Source:HGNC Symbol;Acc:HGNC:26423]	2676	0.07257340103387833	0.15915777	No	
row_35	CENPH	centromere protein H [Source:HGNC Symbol;Acc:HGNC:17268]	2759	0.07098089903593063	0.15976867	No	
row_36	PHLDA2	pleckstrin homology like domain family A member 2 [Source:HGNC Symbol;Acc:HGNC:12385]	2887	0.06838537007570267	0.15749644	No	
row_37	ACTL6A	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	3002	0.06556705385446548	0.15578072	No	
row_38	GTF2H2	general transcription factor IIH subunit 2 [Source:HGNC Symbol;Acc:HGNC:4656]	3010	0.06538484245538712	0.16042829	No	
