NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC12A6	solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]	31	0.2395581603050232	0.011852855	Yes	
row_1	RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	34	0.2378132939338684	0.025345277	Yes	
row_2	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	63	0.21604417264461517	0.03603214	Yes	
row_3	THBD	thrombomodulin [Source:HGNC Symbol;Acc:HGNC:11784]	131	0.19100241363048553	0.04294636	Yes	
row_4	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	162	0.1848985254764557	0.05173049	Yes	
row_5	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	176	0.18272124230861664	0.061409667	Yes	
row_6	PLAU	plasminogen activator, urokinase [Source:HGNC Symbol;Acc:HGNC:9052]	181	0.18168212473392487	0.07156919	Yes	
row_7	ARHGAP42	Rho GTPase activating protein 42 [Source:HGNC Symbol;Acc:HGNC:26545]	284	0.16471150517463684	0.0748792	Yes	
row_8	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	299	0.16326454281806946	0.0833847	Yes	
row_9	CMTM1	CKLF like MARVEL transmembrane domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19172]	319	0.16126732528209686	0.09147597	Yes	
row_10	ASPH	aspartate beta-hydroxylase [Source:HGNC Symbol;Acc:HGNC:757]	329	0.15971261262893677	0.10007806	Yes	
row_11	TFPI	tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]	368	0.15608394145965576	0.106733	Yes	
row_12	MILR1	mast cell immunoglobulin like receptor 1 [Source:HGNC Symbol;Acc:HGNC:27570]	439	0.15092988312244415	0.11117354	Yes	
row_13	DAAM1	dishevelled associated activator of morphogenesis 1 [Source:HGNC Symbol;Acc:HGNC:18142]	500	0.1466813087463379	0.1159707	Yes	
row_14	ARID5B	AT-rich interaction domain 5B [Source:HGNC Symbol;Acc:HGNC:17362]	541	0.14366748929023743	0.12179497	Yes	
row_15	ZNF117	zinc finger protein 117 [Source:HGNC Symbol;Acc:HGNC:12897]	549	0.14317873120307922	0.12957062	Yes	
row_16	RHOC	ras homolog family member C [Source:HGNC Symbol;Acc:HGNC:669]	553	0.14289137721061707	0.13756976	Yes	
row_17	SUCNR1	succinate receptor 1 [Source:HGNC Symbol;Acc:HGNC:4542]	568	0.14169014990329742	0.14484033	Yes	
row_18	VSIR	V-set immunoregulatory receptor [Source:HGNC Symbol;Acc:HGNC:30085]	583	0.14084739983081818	0.15206268	Yes	
row_19	ETV1	ETS variant transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3490]	586	0.14049680531024933	0.15998472	Yes	
row_20	RESF1	retroelement silencing factor 1 [Source:HGNC Symbol;Acc:HGNC:25559]	715	0.1325162798166275	0.1598924	Yes	
row_21	RND3	Rho family GTPase 3 [Source:HGNC Symbol;Acc:HGNC:671]	757	0.1303536593914032	0.1648946	Yes	
row_22	KLF6	KLF transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:2235]	775	0.12955422699451447	0.17129058	Yes	
row_23	CREBRF	CREB3 regulatory factor [Source:HGNC Symbol;Acc:HGNC:24050]	784	0.1291344314813614	0.17820236	Yes	
row_24	NAMPT	nicotinamide phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:30092]	823	0.12763196229934692	0.18322872	Yes	
row_25	ADM	adrenomedullin [Source:HGNC Symbol;Acc:HGNC:259]	839	0.1265660524368286	0.18957362	Yes	
row_26	NINJ2	ninjurin 2 [Source:HGNC Symbol;Acc:HGNC:7825]	848	0.12642830610275269	0.1963305	Yes	
row_27	GLIPR1	GLI pathogenesis related 1 [Source:HGNC Symbol;Acc:HGNC:17001]	877	0.12482807785272598	0.20179617	Yes	
row_28	TK2	thymidine kinase 2 [Source:HGNC Symbol;Acc:HGNC:11831]	964	0.1210273802280426	0.2035654	Yes	
row_29	BBS12	Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648]	1066	0.11637747287750244	0.20416877	Yes	
row_30	ARL5B	ADP ribosylation factor like GTPase 5B [Source:HGNC Symbol;Acc:HGNC:23052]	1221	0.11012144386768341	0.20123506	Yes	
row_31	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	1230	0.10986118763685226	0.20704363	Yes	
row_32	EMP3	epithelial membrane protein 3 (MAM blood group) [Source:HGNC Symbol;Acc:HGNC:3335]	1236	0.10970252007246017	0.21302308	Yes	
