NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	9	0.2768206298351288	0.013860711	Yes	
row_1	ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	19	0.2499047815799713	0.026321158	Yes	
row_2	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	45	0.22474342584609985	0.036511656	Yes	
row_3	TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	97	0.20146284997463226	0.043929446	Yes	
row_4	ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	117	0.19613829255104065	0.052992158	Yes	
row_5	UBE2W	ubiquitin conjugating enzyme E2 W [Source:HGNC Symbol;Acc:HGNC:25616]	176	0.18272124230861664	0.05901452	Yes	
row_6	CHMP2B	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	190	0.18019109964370728	0.06760796	Yes	
row_7	COL17A1	collagen type XVII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2194]	208	0.17681439220905304	0.07578549	Yes	
row_8	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	220	0.17449499666690826	0.084202714	Yes	
row_9	RALA	RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]	245	0.1706438660621643	0.09163881	Yes	
row_10	TMOD3	tropomodulin 3 [Source:HGNC Symbol;Acc:HGNC:11873]	271	0.16635286808013916	0.09879161	Yes	
row_11	SOWAHC	sosondowah ankyrin repeat domain family member C [Source:HGNC Symbol;Acc:HGNC:26149]	299	0.16326454281806946	0.10566363	Yes	
row_12	BNIP2	BCL2 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:1083]	311	0.16221188008785248	0.11344183	Yes	
row_13	PLEKHA2	pleckstrin homology domain containing A2 [Source:HGNC Symbol;Acc:HGNC:14336]	332	0.1593613177537918	0.12053121	Yes	
