NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	22	0.24592150747776031	0.016730577	No	
row_1	SLC22A2	solute carrier family 22 member 2 [Source:HGNC Symbol;Acc:HGNC:10966]	276	0.16596832871437073	0.013803701	No	
row_2	ARL4C	ADP ribosylation factor like GTPase 4C [Source:HGNC Symbol;Acc:HGNC:698]	337	0.15872564911842346	0.021867795	No	
row_3	SDC4	syndecan 4 [Source:HGNC Symbol;Acc:HGNC:10661]	487	0.14796558022499084	0.02382896	No	
row_4	HMCES	5-hydroxymethylcytosine binding, ES cell specific [Source:HGNC Symbol;Acc:HGNC:24446]	630	0.13759784400463104	0.02544732	No	
row_5	MIA	MIA SH3 domain containing [Source:HGNC Symbol;Acc:HGNC:7076]	1219	0.11013925820589066	-0.0015759047	No	
row_6	CD5	CD5 molecule [Source:HGNC Symbol;Acc:HGNC:1685]	1310	0.10699059814214706	9.011871E-4	No	
row_7	OVOL1	ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]	1410	0.1036769449710846	0.0025978326	No	
row_8	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	1430	0.1032007560133934	0.009035658	No	
row_9	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	1656	0.0958699956536293	0.0026370955	No	
row_10	TCL1A	TCL1 family AKT coactivator A [Source:HGNC Symbol;Acc:HGNC:11648]	1697	0.09468724578619003	0.0071965274	No	
row_11	CD19	CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]	1732	0.0935344323515892	0.012029583	No	
row_12	IRF5	interferon regulatory factor 5 [Source:HGNC Symbol;Acc:HGNC:6120]	1838	0.0906837061047554	0.012414665	No	
row_13	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	1918	0.08874721825122833	0.014209901	No	
