NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PIGO	phosphatidylinositol glycan anchor biosynthesis class O [Source:HGNC Symbol;Acc:HGNC:23215]	2760	0.07097886502742767	-0.13588676	No	
row_1	CHCHD3	coiled-coil-helix-coiled-coil-helix domain containing 3 [Source:HGNC Symbol;Acc:HGNC:21906]	2835	0.06942026317119598	-0.11342248	No	
row_2	TIMP3	TIMP metallopeptidase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:11822]	4949	0.033113691955804825	-0.22566244	No	
row_3	DOCK11	dedicator of cytokinesis 11 [Source:HGNC Symbol;Acc:HGNC:23483]	5034	0.031837400048971176	-0.21832253	No	
row_4	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	5500	0.02416161447763443	-0.23649773	No	
row_5	SLC17A7	solute carrier family 17 member 7 [Source:HGNC Symbol;Acc:HGNC:16704]	7245	7.571813766844571E-4	-0.33941242	No	
row_6	ITGBL1	integrin subunit beta like 1 [Source:HGNC Symbol;Acc:HGNC:6164]	7527	-0.003502568230032921	-0.35468724	No	
row_7	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:605]	8122	-0.0118405194953084	-0.38526082	No	
row_8	ITGA2	integrin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6137]	8211	-0.013223922811448574	-0.38535511	No	
row_9	VSNL1	visinin like 1 [Source:HGNC Symbol;Acc:HGNC:12722]	8707	-0.019509365782141685	-0.4071046	No	
row_10	ZBTB39	zinc finger and BTB domain containing 39 [Source:HGNC Symbol;Acc:HGNC:29014]	8804	-0.020911721512675285	-0.4046996	No	
row_11	MYO1B	myosin IB [Source:HGNC Symbol;Acc:HGNC:7596]	8875	-0.02177109196782112	-0.40042362	No	
row_12	MYLIP	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]	9155	-0.0254047941416502	-0.4071109	No	
row_13	LIMD1	LIM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:6612]	9655	-0.0324605368077755	-0.42408916	No	
row_14	WSCD2	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]	9890	-0.035751160234212875	-0.42411265	No	
row_15	LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:HGNC:24788]	9941	-0.036351390182971954	-0.4130152	No	
row_16	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	10030	-0.03766530379652977	-0.40365845	No	
row_17	RFX1	regulatory factor X1 [Source:HGNC Symbol;Acc:HGNC:9982]	11020	-0.05155063793063164	-0.44225246	No	
row_18	FICD	FIC domain protein adenylyltransferase [Source:HGNC Symbol;Acc:HGNC:18416]	11474	-0.05775956064462662	-0.44672582	Yes	
row_19	MOBP	myelin associated oligodendrocyte basic protein [Source:HGNC Symbol;Acc:HGNC:7189]	11594	-0.05953938886523247	-0.43074533	Yes	
row_20	ACOX2	acyl-CoA oxidase 2 [Source:HGNC Symbol;Acc:HGNC:120]	12096	-0.06770739704370499	-0.43421265	Yes	
row_21	PDIK1L	PDLIM1 interacting kinase 1 like [Source:HGNC Symbol;Acc:HGNC:18981]	12712	-0.07761937379837036	-0.44059357	Yes	
row_22	SLC9A1	solute carrier family 9 member A1 [Source:HGNC Symbol;Acc:HGNC:11071]	13047	-0.08347737789154053	-0.4280801	Yes	
row_23	CACNB4	calcium voltage-gated channel auxiliary subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:1404]	13120	-0.08490040898323059	-0.39951158	Yes	
row_24	KATNB1	katanin regulatory subunit B1 [Source:HGNC Symbol;Acc:HGNC:6217]	13430	-0.09025653451681137	-0.3828973	Yes	
row_25	ORC2	origin recognition complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:8488]	13532	-0.09251666069030762	-0.3530999	Yes	
row_26	PABIR3	PABIR family member 3 [Source:HGNC Symbol;Acc:HGNC:25202]	13615	-0.09402380138635635	-0.32159534	Yes	
row_27	GOLGA2P5	GOLGA2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:25315]	13622	-0.09417601674795151	-0.28553432	Yes	
row_28	GUCY2C	guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]	14011	-0.10172456502914429	-0.2691607	Yes	
row_29	RCC1L	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	14432	-0.110733762383461	-0.25119704	Yes	
row_30	PRCC	proline rich mitotic checkpoint control factor [Source:HGNC Symbol;Acc:HGNC:9343]	14814	-0.11953561007976532	-0.22752196	Yes	
row_31	RHBDL1	rhomboid like 1 [Source:HGNC Symbol;Acc:HGNC:10007]	15376	-0.13481497764587402	-0.20859076	Yes	
row_32	CCDC87	coiled-coil domain containing 87 [Source:HGNC Symbol;Acc:HGNC:25579]	16113	-0.16221414506435394	-0.1894211	Yes	
row_33	THNSL1	threonine synthase like 1 [Source:HGNC Symbol;Acc:HGNC:26160]	16137	-0.16337455809116364	-0.12760837	Yes	
row_34	RNF227	ring finger protein 227 [Source:HGNC Symbol;Acc:HGNC:27571]	16246	-0.16794872283935547	-0.069057085	Yes	
row_35	LCA5L	lebercilin LCA5 like [Source:HGNC Symbol;Acc:HGNC:1255]	16925	-0.28357595205307007	4.7324243E-4	Yes	
