NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CSR_EARLY_UP.V1_UP	CSR_EARLY_UP.V1_UP	Details ...	150	0.4393169	1.729633	0.022222223	0.4455854	0.282	3676	tags=43%, list=22%, signal=54%	
MEL18_DN.V1_UP	MEL18_DN.V1_UP	Details ...	140	0.4241628	1.6232508	0.04225352	0.5315272	0.5	3445	tags=41%, list=20%, signal=52%	
BCAT_BILD_ET_AL_DN	BCAT_BILD_ET_AL_DN	Details ...	45	0.52505726	1.6133686	0.05364807	0.38540152	0.526	4054	tags=53%, list=24%, signal=70%	
MEK_UP.V1_UP	MEK_UP.V1_UP	Details ...	194	0.37779197	1.60819	0.018789144	0.3025865	0.54	2953	tags=35%, list=17%, signal=42%	
SINGH_KRAS_DEPENDENCY_SIGNATURE	SINGH_KRAS_DEPENDENCY_SIGNATURE	Details ...	20	0.64862233	1.5755577	0.06693712	0.31098944	0.612	3521	tags=60%, list=21%, signal=76%	
BMI1_DN_MEL18_DN.V1_UP	BMI1_DN_MEL18_DN.V1_UP	Details ...	139	0.41466594	1.5458362	0.05870021	0.32635528	0.679	3436	tags=40%, list=20%, signal=50%	
EGFR_UP.V1_UP	EGFR_UP.V1_UP	Details ...	192	0.38286015	1.474741	0.058165547	0.45636883	0.813	4432	tags=49%, list=26%, signal=66%	
EIF4E_DN	EIF4E_DN	Details ...	99	0.41367745	1.4438171	0.1	0.49029392	0.866	3751	tags=42%, list=22%, signal=54%	
RAF_UP.V1_UP	RAF_UP.V1_UP	Details ...	191	0.3457981	1.4388828	0.045045044	0.45146224	0.871	4029	tags=37%, list=24%, signal=48%	
E2F1_UP.V1_DN	E2F1_UP.V1_DN	Details ...	184	0.30308723	1.4291399	0.036480688	0.4322796	0.884	3650	tags=36%, list=22%, signal=45%	
CAMP_UP.V1_DN	CAMP_UP.V1_DN	Details ...	196	0.34535712	1.3955996	0.07021277	0.48834088	0.925	4023	tags=44%, list=24%, signal=58%	
TGFB_UP.V1_UP	TGFB_UP.V1_UP	Details ...	182	0.35065097	1.3793516	0.103238866	0.4926166	0.938	3931	tags=40%, list=23%, signal=52%	
HINATA_NFKB_IMMU_INF	HINATA_NFKB_IMMU_INF	Details ...	15	0.5727926	1.3785169	0.15182187	0.45771074	0.94	3943	tags=60%, list=23%, signal=78%	
IL2_UP.V1_UP	IL2_UP.V1_UP	Details ...	171	0.29934993	1.337557	0.086105675	0.5436559	0.958	3816	tags=34%, list=23%, signal=43%	
BMI1_DN.V1_UP	BMI1_DN.V1_UP	Details ...	142	0.342756	1.3251487	0.12830958	0.54696953	0.964	3445	tags=34%, list=20%, signal=42%	
