NAME	TITLE	SCORE	
PABPC3	poly(A) binding protein cytoplasmic 3 [Source:HGNC Symbol;Acc:HGNC:8556]	0.33728665	
CNGB1	cyclic nucleotide gated channel subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2151]	0.31963956	
PABPC1	poly(A) binding protein cytoplasmic 1 [Source:HGNC Symbol;Acc:HGNC:8554]	0.3157921	
CAP1	cyclase associated actin cytoskeleton regulatory protein 1 [Source:HGNC Symbol;Acc:HGNC:20040]	0.2892132	
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta [Source:HGNC Symbol;Acc:HGNC:12855]	0.28605792	
RNF139	ring finger protein 139 [Source:HGNC Symbol;Acc:HGNC:17023]	0.28329352	
FAM83A-AS1	FAM83A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48658]	0.2802486	
CXCL14	C-X-C motif chemokine ligand 14 [Source:HGNC Symbol;Acc:HGNC:10640]	0.27855545	
VAV1	vav guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:12657]	0.27752435	
PTGES	prostaglandin E synthase [Source:HGNC Symbol;Acc:HGNC:9599]	0.27682063	
PTDSS1	phosphatidylserine synthase 1 [Source:HGNC Symbol;Acc:HGNC:9587]	0.2752016	
ZBED2	zinc finger BED-type containing 2 [Source:HGNC Symbol;Acc:HGNC:20710]	0.27062306	
PLA2R1	phospholipase A2 receptor 1 [Source:HGNC Symbol;Acc:HGNC:9042]	0.2685578	
IQGAP1	IQ motif containing GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:6110]	0.2631322	
CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	0.25832218	
FAM83A	family with sequence similarity 83 member A [Source:HGNC Symbol;Acc:HGNC:28210]	0.25802973	
PPP1R14C	protein phosphatase 1 regulatory inhibitor subunit 14C [Source:HGNC Symbol;Acc:HGNC:14952]	0.2571426	
EIF1AD	eukaryotic translation initiation factor 1A domain containing [Source:HGNC Symbol;Acc:HGNC:28147]	0.2536845	
RABL3	RAB, member of RAS oncogene family like 3 [Source:HGNC Symbol;Acc:HGNC:18072]	0.25290596	
ADAM10	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	0.24990478	
GPR87	G protein-coupled receptor 87 [Source:HGNC Symbol;Acc:HGNC:4538]	0.24956243	
PSCA	prostate stem cell antigen [Source:HGNC Symbol;Acc:HGNC:9500]	0.24604127	
OPTN	optineurin [Source:HGNC Symbol;Acc:HGNC:17142]	0.24592151	
MBOAT2	membrane bound O-acyltransferase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25193]	0.24478962	
CD1A	CD1a molecule [Source:HGNC Symbol;Acc:HGNC:1634]	0.2444259	
YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta [Source:HGNC Symbol;Acc:HGNC:12849]	0.24427524	
CREG2	cellular repressor of E1A stimulated genes 2 [Source:HGNC Symbol;Acc:HGNC:14272]	0.24425869	
MALL	mal, T cell differentiation protein like [Source:HGNC Symbol;Acc:HGNC:6818]	0.24198791	
LPCAT2	lysophosphatidylcholine acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:26032]	0.24198559	
YWHAEP7	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:49437]	0.24164465	
CDK5R1	cyclin dependent kinase 5 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:1775]	0.23978402	
SLC12A6	solute carrier family 12 member 6 [Source:HGNC Symbol;Acc:HGNC:10914]	0.23955816	
PAX8	paired box 8 [Source:HGNC Symbol;Acc:HGNC:8622]	0.23946148	
OR2A7	olfactory receptor family 2 subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:8234]	0.23806386	
RNF19B	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	0.2378133	
NT5E	5'-nucleotidase ecto [Source:HGNC Symbol;Acc:HGNC:8021]	0.23562054	
CYSRT1	cysteine rich tail 1 [Source:HGNC Symbol;Acc:HGNC:30529]	0.23550907	
SIGLEC15	sialic acid binding Ig like lectin 15 [Source:HGNC Symbol;Acc:HGNC:27596]	0.23448606	
LBH	LBH regulator of WNT signaling pathway [Source:HGNC Symbol;Acc:HGNC:29532]	0.2342904	
SERINC3	serine incorporator 3 [Source:HGNC Symbol;Acc:HGNC:11699]	0.23290364	
TMEM154	transmembrane protein 154 [Source:HGNC Symbol;Acc:HGNC:26489]	0.23205589	
B4GALT5	beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]	0.22690183	
PTPRE	protein tyrosine phosphatase receptor type E [Source:HGNC Symbol;Acc:HGNC:9669]	0.22680344	
PPP3CA	protein phosphatase 3 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9314]	0.22548646	
DERL1	derlin 1 [Source:HGNC Symbol;Acc:HGNC:28454]	0.22512785	
CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	0.22474343	
IRAK2	interleukin 1 receptor associated kinase 2 [Source:HGNC Symbol;Acc:HGNC:6113]	0.22471875	
COPG2	COPI coat complex subunit gamma 2 [Source:HGNC Symbol;Acc:HGNC:2237]	0.22343482	
NOX5	NADPH oxidase 5 [Source:HGNC Symbol;Acc:HGNC:14874]	0.22312431	
ARFGEF1	ADP ribosylation factor guanine nucleotide exchange factor 1 [Source:HGNC Symbol;Acc:HGNC:15772]	0.22240251	
AMIGO2	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	0.22224896	
ARL8B	ADP ribosylation factor like GTPase 8B [Source:HGNC Symbol;Acc:HGNC:25564]	0.22146383	
SNCG	synuclein gamma [Source:HGNC Symbol;Acc:HGNC:11141]	0.22131567	
VWA5B1	von Willebrand factor A domain containing 5B1 [Source:HGNC Symbol;Acc:HGNC:26538]	0.22071709	
RGPD1	RANBP2 like and GRIP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:32414]	0.22069663	
GLDN	gliomedin [Source:HGNC Symbol;Acc:HGNC:29514]	0.22058265	
HLA-DQB2	major histocompatibility complex, class II, DQ beta 2 [Source:HGNC Symbol;Acc:HGNC:4945]	0.21958874	
CCL22	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]	0.21948865	
PLS3	plastin 3 [Source:HGNC Symbol;Acc:HGNC:9091]	0.21936855	
MTDH	metadherin [Source:HGNC Symbol;Acc:HGNC:29608]	0.21931283	
CHST15	carbohydrate sulfotransferase 15 [Source:HGNC Symbol;Acc:HGNC:18137]	0.21812908	
ST3GAL4	ST3 beta-galactoside alpha-2,3-sialyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:10864]	0.21800457	
RNF145	ring finger protein 145 [Source:HGNC Symbol;Acc:HGNC:20853]	0.21769613	
TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	0.21604417	
UBR5	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:HGNC:16806]	0.21597616	
PODXL	podocalyxin like [Source:HGNC Symbol;Acc:HGNC:9171]	0.21583533	
PACS1	phosphofurin acidic cluster sorting protein 1 [Source:HGNC Symbol;Acc:HGNC:30032]	0.21576117	
ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18 [Source:HGNC Symbol;Acc:HGNC:17090]	0.21549293	
ANXA2P1	annexin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:538]	0.21510398	
KRT6C	keratin 6C [Source:HGNC Symbol;Acc:HGNC:20406]	0.21493322	
CDA	cytidine deaminase [Source:HGNC Symbol;Acc:HGNC:1712]	0.2147212	
HERC3	HECT and RLD domain containing E3 ubiquitin protein ligase 3 [Source:HGNC Symbol;Acc:HGNC:4876]	0.21470462	
CDH20	cadherin 20 [Source:HGNC Symbol;Acc:HGNC:1760]	0.21203521	
CST6	cystatin E/M [Source:HGNC Symbol;Acc:HGNC:2478]	0.21201465	
TRPV2	transient receptor potential cation channel subfamily V member 2 [Source:HGNC Symbol;Acc:HGNC:18082]	0.21201234	
L3MBTL3	L3MBTL histone methyl-lysine binding protein 3 [Source:HGNC Symbol;Acc:HGNC:23035]	0.21162437	
ARIH1	ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:689]	0.2114728	
NAA50	N-alpha-acetyltransferase 50, NatE catalytic subunit [Source:HGNC Symbol;Acc:HGNC:29533]	0.21137562	
CDCP1	CUB domain containing protein 1 [Source:HGNC Symbol;Acc:HGNC:24357]	0.2113349	
CCNDBP1	cyclin D1 binding protein 1 [Source:HGNC Symbol;Acc:HGNC:1587]	0.21059142	
EPHB6	EPH receptor B6 [Source:HGNC Symbol;Acc:HGNC:3396]	0.21030763	
TSC22D2	TSC22 domain family member 2 [Source:HGNC Symbol;Acc:HGNC:29095]	0.21024126	
ELOVL1	ELOVL fatty acid elongase 1 [Source:HGNC Symbol;Acc:HGNC:14418]	0.20952186	
KRT6A	keratin 6A [Source:HGNC Symbol;Acc:HGNC:6443]	0.20923981	
A2ML1	alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]	0.20808892	
UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats [Source:HGNC Symbol;Acc:HGNC:15947]	0.2074022	
TLE3	TLE family member 3, transcriptional corepressor [Source:HGNC Symbol;Acc:HGNC:11839]	0.20714702	
PLAC8	placenta associated 8 [Source:HGNC Symbol;Acc:HGNC:19254]	0.20658404	
USP4	ubiquitin specific peptidase 4 [Source:HGNC Symbol;Acc:HGNC:12627]	0.20653993	
EIF3H	eukaryotic translation initiation factor 3 subunit H [Source:HGNC Symbol;Acc:HGNC:3273]	0.20578758	
BCAR3	BCAR3 adaptor protein, NSP family member [Source:HGNC Symbol;Acc:HGNC:973]	0.20526959	
EIF3E	eukaryotic translation initiation factor 3 subunit E [Source:HGNC Symbol;Acc:HGNC:3277]	0.20319119	
ZNF365	zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]	0.20287064	
CDV3	CDV3 homolog [Source:HGNC Symbol;Acc:HGNC:26928]	0.20258223	
CTDSPL	CTD small phosphatase like [Source:HGNC Symbol;Acc:HGNC:16890]	0.20218866	
NOD2	nucleotide binding oligomerization domain containing 2 [Source:HGNC Symbol;Acc:HGNC:5331]	0.20205475	
GSK3B	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	0.20174675	
TSPAN5	tetraspanin 5 [Source:HGNC Symbol;Acc:HGNC:17753]	0.20146285	
TMCC1	transmembrane and coiled-coil domain family 1 [Source:HGNC Symbol;Acc:HGNC:29116]	0.20120753	
STAU2	staufen double-stranded RNA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11371]	0.20092617	
GCOM1	GCOM1, MYZAP-POLR2M combined locus [Source:HGNC Symbol;Acc:HGNC:26424]	0.20049131	
P2RY2	purinergic receptor P2Y2 [Source:HGNC Symbol;Acc:HGNC:8541]	0.20034565	
GPN1	GPN-loop GTPase 1 [Source:HGNC Symbol;Acc:HGNC:17030]	0.20019509	
AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	0.19969817	
EMC2	ER membrane protein complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28963]	0.19958444	
TGFBR2	transforming growth factor beta receptor 2 [Source:HGNC Symbol;Acc:HGNC:11773]	0.19898848	
CGB8	chorionic gonadotropin subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:16453]	0.19871671	
NTAQ1	N-terminal glutamine amidase 1 [Source:HGNC Symbol;Acc:HGNC:25490]	0.19869588	
GZMA	granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]	0.19862537	
LRRC42	leucine rich repeat containing 42 [Source:HGNC Symbol;Acc:HGNC:28792]	0.19819261	
TRIM29	tripartite motif containing 29 [Source:HGNC Symbol;Acc:HGNC:17274]	0.19799307	
PCDHGB1	protocadherin gamma subfamily B, 1 [Source:HGNC Symbol;Acc:HGNC:8708]	0.19776314	
HRH1	histamine receptor H1 [Source:HGNC Symbol;Acc:HGNC:5182]	0.19710071	
SCEL	sciellin [Source:HGNC Symbol;Acc:HGNC:10573]	0.19696209	
EHD4	EH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:3245]	0.19641578	
AFAP1L2	actin filament associated protein 1 like 2 [Source:HGNC Symbol;Acc:HGNC:25901]	0.19631596	
DUSP7	dual specificity phosphatase 7 [Source:HGNC Symbol;Acc:HGNC:3073]	0.19629645	
ITGB6	integrin subunit beta 6 [Source:HGNC Symbol;Acc:HGNC:6161]	0.1961383	
CAV1	caveolin 1 [Source:HGNC Symbol;Acc:HGNC:1527]	0.1958093	
RAET1G	retinoic acid early transcript 1G [Source:HGNC Symbol;Acc:HGNC:16795]	0.19565995	
YWHAG	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma [Source:HGNC Symbol;Acc:HGNC:12852]	0.19517986	
SMAD3	SMAD family member 3 [Source:HGNC Symbol;Acc:HGNC:6769]	0.1951395	
RHOD	ras homolog family member D [Source:HGNC Symbol;Acc:HGNC:670]	0.19477028	
RALBP1	ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]	0.19405575	
RAP1GDS1	Rap1 GTPase-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:HGNC:9859]	0.19385944	
UBE2H	ubiquitin conjugating enzyme E2 H [Source:HGNC Symbol;Acc:HGNC:12484]	0.19355252	
HEXA-AS1	HEXA antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:25810]	0.19321312	
TTC7A	tetratricopeptide repeat domain 7A [Source:HGNC Symbol;Acc:HGNC:19750]	0.1929238	
HIVEP3	HIVEP zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:13561]	0.19261931	
WASHC5	WASH complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:28984]	0.1920098	
